t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000302,0.001384,0.002321,1.1953,2.1166,0.0564,-0.177942,0.174874,0.000302,0.001384,0.002321,1.1953,2.1166,0.0564,-0.177942,0.174874,0.000000,0.674952,-0.679553,0.696427,-0.717903,0.671884,-0.644272
0.0167,0.016741,0.000297,0.001360,0.002282,1.1753,2.0812,0.0551,-0.177885,0.174868,0.000302,0.001384,0.002321,1.1953,2.1166,0.0564,-0.177942,0.174874,0.000000,0.674952,-0.679553,0.696427,-0.717903,0.671884,-0.644272
0.0335,0.016751,0.000292,0.001337,0.002243,1.1552,2.0457,0.0538,-0.177828,0.174862,0.000302,0.001384,0.002321,1.1953,2.1166,0.0564,-0.177942,0.174874,0.000000,0.674952,-0.679553,0.696427,-0.717903,0.671884,-0.644272
0.0502,0.016748,0.000287,0.001314,0.002204,1.1352,2.0103,0.0526,-0.177771,0.174857,0.000302,0.001384,0.002321,1.1953,2.1166,0.0564,-0.177942,0.174874,0.000000,0.674952,-0.679553,0.696427,-0.717903,0.671884,-0.644272
0.0670,0.016747,0.000282,0.001291,0.002165,1.1152,1.9749,0.0513,-0.177713,0.174851,0.000302,0.001384,0.002321,1.1953,2.1166,0.0564,-0.177942,0.174874,0.000000,0.674952,-0.679553,0.696427,-0.717903,0.671884,-0.644272
0.0837,0.016753,0.000277,0.001268,0.002126,1.0951,1.9394,0.0500,-0.177656,0.174845,0.000345,0.001456,0.002272,1.1681,2.1333,0.0543,-0.179476,0.174874,0.000000,0.673418,-0.678020,0.694893,-0.717903,0.671884,-0.642738
0.1005,0.016764,0.000271,0.001245,0.002087,1.0751,1.9040,0.0488,-0.177599,0.174840,0.000552,0.001603,0.002141,1.2414,2.2107,-0.0032,-0.177942,0.174874,0.000000,0.668816,-0.676486,0.691825,-0.717903,0.670350,-0.636602
0.1175,0.016992,0.000266,0.001221,0.002048,1.0547,1.8680,0.0475,-0.177541,0.174834,0.000552,0.001603,0.002141,1.2414,2.2107,-0.0032,-0.179476,0.174874,0.000000,0.665748,-0.673418,0.691825,-0.716369,0.668816,-0.632000
0.1342,0.016749,0.000261,0.001198,0.002009,1.0347,1.8326,0.0463,-0.177484,0.174828,0.000589,0.001586,0.002046,1.2356,2.3365,0.1708,-0.179476,0.174874,0.000000,0.665748,-0.673418,0.691825,-0.716369,0.668816,-0.632000
0.1510,0.016740,0.000256,0.001175,0.001970,1.0147,1.7972,0.0451,-0.177427,0.174822,0.000640,0.001570,0.002032,1.2742,2.2920,0.2650,-0.179476,0.174874,0.000000,0.665748,-0.673418,0.691825,-0.714835,0.668816,-0.630466
0.1677,0.016753,0.000251,0.001152,0.001931,0.9946,1.7618,0.0439,-0.177370,0.174817,0.000685,0.001569,0.001987,1.2696,2.1017,0.2542,-0.179476,0.174874,0.000000,0.665748,-0.673418,0.688757,-0.711767,0.668816,-0.630466
0.1845,0.016744,0.000246,0.001128,0.001893,0.9746,1.7263,0.0427,-0.177313,0.174811,0.000595,0.001568,0.001945,1.2706,2.0925,0.2556,-0.179476,0.174874,0.000000,0.665748,-0.671884,0.687223,-0.710233,0.667282,-0.630466
0.2012,0.016762,0.000241,0.001105,0.001854,0.9546,1.6909,0.0416,-0.177256,0.174805,0.000630,0.001566,0.001925,1.2701,1.9958,0.2549,-0.179476,0.174874,0.000000,0.665748,-0.671884,0.685689,-0.708699,0.667282,-0.630466
0.2181,0.016858,0.000236,0.001082,0.001815,0.9344,1.6552,0.0404,-0.177198,0.174799,0.000541,0.001566,0.001880,1.2707,1.9768,0.2553,-0.179476,0.173340,0.000000,0.665748,-0.670350,0.684155,-0.707165,0.665748,-0.630466
0.2348,0.016743,0.000231,0.001059,0.001776,0.9144,1.6198,0.0392,-0.177141,0.174794,0.000541,0.001566,0.001880,1.2707,1.9768,0.2553,-0.179476,0.173340,0.000000,0.665748,-0.670350,0.684155,-0.707165,0.665748,-0.630466
0.2516,0.016743,0.000226,0.001036,0.001737,0.8943,1.5843,0.0381,-0.177084,0.174788,0.000553,0.001369,0.001781,1.1521,1.9769,0.0878,-0.179476,0.173340,0.000000,0.661146,-0.668816,0.682621,-0.704097,0.662680,-0.630466
0.2683,0.016747,0.000221,0.001012,0.001698,0.8743,1.5489,0.0370,-0.177027,0.174782,0.000552,0.001307,0.001721,1.0672,1.9764,-0.0070,-0.179476,0.173340,0.000000,0.658078,-0.667282,0.681087,-0.702563,0.661146,-0.630466
0.2851,0.016748,0.000216,0.000989,0.001659,0.8543,1.5135,0.0359,-0.176970,0.174777,0.000578,0.001312,0.001704,1.0757,1.8785,0.0025,-0.177942,0.174874,0.000000,0.658078,-0.667282,0.679553,-0.701029,0.661146,-0.630466
