t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000205,0.001522,-0.002601,0.6516,-0.0334,-0.3384,-0.003068,0.000000,-0.000205,0.001522,-0.002601,0.6516,-0.0334,-0.3384,-0.003068,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.582913,0.567573,-0.559903
0.0168,0.016762,-0.000202,0.001497,-0.002558,0.6407,-0.0329,-0.3328,-0.003017,0.000000,-0.000205,0.001522,-0.002601,0.6516,-0.0334,-0.3384,0.004602,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.582913,0.567573,-0.559903
0.0338,0.017050,-0.000198,0.001471,-0.002513,0.6296,-0.0324,-0.3270,-0.002964,0.000000,-0.000205,0.001522,-0.002601,0.6516,-0.0334,-0.3384,0.001534,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.582913,0.567573,-0.559903
0.0506,0.016751,-0.000195,0.001445,-0.002470,0.6187,-0.0318,-0.3213,-0.002913,0.000000,-0.000205,0.001522,-0.002601,0.6516,-0.0334,-0.3384,0.001534,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.582913,0.567573,-0.559903
0.0673,0.016751,-0.000191,0.001420,-0.002426,0.6078,-0.0313,-0.3157,-0.002861,0.000000,-0.000205,0.001522,-0.002601,0.6516,-0.0334,-0.3384,-0.006136,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.582913,0.567573,-0.559903
0.0841,0.016750,-0.000188,0.001394,-0.002383,0.5969,-0.0308,-0.3100,-0.002810,0.000000,-0.000096,0.001538,-0.002664,0.6122,0.0689,-0.2849,-0.003068,0.000000,0.000000,0.575243,-0.561437,0.549165,-0.582913,0.567573,-0.556835
0.1008,0.016741,-0.000185,0.001369,-0.002339,0.5860,-0.0303,-0.3043,-0.002759,0.000000,0.000122,0.001590,-0.002758,0.6252,0.2115,-0.1849,0.004602,0.000000,0.000000,0.570641,-0.559903,0.549165,-0.582913,0.567573,-0.550699
0.1176,0.016753,-0.000181,0.001343,-0.002295,0.5750,-0.0297,-0.2986,-0.002707,0.000000,0.000181,0.001584,-0.002773,0.6233,0.2300,-0.1956,0.003068,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.1344,0.016819,-0.000178,0.001318,-0.002252,0.5641,-0.0292,-0.2929,-0.002656,0.000000,0.000161,0.001640,-0.002760,0.6341,0.2788,-0.2480,-0.006136,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.584447,0.567573,-0.549165
0.1511,0.016754,-0.000174,0.001292,-0.002208,0.5532,-0.0286,-0.2873,-0.002604,0.000000,0.000161,0.001640,-0.002760,0.6341,0.2788,-0.2480,-0.006136,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.584447,0.567573,-0.549165
0.1679,0.016750,-0.000171,0.001267,-0.002165,0.5422,-0.0281,-0.2816,-0.002553,0.000000,0.000163,0.001634,-0.002761,0.6330,0.2737,-0.2425,-0.003068,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.584447,0.567573,-0.549165
0.1846,0.016749,-0.000167,0.001241,-0.002121,0.5313,-0.0276,-0.2759,-0.002502,0.000000,0.000176,0.001579,-0.002773,0.6225,0.2235,-0.1896,0.003068,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.2016,0.016980,-0.000164,0.001215,-0.002077,0.5203,-0.0270,-0.2702,-0.002449,0.000000,0.000175,0.001585,-0.002771,0.6236,0.2287,-0.1951,0.001534,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.2184,0.016749,-0.000160,0.001190,-0.002033,0.5094,-0.0265,-0.2645,-0.002398,0.000000,0.000082,0.001562,-0.002771,0.5350,0.2462,-0.1944,-0.003068,0.000000,0.000000,0.569107,-0.558369,0.549165,-0.582913,0.567573,-0.550699
0.2351,0.016756,-0.000157,0.001164,-0.001990,0.4984,-0.0259,-0.2588,-0.002347,0.000000,0.000185,0.001587,-0.002772,0.6327,0.2264,-0.1946,-0.004602,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.2519,0.016743,-0.000154,0.001139,-0.001946,0.4875,-0.0254,-0.2532,-0.002295,0.000000,0.000185,0.001587,-0.002772,0.6327,0.2264,-0.1946,-0.004602,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.2686,0.016741,-0.000150,0.001113,-0.001903,0.4766,-0.0248,-0.2475,-0.002244,0.000000,0.000174,0.001584,-0.002771,0.6225,0.2284,-0.1946,0.001534,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.2853,0.016743,-0.000147,0.001088,-0.001859,0.4657,-0.0243,-0.2418,-0.002193,0.000000,0.000176,0.001585,-0.002771,0.6240,0.2281,-0.1946,0.003068,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.3021,0.016760,-0.000143,0.001062,-0.001815,0.4548,-0.0238,-0.2362,-0.002141,0.000000,0.000176,0.001585,-0.002771,0.6240,0.2281,-0.1946,-0.001534,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.3188,0.016743,-0.000140,0.001037,-0.001772,0.4439,-0.0232,-0.2305,-0.002090,0.000000,0.000176,0.001585,-0.002771,0.6240,0.2281,-0.1946,-0.004602,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.3356,0.016764,-0.000136,0.001011,-0.001728,0.4329,-0.0227,-0.2248,-0.002038,0.000000,0.000122,0.001600,-0.002784,0.5846,0.2640,-0.1413,0.001534,0.000000,0.000000,0.569107,-0.558369,0.549165,-0.582913,0.567573,-0.549165
0.3524,0.016744,-0.000133,0.000986,-0.001685,0.4220,-0.0221,-0.2192,-0.001987,0.000000,0.000122,0.001600,-0.002784,0.5846,0.2640,-0.1413,0.001534,0.000000,0.000000,0.569107,-0.558369,0.549165,-0.582913,0.567573,-0.549165
0.3691,0.016747,-0.000130,0.000960,-0.001641,0.4111,-0.0216,-0.2135,-0.001936,0.000000,0.000181,0.001583,-0.002770,0.6276,0.2245,-0.2002,0.004602,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.3858,0.016743,-0.000126,0.000935,-0.001598,0.4002,-0.0210,-0.2078,-0.001884,0.000000,0.000174,0.001585,-0.002772,0.6231,0.2286,-0.1940,-0.001534,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.582913,0.567573,-0.549165
0.4026,0.016746,-0.000123,0.000909,-0.001554,0.3893,-0.0204,-0.2022,-0.001833,0.000000,0.000122,0.001600,-0.002784,0.5847,0.2639,-0.1414,-0.004602,0.000000,0.000000,0.569107,-0.558369,0.549165,-0.582913,0.567573,-0.549165
