t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000217,0.001388,-0.002610,0.5878,-0.1404,-0.2887,-0.001534,0.000000,-0.000217,0.001388,-0.002610,0.5878,-0.1404,-0.2887,-0.001534,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.579845,0.567573,-0.561437
0.0168,0.016753,-0.000214,0.001365,-0.002566,0.5779,-0.1381,-0.2838,-0.001508,0.000000,-0.000217,0.001388,-0.002610,0.5878,-0.1404,-0.2887,-0.001534,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.579845,0.567573,-0.561437
0.0335,0.016765,-0.000210,0.001341,-0.002523,0.5681,-0.1358,-0.2790,-0.001483,0.000000,-0.000217,0.001388,-0.002610,0.5878,-0.1404,-0.2887,-0.001534,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.579845,0.567573,-0.561437
0.0503,0.016742,-0.000206,0.001318,-0.002479,0.5582,-0.1335,-0.2742,-0.001457,0.000000,-0.000217,0.001388,-0.002610,0.5878,-0.1404,-0.2887,-0.001534,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.579845,0.567573,-0.561437
0.0670,0.016752,-0.000203,0.001295,-0.002435,0.5484,-0.1311,-0.2693,-0.001431,0.000000,-0.000217,0.001388,-0.002610,0.5878,-0.1404,-0.2887,-0.001534,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.579845,0.567573,-0.561437
0.0838,0.016750,-0.000199,0.001272,-0.002391,0.5385,-0.1288,-0.2645,-0.001405,0.000000,-0.000149,0.001443,-0.002661,0.5979,-0.0547,-0.1829,-0.001534,0.000000,0.000000,0.576777,-0.561437,0.549165,-0.579845,0.567573,-0.558369
0.1005,0.016759,-0.000195,0.001248,-0.002348,0.5287,-0.1265,-0.2596,-0.001380,0.000000,0.000114,0.001452,-0.002767,0.5560,0.1052,-0.1417,-0.001534,0.000000,0.000000,0.570641,-0.559903,0.549165,-0.579845,0.567573,-0.552233
0.1173,0.016746,-0.000192,0.001225,-0.002304,0.5188,-0.1241,-0.2548,-0.001354,0.000000,0.000168,0.001450,-0.002782,0.5599,0.1219,-0.1463,-0.001534,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.579845,0.567573,-0.550699
0.1340,0.016763,-0.000188,0.001202,-0.002260,0.5090,-0.1218,-0.2499,-0.001328,0.000000,0.000168,0.001450,-0.002782,0.5599,0.1219,-0.1463,-0.001534,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.579845,0.567573,-0.550699
0.1508,0.016742,-0.000185,0.001179,-0.002217,0.4991,-0.1195,-0.2451,-0.001303,0.000000,0.000162,0.001450,-0.002780,0.5595,0.1201,-0.1458,-0.001534,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.579845,0.567573,-0.550699
0.1675,0.016751,-0.000181,0.001155,-0.002173,0.4893,-0.1171,-0.2402,-0.001277,0.000000,0.000162,0.001450,-0.002780,0.5595,0.1201,-0.1458,-0.003068,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.579845,0.567573,-0.550699
0.1842,0.016700,-0.000177,0.001132,-0.002129,0.4794,-0.1148,-0.2354,-0.001251,0.000000,0.000162,0.001450,-0.002780,0.5595,0.1201,-0.1458,-0.003068,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.579845,0.567573,-0.550699
0.2010,0.016740,-0.000174,0.001109,-0.002086,0.4696,-0.1125,-0.2306,-0.001226,0.000000,0.000162,0.001450,-0.002780,0.5595,0.1201,-0.1458,-0.003068,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.579845,0.567573,-0.550699
0.2177,0.016742,-0.000170,0.001086,-0.002042,0.4598,-0.1101,-0.2257,-0.001200,0.000000,0.000162,0.001450,-0.002780,0.5595,0.1201,-0.1458,-0.003068,0.000000,0.000000,0.569107,-0.559903,0.549165,-0.579845,0.567573,-0.550699
