t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000276,0.001642,-0.002560,0.6380,0.0833,-0.5366,-0.004602,0.000000,-0.000276,0.001642,-0.002560,0.6380,0.0833,-0.5366,-0.004602,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.587515,0.567573,-0.561437
0.0167,0.016734,-0.000271,0.001615,-0.002517,0.6274,0.0819,-0.5276,-0.004525,0.000000,-0.000290,0.001583,-0.002545,0.6265,0.1410,-0.4778,-0.003068,0.000000,0.000000,0.578311,-0.562971,0.550699,-0.587515,0.567573,-0.561437
0.0335,0.016741,-0.000267,0.001587,-0.002475,0.6167,0.0805,-0.5186,-0.004448,0.000000,-0.000276,0.001643,-0.002560,0.6382,0.0827,-0.5372,0.004602,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.587515,0.567573,-0.561437
0.0502,0.016757,-0.000262,0.001560,-0.002432,0.6060,0.0790,-0.5097,-0.004371,0.000000,-0.000276,0.001643,-0.002560,0.6382,0.0827,-0.5372,0.004602,0.000000,0.000000,0.578311,-0.562971,0.549165,-0.587515,0.567573,-0.561437
0.0669,0.016709,-0.000258,0.001532,-0.002389,0.5953,0.0776,-0.5007,-0.004294,0.000000,-0.000290,0.001583,-0.002545,0.6265,0.1410,-0.4778,0.003068,0.000000,0.000000,0.578311,-0.562971,0.550699,-0.587515,0.567573,-0.561437
0.0837,0.016776,-0.000253,0.001505,-0.002346,0.5846,0.0761,-0.4917,-0.004217,0.000000,-0.000180,0.001713,-0.002648,0.6083,0.2381,-0.3777,-0.006136,0.000000,0.000000,0.575243,-0.559903,0.549165,-0.587515,0.567573,-0.556835
0.1005,0.016743,-0.000248,0.001477,-0.002303,0.5740,0.0747,-0.4827,-0.004140,0.000000,0.000011,0.001768,-0.002738,0.5795,0.3115,-0.3889,-0.004602,0.000000,0.000000,0.570641,-0.558369,0.547631,-0.587515,0.567573,-0.552233
0.1172,0.016758,-0.000244,0.001450,-0.002260,0.5633,0.0733,-0.4737,-0.004063,0.000000,0.000072,0.001762,-0.002754,0.5817,0.3372,-0.3880,0.003068,0.000000,0.000000,0.569107,-0.558369,0.547631,-0.587515,0.567573,-0.550699
0.1340,0.016742,-0.000239,0.001422,-0.002217,0.5526,0.0718,-0.4648,-0.003985,0.000000,0.000066,0.001762,-0.002752,0.5815,0.3346,-0.3881,0.001534,0.000000,0.000000,0.569107,-0.558369,0.547631,-0.587515,0.567573,-0.550699
0.1507,0.016744,-0.000234,0.001395,-0.002174,0.5419,0.0704,-0.4558,-0.003908,0.000000,0.000066,0.001762,-0.002752,0.5815,0.3346,-0.3881,0.001534,0.000000,0.000000,0.569107,-0.558369,0.547631,-0.587515,0.567573,-0.550699
0.1674,0.016741,-0.000230,0.001367,-0.002132,0.5313,0.0690,-0.4468,-0.003831,0.000000,0.000066,0.001762,-0.002752,0.5815,0.3346,-0.3881,-0.007670,0.000000,0.000000,0.569107,-0.558369,0.547631,-0.587515,0.567573,-0.550699
0.1842,0.016747,-0.000225,0.001340,-0.002089,0.5206,0.0675,-0.4378,-0.003754,0.000000,0.000066,0.001762,-0.002752,0.5815,0.3346,-0.3881,-0.006136,0.000000,0.000000,0.569107,-0.558369,0.547631,-0.587515,0.567573,-0.550699
0.2009,0.016742,-0.000221,0.001312,-0.002046,0.5099,0.0661,-0.4289,-0.003677,0.000000,0.000026,0.001801,-0.002741,0.6317,0.3193,-0.3346,0.001534,0.000000,0.000000,0.570641,-0.558369,0.547631,-0.587515,0.567573,-0.550699
0.2177,0.016756,-0.000216,0.001285,-0.002003,0.4992,0.0647,-0.4199,-0.003600,0.000000,0.000071,0.001758,-0.002754,0.5763,0.3364,-0.3936,0.001534,0.000000,0.000000,0.569107,-0.558369,0.547631,-0.587515,0.567573,-0.550699
0.2344,0.016740,-0.000211,0.001257,-0.001960,0.4885,0.0633,-0.4109,-0.003523,0.000000,0.000066,0.001763,-0.002752,0.5821,0.3347,-0.3875,-0.004602,0.000000,0.000000,0.569107,-0.558369,0.547631,-0.587515,0.567573,-0.550699
