t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000338,0.001548,-0.002578,0.4650,-0.1184,-0.2462,-0.001534,0.000000,0.000397,0.001451,-0.002603,0.3991,-0.1518,-0.2514,0.004602,0.000000,0.001534,0.570641,-0.566039,0.549165,-0.582913,0.575243,-0.556835
0.0167,0.016747,0.000333,0.001522,-0.002535,0.4572,-0.1164,-0.2420,-0.001508,0.000000,0.000391,0.001461,-0.002600,0.4060,-0.1483,-0.2508,0.004602,0.000000,0.001534,0.570641,-0.566039,0.549165,-0.582913,0.575243,-0.556835
0.0335,0.016752,0.000327,0.001496,-0.002492,0.4494,-0.1144,-0.2379,-0.001483,0.000000,0.000391,0.001461,-0.002600,0.4060,-0.1483,-0.2508,0.004602,0.000000,0.001534,0.570641,-0.566039,0.549165,-0.582913,0.575243,-0.556835
0.0502,0.016748,0.000321,0.001470,-0.002449,0.4416,-0.1125,-0.2338,-0.001457,0.000000,0.000378,0.001515,-0.002589,0.4156,-0.0980,-0.3045,-0.004602,0.000000,0.001534,0.570641,-0.566039,0.549165,-0.584447,0.575243,-0.556835
0.0670,0.016747,0.000316,0.001444,-0.002406,0.4338,-0.1105,-0.2296,-0.001431,0.000000,0.000380,0.001509,-0.002590,0.4146,-0.1032,-0.2989,-0.003068,0.000000,0.001534,0.570641,-0.566039,0.549165,-0.584447,0.575243,-0.556835
0.0837,0.016753,0.000310,0.001418,-0.002362,0.4260,-0.1085,-0.2255,-0.001406,0.000000,0.000460,0.001509,-0.002653,0.4147,-0.0670,-0.1396,0.001534,0.000000,0.001534,0.569107,-0.564505,0.549165,-0.582913,0.575243,-0.553767
0.1005,0.016749,0.000304,0.001392,-0.002319,0.4182,-0.1066,-0.2214,-0.001380,0.000000,0.000493,0.001563,-0.002747,0.4253,0.1186,-0.0504,0.003068,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.573709,-0.549165
0.1172,0.016748,0.000299,0.001367,-0.002276,0.4104,-0.1046,-0.2173,-0.001354,0.000000,0.000623,0.001649,-0.002752,0.4843,0.1007,0.0997,-0.001534,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.546097
0.1340,0.016738,0.000293,0.001341,-0.002233,0.4027,-0.1026,-0.2131,-0.001328,0.000000,0.000623,0.001649,-0.002752,0.4843,0.1007,0.0997,-0.001534,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.546097
0.1507,0.016743,0.000287,0.001315,-0.002190,0.3949,-0.1007,-0.2090,-0.001303,0.000000,0.000649,0.001678,-0.002765,0.5281,0.1204,0.1370,-0.004602,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.1675,0.016743,0.000282,0.001289,-0.002147,0.3871,-0.0987,-0.2049,-0.001277,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.003068,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.1842,0.016744,0.000276,0.001263,-0.002103,0.3793,-0.0967,-0.2007,-0.001251,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,0.003068,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.2010,0.016746,0.000270,0.001237,-0.002060,0.3715,-0.0947,-0.1966,-0.001226,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.001534,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.2177,0.016759,0.000265,0.001211,-0.002017,0.3637,-0.0928,-0.1925,-0.001200,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.001534,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.2346,0.016841,0.000259,0.001185,-0.001974,0.3559,-0.0908,-0.1883,-0.001174,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.004602,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.2514,0.016810,0.000253,0.001159,-0.001930,0.3481,-0.0888,-0.1842,-0.001148,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.004602,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.2681,0.016761,0.000248,0.001133,-0.001887,0.3403,-0.0868,-0.1801,-0.001123,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.004602,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.2849,0.016741,0.000242,0.001107,-0.001844,0.3325,-0.0849,-0.1759,-0.001097,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,0.000000,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.3016,0.016743,0.000236,0.001081,-0.001801,0.3247,-0.0829,-0.1718,-0.001071,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.007670,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.3184,0.016743,0.000231,0.001055,-0.001757,0.3169,-0.0809,-0.1677,-0.001046,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.003068,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.3351,0.016749,0.000225,0.001029,-0.001714,0.3091,-0.0789,-0.1636,-0.001020,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,0.004602,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.3519,0.016743,0.000219,0.001003,-0.001671,0.3013,-0.0770,-0.1594,-0.000994,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,0.001534,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.3686,0.016748,0.000214,0.000977,-0.001628,0.2935,-0.0750,-0.1553,-0.000969,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,0.001534,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
0.3853,0.016745,0.000208,0.000952,-0.001585,0.2858,-0.0730,-0.1512,-0.000943,0.000000,0.000647,0.001675,-0.002764,0.5235,0.1183,0.1331,-0.004602,0.000000,0.001534,0.566039,-0.561437,0.549165,-0.582913,0.575243,-0.544563
