t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000430,0.000239,-0.002207,0.0229,0.6869,0.8242,-0.001534,0.000000,0.000430,0.000239,-0.002207,0.0229,0.6869,0.8242,-0.001534,0.000000,0.000000,0.570641,-0.570641,0.585981,-0.582913,0.582913,-0.559903
0.0168,0.016750,0.000423,0.000235,-0.002170,0.0225,0.6754,0.8104,-0.001508,0.000000,0.000430,0.000239,-0.002207,0.0229,0.6869,0.8242,-0.001534,0.000000,0.000000,0.570641,-0.570641,0.585981,-0.582913,0.582913,-0.559903
0.0335,0.016744,0.000416,0.000231,-0.002133,0.0220,0.6639,0.7966,-0.001483,0.000000,0.000430,0.000239,-0.002207,0.0229,0.6869,0.8242,-0.001534,0.000000,0.000000,0.570641,-0.570641,0.585981,-0.582913,0.582913,-0.559903
0.0502,0.016754,0.000408,0.000227,-0.002096,0.0216,0.6524,0.7828,-0.001457,0.000000,0.000430,0.000239,-0.002207,0.0229,0.6869,0.8242,-0.001534,0.000000,0.000000,0.570641,-0.570641,0.585981,-0.582913,0.582913,-0.559903
0.0670,0.016758,0.000401,0.000223,-0.002059,0.0211,0.6409,0.7690,-0.001431,0.000000,0.000458,0.000254,-0.002245,-0.0165,0.7551,0.8766,-0.001534,0.000000,0.000000,0.569107,-0.569107,0.585981,-0.582913,0.582913,-0.558369
0.0838,0.016751,0.000394,0.000219,-0.002022,0.0206,0.6294,0.7552,-0.001405,0.000000,0.000458,0.000254,-0.002245,-0.0165,0.7551,0.8766,-0.001534,0.000000,0.000000,0.569107,-0.569107,0.585981,-0.582913,0.582913,-0.558369
0.1005,0.016746,0.000387,0.000215,-0.001985,0.0202,0.6179,0.7414,-0.001380,0.000000,0.000673,0.000252,-0.002367,-0.0111,0.9499,0.8698,-0.001534,0.000000,0.000000,0.562971,-0.567573,0.585981,-0.582913,0.581379,-0.552233
0.1172,0.016746,0.000380,0.000211,-0.001948,0.0197,0.6064,0.7276,-0.001354,0.000000,0.000732,0.000283,-0.002380,-0.0891,0.9632,0.9767,-0.001534,0.000000,0.000000,0.561437,-0.566039,0.585981,-0.582913,0.582913,-0.550699
0.1340,0.016743,0.000372,0.000207,-0.001911,0.0193,0.5949,0.7138,-0.001328,0.000000,0.000766,0.000318,-0.002392,-0.0306,0.9790,1.0189,-0.001534,0.000000,0.000000,0.561437,-0.566039,0.585981,-0.582913,0.582913,-0.549165
0.1507,0.016754,0.000365,0.000203,-0.001874,0.0189,0.5834,0.7000,-0.001303,0.000000,0.000763,0.000315,-0.002391,-0.0367,0.9773,1.0145,-0.003068,0.000000,0.000000,0.561437,-0.566039,0.585981,-0.582913,0.582913,-0.549165
