t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000247,0.000612,-0.002399,0.5503,0.4661,0.2921,-0.185612,0.182544,-0.000247,0.000612,-0.002399,0.5503,0.4661,0.2921,-0.185612,0.182544,0.000000,0.578311,-0.567573,0.572175,-0.579845,0.567573,-0.561437
0.0169,0.016929,-0.000243,0.000602,-0.002358,0.5409,0.4582,0.2872,-0.185424,0.182408,-0.000247,0.000612,-0.002399,0.5503,0.4661,0.2921,-0.185612,0.182544,0.000000,0.578311,-0.567573,0.572175,-0.579845,0.567573,-0.561437
0.0337,0.016766,-0.000239,0.000591,-0.002318,0.5317,0.4504,0.2822,-0.185238,0.182274,-0.000247,0.000612,-0.002399,0.5503,0.4661,0.2921,-0.185612,0.182544,0.000000,0.578311,-0.567573,0.572175,-0.579845,0.567573,-0.561437
0.0504,0.016741,-0.000235,0.000581,-0.002278,0.5225,0.4427,0.2773,-0.185053,0.182140,-0.000247,0.000612,-0.002399,0.5503,0.4661,0.2921,-0.185612,0.182544,0.000000,0.578311,-0.567573,0.572175,-0.579845,0.567573,-0.561437
0.0672,0.016755,-0.000231,0.000571,-0.002237,0.5132,0.4349,0.2724,-0.184867,0.182005,-0.000247,0.000612,-0.002399,0.5503,0.4661,0.2921,-0.187146,0.182544,0.000000,0.578311,-0.567573,0.572175,-0.579845,0.567573,-0.561437
0.0839,0.016741,-0.000227,0.000561,-0.002197,0.5040,0.4271,0.2675,-0.184682,0.181871,-0.000260,0.000666,-0.002424,0.5611,0.5180,0.3984,-0.185612,0.181010,0.000000,0.578311,-0.566039,0.572175,-0.579845,0.567573,-0.559903
0.1007,0.016743,-0.000222,0.000550,-0.002157,0.4948,0.4193,0.2625,-0.184496,0.181737,0.000135,0.000745,-0.002608,0.4930,0.7312,0.4384,-0.185612,0.181010,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.1174,0.016742,-0.000218,0.000540,-0.002117,0.4855,0.4115,0.2576,-0.184311,0.181603,0.000081,0.000683,-0.002576,0.4896,0.7604,0.4879,-0.185612,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.1345,0.017070,-0.000214,0.000530,-0.002076,0.4761,0.4036,0.2526,-0.184122,0.181466,0.000087,0.000689,-0.002580,0.4899,0.7573,0.4827,-0.187146,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.1512,0.016746,-0.000210,0.000519,-0.002036,0.4669,0.3958,0.2477,-0.183936,0.181332,0.000087,0.000689,-0.002580,0.4899,0.7573,0.4827,-0.187146,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.1681,0.016820,-0.000206,0.000509,-0.001995,0.4576,0.3880,0.2427,-0.183750,0.181197,0.000087,0.000689,-0.002580,0.4899,0.7573,0.4827,-0.187146,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.1937,0.025614,-0.000199,0.000493,-0.001934,0.4435,0.3761,0.2352,-0.183466,0.180992,0.000087,0.000689,-0.002580,0.4899,0.7573,0.4827,-0.187146,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.2104,0.016767,-0.000195,0.000483,-0.001894,0.4343,0.3683,0.2303,-0.183280,0.180858,0.000087,0.000689,-0.002580,0.4899,0.7573,0.4827,-0.187146,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.2272,0.016745,-0.000191,0.000473,-0.001854,0.4251,0.3605,0.2254,-0.183095,0.180724,0.000087,0.000689,-0.002580,0.4899,0.7573,0.4827,-0.185612,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.2439,0.016749,-0.000187,0.000463,-0.001813,0.4158,0.3527,0.2205,-0.182909,0.180590,0.000099,0.000743,-0.002592,0.5004,0.7064,0.4296,-0.187146,0.181010,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.2607,0.016752,-0.000183,0.000452,-0.001773,0.4066,0.3449,0.2156,-0.182724,0.180455,0.000085,0.000683,-0.002578,0.4888,0.7630,0.4888,-0.185612,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.2774,0.016754,-0.000179,0.000442,-0.001733,0.3974,0.3371,0.2107,-0.182538,0.180321,0.000086,0.000689,-0.002580,0.4900,0.7571,0.4826,-0.187146,0.181010,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.2942,0.016767,-0.000175,0.000432,-0.001693,0.3881,0.3293,0.2057,-0.182352,0.180187,0.000086,0.000689,-0.002580,0.4900,0.7571,0.4826,-0.185612,0.179476,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.3110,0.016766,-0.000170,0.000422,-0.001653,0.3789,0.3215,0.2008,-0.182167,0.180053,0.000086,0.000689,-0.002580,0.4900,0.7571,0.4826,-0.185612,0.179476,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.3277,0.016745,-0.000166,0.000411,-0.001613,0.3697,0.3137,0.1959,-0.181981,0.179918,0.000086,0.000689,-0.002580,0.4900,0.7571,0.4826,-0.185612,0.179476,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.3445,0.016752,-0.000162,0.000401,-0.001572,0.3605,0.3059,0.1910,-0.181795,0.179784,0.000086,0.000689,-0.002580,0.4900,0.7571,0.4826,-0.185612,0.179476,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.3612,0.016743,-0.000158,0.000391,-0.001532,0.3512,0.2981,0.1861,-0.181610,0.179650,0.000099,0.000743,-0.002592,0.5004,0.7064,0.4296,-0.184078,0.179476,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.3780,0.016755,-0.000154,0.000381,-0.001492,0.3420,0.2903,0.1812,-0.181424,0.179516,0.000098,0.000737,-0.002591,0.4993,0.7117,0.4351,-0.185612,0.179476,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.3947,0.016739,-0.000150,0.000370,-0.001452,0.3328,0.2825,0.1763,-0.181239,0.179382,0.000085,0.000683,-0.002578,0.4889,0.7624,0.4882,-0.184078,0.179476,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.4115,0.016777,-0.000146,0.000360,-0.001412,0.3236,0.2747,0.1714,-0.181053,0.179247,0.000085,0.000683,-0.002578,0.4889,0.7624,0.4882,-0.184078,0.179476,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.4282,0.016743,-0.000141,0.000350,-0.001371,0.3144,0.2669,0.1665,-0.180868,0.179113,0.000099,0.000743,-0.002592,0.5005,0.7059,0.4290,-0.184078,0.179476,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.4450,0.016751,-0.000137,0.000340,-0.001331,0.3051,0.2591,0.1616,-0.180682,0.178979,0.000098,0.000737,-0.002591,0.4993,0.7118,0.4352,-0.184078,0.179476,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.4617,0.016741,-0.000133,0.000329,-0.001291,0.2959,0.2513,0.1567,-0.180496,0.178845,0.000098,0.000737,-0.002591,0.4993,0.7118,0.4352,-0.184078,0.179476,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.4787,0.017012,-0.000129,0.000319,-0.001250,0.2866,0.2433,0.1517,-0.180308,0.178709,0.000085,0.000683,-0.002578,0.4889,0.7624,0.4882,-0.182544,0.179476,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.4955,0.016741,-0.000125,0.000309,-0.001210,0.2773,0.2355,0.1469,-0.180123,0.178575,0.000099,0.000743,-0.002592,0.5005,0.7059,0.4290,-0.182544,0.179476,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.5122,0.016759,-0.000121,0.000299,-0.001170,0.2681,0.2277,0.1420,-0.179937,0.178440,0.000099,0.000743,-0.002592,0.5005,0.7059,0.4290,-0.182544,0.179476,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
0.5290,0.016743,-0.000116,0.000288,-0.001130,0.2589,0.2199,0.1371,-0.179751,0.178306,0.000085,0.000683,-0.002578,0.4888,0.7630,0.4888,-0.182544,0.179476,0.000000,0.569107,-0.562971,0.572175,-0.579845,0.567573,-0.550699
0.5457,0.016753,-0.000112,0.000278,-0.001090,0.2497,0.2121,0.1322,-0.179566,0.178172,0.000099,0.000743,-0.002592,0.5005,0.7058,0.4290,-0.182544,0.179476,0.000000,0.569107,-0.562971,0.570641,-0.579845,0.567573,-0.550699
