t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000513,0.000965,-0.001450,0.5044,1.0155,-0.1459,-0.179476,0.176408,-0.000513,0.000965,-0.001450,0.5044,1.0155,-0.1459,-0.179476,0.176408,0.000000,0.596719,-0.584447,0.593651,-0.613592,0.585981,-0.582913
0.0168,0.016772,-0.000504,0.000949,-0.001425,0.4960,0.9984,-0.1435,-0.179393,0.176376,-0.000513,0.000965,-0.001450,0.5044,1.0155,-0.1459,-0.179476,0.176408,0.000000,0.596719,-0.584447,0.593651,-0.613592,0.585981,-0.582913
0.0335,0.016752,-0.000496,0.000933,-0.001401,0.4876,0.9814,-0.1411,-0.179310,0.176345,-0.000513,0.000965,-0.001450,0.5044,1.0155,-0.1459,-0.179476,0.176408,0.000000,0.596719,-0.584447,0.593651,-0.613592,0.585981,-0.582913
0.0503,0.016749,-0.000487,0.000917,-0.001377,0.4791,0.9644,-0.1388,-0.179227,0.176314,-0.000513,0.000965,-0.001450,0.5044,1.0155,-0.1459,-0.179476,0.176408,0.000000,0.596719,-0.584447,0.593651,-0.613592,0.585981,-0.582913
0.0670,0.016743,-0.000479,0.000901,-0.001353,0.4707,0.9474,-0.1364,-0.179144,0.176282,-0.000513,0.000965,-0.001450,0.5044,1.0155,-0.1459,-0.179476,0.176408,0.000000,0.596719,-0.584447,0.593651,-0.613592,0.585981,-0.582913
0.0838,0.016825,-0.000470,0.000884,-0.001328,0.4622,0.9303,-0.1340,-0.179061,0.176251,-0.000430,0.001075,-0.001512,0.5246,1.0496,-0.0930,-0.179476,0.176408,0.000000,0.595185,-0.582913,0.592117,-0.613592,0.585981,-0.579845
0.1006,0.016744,-0.000461,0.000868,-0.001304,0.4538,0.9133,-0.1316,-0.178979,0.176219,-0.000246,0.001077,-0.001629,0.4820,1.1821,0.1159,-0.179476,0.176408,0.000000,0.590583,-0.579845,0.592117,-0.612058,0.585981,-0.573709
0.1173,0.016752,-0.000453,0.000852,-0.001280,0.4454,0.8963,-0.1292,-0.178896,0.176188,-0.000246,0.001077,-0.001629,0.4820,1.1821,0.1159,-0.179476,0.176408,0.000000,0.590583,-0.579845,0.592117,-0.612058,0.585981,-0.573709
0.1341,0.016750,-0.000444,0.000836,-0.001255,0.4370,0.8793,-0.1268,-0.178813,0.176156,-0.000142,0.001148,-0.001655,0.4582,1.2162,-0.0686,-0.179476,0.176408,0.000000,0.587515,-0.579845,0.590583,-0.613592,0.585981,-0.572175
0.1508,0.016752,-0.000436,0.000820,-0.001231,0.4285,0.8623,-0.1244,-0.178730,0.176125,-0.000125,0.001125,-0.001652,0.4994,1.2811,0.0587,-0.179476,0.176408,0.000000,0.587515,-0.579845,0.592117,-0.613592,0.585981,-0.570641
0.1676,0.016742,-0.000427,0.000804,-0.001207,0.4201,0.8452,-0.1221,-0.178647,0.176094,-0.000127,0.001127,-0.001652,0.4951,1.2743,0.0455,-0.179476,0.176408,0.000000,0.587515,-0.579845,0.592117,-0.613592,0.585981,-0.570641
0.1843,0.016745,-0.000418,0.000787,-0.001183,0.4117,0.8282,-0.1197,-0.178565,0.176062,-0.000127,0.001127,-0.001652,0.4951,1.2743,0.0455,-0.179476,0.176408,0.000000,0.587515,-0.579845,0.592117,-0.613592,0.585981,-0.570641
0.2011,0.016756,-0.000410,0.000771,-0.001158,0.4032,0.8112,-0.1173,-0.178482,0.176031,-0.000127,0.001127,-0.001652,0.4951,1.2743,0.0455,-0.179476,0.176408,0.000000,0.587515,-0.579845,0.592117,-0.613592,0.585981,-0.570641
0.2178,0.016745,-0.000401,0.000755,-0.001134,0.3948,0.7942,-0.1149,-0.178399,0.175999,-0.000127,0.001127,-0.001652,0.4951,1.2743,0.0455,-0.179476,0.176408,0.000000,0.587515,-0.579845,0.592117,-0.613592,0.585981,-0.570641
0.2346,0.016742,-0.000393,0.000739,-0.001110,0.3864,0.7772,-0.1125,-0.178316,0.175968,-0.000225,0.001166,-0.001640,0.5452,1.1249,0.1015,-0.179476,0.176408,0.000000,0.590583,-0.579845,0.590583,-0.612058,0.585981,-0.572175
0.2513,0.016741,-0.000384,0.000723,-0.001085,0.3779,0.7602,-0.1101,-0.178234,0.175937,-0.000104,0.001067,-0.001665,0.4795,1.2402,0.0952,-0.179476,0.176408,0.000000,0.587515,-0.579845,0.592117,-0.612058,0.585981,-0.570641
