t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,0.001534,0.000000,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,0.001534,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0168,0.016832,0.000391,0.000482,-0.001984,0.7090,0.3165,0.9547,0.001508,0.000000,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,0.001534,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0336,0.016747,0.000385,0.000473,-0.001950,0.6969,0.3112,0.9385,0.001482,0.000000,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,0.001534,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0503,0.016757,0.000378,0.000465,-0.001917,0.6848,0.3059,0.9221,0.001457,0.000000,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,-0.003068,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0671,0.016792,0.000371,0.000457,-0.001883,0.6726,0.3006,0.9058,0.001431,0.000000,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,-0.003068,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0839,0.016742,0.000365,0.000449,-0.001849,0.6605,0.2953,0.8895,0.001405,0.000000,0.000468,0.000467,-0.002068,0.6328,0.4051,0.9713,0.001534,0.000000,0.000000,0.582913,-0.579845,0.585981,-0.582913,0.582913,-0.558369
0.1006,0.016745,0.000358,0.000441,-0.001815,0.6484,0.2900,0.8732,0.001380,0.000000,0.000583,0.000523,-0.002188,0.6544,0.6174,1.0773,0.004602,0.000000,0.000000,0.578311,-0.576777,0.585981,-0.582913,0.581379,-0.552233
0.1174,0.016754,0.000351,0.000432,-0.001781,0.6363,0.2847,0.8570,0.001354,0.000000,0.000707,0.000533,-0.002189,0.6145,0.5939,1.1192,0.001534,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.550699
0.1341,0.016738,0.000345,0.000424,-0.001747,0.6242,0.2794,0.8407,0.001328,0.000000,0.000707,0.000533,-0.002189,0.6145,0.5939,1.1192,0.001534,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.550699
0.1509,0.016751,0.000338,0.000416,-0.001714,0.6121,0.2741,0.8244,0.001303,0.000000,0.000680,0.000586,-0.002215,0.6297,0.6491,1.2217,-0.003068,0.000000,0.000000,0.576777,-0.575243,0.585981,-0.582913,0.582913,-0.549165
0.1676,0.016739,0.000331,0.000408,-0.001680,0.6000,0.2687,0.8081,0.001277,0.000000,0.000737,0.000565,-0.002200,0.6675,0.6080,1.1574,-0.001534,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.549165
0.1844,0.016755,0.000325,0.000400,-0.001646,0.5879,0.2634,0.7918,0.001251,0.000000,0.000731,0.000567,-0.002202,0.6636,0.6123,1.1641,0.003068,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.549165
0.2011,0.016744,0.000318,0.000391,-0.001612,0.5758,0.2581,0.7755,0.001226,0.000000,0.000637,0.000513,-0.002200,0.6520,0.6289,1.0568,0.001534,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.581379,-0.550699
0.2179,0.016786,0.000311,0.000383,-0.001578,0.5636,0.2528,0.7592,0.001200,0.000000,0.000701,0.000534,-0.002188,0.6147,0.5927,1.1213,-0.003068,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.550699
0.2346,0.016740,0.000305,0.000375,-0.001545,0.5515,0.2474,0.7429,0.001174,0.000000,0.000701,0.000534,-0.002188,0.6147,0.5927,1.1213,-0.003068,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.550699
0.2514,0.016752,0.000298,0.000367,-0.001511,0.5394,0.2421,0.7267,0.001148,0.000000,0.000735,0.000570,-0.002203,0.6691,0.6139,1.1679,-0.001534,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.549165
0.2681,0.016743,0.000291,0.000358,-0.001477,0.5273,0.2367,0.7104,0.001123,0.000000,0.000731,0.000566,-0.002201,0.6634,0.6117,1.1630,0.004602,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.549165
0.2849,0.016762,0.000285,0.000350,-0.001443,0.5152,0.2314,0.6941,0.001097,0.000000,0.000731,0.000566,-0.002201,0.6634,0.6117,1.1630,0.003068,0.000000,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.549165
