t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000280,0.000928,-0.002305,-0.1128,0.1718,1.3126,-0.177942,0.174874,0.000280,0.000928,-0.002305,-0.1128,0.1718,1.3126,-0.177942,0.174874,0.000000,0.578311,-0.559903,0.572175,-0.579845,0.590583,-0.559903
0.0169,0.016894,0.000276,0.000912,-0.002266,-0.1109,0.1688,1.2904,-0.177884,0.174868,0.000279,0.000933,-0.002303,-0.1117,0.1771,1.3071,-0.177942,0.174874,0.000000,0.578311,-0.559903,0.572175,-0.579845,0.590583,-0.559903
0.0341,0.017205,0.000271,0.000896,-0.002226,-0.1090,0.1659,1.2678,-0.177826,0.174862,0.000279,0.000933,-0.002303,-0.1117,0.1771,1.3071,-0.177942,0.174874,0.000000,0.578311,-0.559903,0.572175,-0.579845,0.590583,-0.559903
0.0509,0.016759,0.000266,0.000880,-0.002187,-0.1072,0.1630,1.2459,-0.177768,0.174856,0.000279,0.000933,-0.002303,-0.1117,0.1771,1.3071,-0.177942,0.174874,0.000000,0.578311,-0.559903,0.572175,-0.579845,0.590583,-0.559903
0.0676,0.016771,0.000261,0.000865,-0.002149,-0.1053,0.1601,1.2239,-0.177711,0.174851,0.000226,0.000948,-0.002316,-0.1516,0.2120,1.3607,-0.177942,0.174874,0.000000,0.578311,-0.558369,0.572175,-0.579845,0.590583,-0.559903
0.0844,0.016768,0.000257,0.000849,-0.002110,-0.1034,0.1572,1.2018,-0.177654,0.174845,0.000226,0.000948,-0.002316,-0.1516,0.2120,1.3607,-0.177942,0.174874,0.000000,0.578311,-0.558369,0.572175,-0.579845,0.590583,-0.559903
0.1012,0.016762,0.000252,0.000834,-0.002071,-0.1016,0.1543,1.1799,-0.177597,0.174839,0.000462,0.001031,-0.002454,-0.2138,0.3609,1.4056,-0.177942,0.174874,0.000000,0.572175,-0.555301,0.570641,-0.579845,0.590583,-0.553767
0.1179,0.016764,0.000247,0.000818,-0.002033,-0.0997,0.1514,1.1579,-0.177540,0.174834,0.000587,0.000967,-0.002477,-0.2163,0.4625,1.4533,-0.177942,0.174874,0.000000,0.569107,-0.555301,0.572175,-0.579845,0.590583,-0.550699
0.1347,0.016773,0.000243,0.000803,-0.001994,-0.0978,0.1485,1.1358,-0.177483,0.174828,0.000614,0.001012,-0.002489,-0.1657,0.4696,1.5015,-0.177942,0.174874,0.000000,0.569107,-0.555301,0.572175,-0.579845,0.590583,-0.549165
0.1514,0.016750,0.000238,0.000787,-0.001956,-0.0960,0.1456,1.1139,-0.177426,0.174822,0.000652,0.000968,-0.002499,-0.2206,0.4842,1.4428,-0.177942,0.174874,0.000000,0.567573,-0.555301,0.572175,-0.579845,0.590583,-0.549165
0.1682,0.016751,0.000233,0.000772,-0.001917,-0.0941,0.1427,1.0919,-0.177368,0.174816,0.000607,0.001011,-0.002486,-0.1652,0.4674,1.5026,-0.177942,0.174874,0.000000,0.569107,-0.555301,0.572175,-0.579845,0.590583,-0.549165
0.1850,0.016766,0.000229,0.000756,-0.001878,-0.0922,0.1398,1.0699,-0.177311,0.174811,0.000607,0.001011,-0.002486,-0.1652,0.4674,1.5026,-0.177942,0.174874,0.000000,0.569107,-0.555301,0.572175,-0.579845,0.590583,-0.549165
0.2017,0.016747,0.000224,0.000740,-0.001840,-0.0904,0.1369,1.0479,-0.177254,0.174805,0.000612,0.001007,-0.002488,-0.1710,0.4691,1.4963,-0.177942,0.174874,0.000000,0.569107,-0.555301,0.572175,-0.579845,0.590583,-0.549165
