t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000016,0.000691,-0.001830,1.2864,0.8706,-0.8277,-0.010738,0.009204,0.000016,0.000691,-0.001830,1.2864,0.8706,-0.8277,-0.010738,0.009204,0.000000,0.585981,-0.595185,0.585981,-0.602854,0.567573,-0.567573
0.0167,0.016743,0.000016,0.000680,-0.001800,1.2650,0.8559,-0.8140,-0.010558,0.009050,-0.000030,0.000735,-0.001817,1.3421,0.8526,-0.7674,-0.010738,0.009204,0.000000,0.587515,-0.595185,0.585981,-0.602854,0.567573,-0.567573
0.0335,0.016778,0.000016,0.000668,-0.001769,1.2435,0.8411,-0.8003,-0.010378,0.008895,-0.000025,0.000730,-0.001818,1.3363,0.8545,-0.7737,-0.010738,0.009204,0.000000,0.587515,-0.595185,0.585981,-0.602854,0.567573,-0.567573
0.0503,0.016745,0.000015,0.000657,-0.001738,1.2220,0.8264,-0.7866,-0.010198,0.008741,-0.000025,0.000730,-0.001818,1.3363,0.8545,-0.7737,-0.010738,0.009204,0.000000,0.587515,-0.595185,0.585981,-0.602854,0.567573,-0.567573
0.0670,0.016756,0.000015,0.000645,-0.001708,1.2006,0.8117,-0.7728,-0.010018,0.008587,-0.000025,0.000730,-0.001818,1.3363,0.8545,-0.7737,-0.010738,0.009204,0.000000,0.587515,-0.595185,0.585981,-0.602854,0.567573,-0.567573
0.0838,0.016746,0.000015,0.000633,-0.001677,1.1791,0.7970,-0.7591,-0.009838,0.008433,0.000084,0.000747,-0.001880,1.2975,0.9552,-0.7191,-0.010738,0.009204,0.000000,0.584447,-0.593651,0.585981,-0.602854,0.567573,-0.564505
0.1005,0.016761,0.000015,0.000622,-0.001646,1.1577,0.7823,-0.7454,-0.009658,0.008279,0.000412,0.000689,-0.001985,1.2891,1.0263,-0.6717,-0.010738,0.009204,0.000000,0.578311,-0.593651,0.585981,-0.601320,0.567573,-0.558369
0.1173,0.016761,0.000014,0.000610,-0.001616,1.1362,0.7676,-0.7316,-0.009478,0.008124,0.000406,0.000711,-0.002012,1.2512,1.0869,-0.6228,-0.010738,0.009204,0.000000,0.576777,-0.592117,0.585981,-0.601320,0.567573,-0.556835
0.1341,0.016768,0.000014,0.000599,-0.001585,1.1147,0.7528,-0.7179,-0.009298,0.007970,0.000406,0.000711,-0.002012,1.2512,1.0869,-0.6228,-0.010738,0.009204,0.000000,0.576777,-0.592117,0.585981,-0.602854,0.567573,-0.555301
0.1508,0.016742,0.000014,0.000587,-0.001554,1.0932,0.7382,-0.7041,-0.009119,0.007816,0.000433,0.000804,-0.002010,1.3154,1.1479,-0.6277,-0.010738,0.009204,0.000000,0.576777,-0.592117,0.585981,-0.602854,0.567573,-0.555301
0.1676,0.016759,0.000013,0.000575,-0.001524,1.0718,0.7235,-0.6904,-0.008939,0.007662,0.000431,0.000794,-0.002010,1.3087,1.1415,-0.6272,-0.010738,0.009204,0.000000,0.576777,-0.592117,0.585981,-0.602854,0.567573,-0.555301
0.1843,0.016743,0.000013,0.000564,-0.001493,1.0503,0.7088,-0.6766,-0.008759,0.007508,0.000431,0.000794,-0.002010,1.3087,1.1415,-0.6272,-0.010738,0.009204,0.000000,0.576777,-0.592117,0.585981,-0.602854,0.567573,-0.555301
0.2011,0.016757,0.000013,0.000552,-0.001462,1.0288,0.6941,-0.6629,-0.008579,0.007353,0.000391,0.000756,-0.001997,1.2597,1.1252,-0.6810,-0.010738,0.009204,0.000000,0.576777,-0.592117,0.585981,-0.602854,0.567573,-0.556835
