t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000633,0.001345,-0.002486,0.6147,3.0652,0.5766,-0.179476,0.176408,-0.000633,0.001345,-0.002486,0.6148,3.0652,0.5766,-0.179476,0.176408,0.000000,0.564505,-0.547631,0.593651,-0.613592,0.559903,-0.538427
0.0168,0.016755,-0.000622,0.001323,-0.002444,0.6042,3.0140,0.5667,-0.179393,0.176376,-0.000633,0.001345,-0.002486,0.6148,3.0652,0.5766,-0.179476,0.176408,0.000000,0.564505,-0.547631,0.593651,-0.613592,0.559903,-0.538427
0.0335,0.016741,-0.000612,0.001300,-0.002403,0.5936,2.9627,0.5568,-0.179310,0.176345,-0.000581,0.001330,-0.002473,0.6544,3.0301,0.5252,-0.179476,0.176408,0.000000,0.564505,-0.549165,0.593651,-0.613592,0.559903,-0.538427
0.0504,0.016871,-0.000601,0.001277,-0.002361,0.5830,2.9111,0.5468,-0.179227,0.176313,-0.000639,0.001347,-0.002488,0.6102,3.0693,0.5826,-0.179476,0.176408,0.000000,0.564505,-0.547631,0.593651,-0.613592,0.559903,-0.538427
0.0671,0.016746,-0.000590,0.001255,-0.002319,0.5725,2.8598,0.5369,-0.179144,0.176282,-0.000633,0.001345,-0.002486,0.6148,3.0652,0.5766,-0.179476,0.176408,0.000000,0.564505,-0.547631,0.593651,-0.613592,0.559903,-0.538427
0.0839,0.016760,-0.000580,0.001232,-0.002278,0.5620,2.8085,0.5270,-0.179061,0.176251,-0.000633,0.001345,-0.002486,0.6148,3.0652,0.5766,-0.179476,0.176408,0.000000,0.564505,-0.547631,0.593651,-0.613592,0.559903,-0.538427
0.1006,0.016734,-0.000569,0.001210,-0.002236,0.5515,2.7573,0.5171,-0.178978,0.176219,-0.000430,0.001414,-0.002586,0.5856,3.1507,0.5739,-0.179476,0.176408,0.000000,0.559903,-0.546097,0.592117,-0.613592,0.559903,-0.533825
0.1174,0.016754,-0.000559,0.001187,-0.002194,0.5410,2.7060,0.5072,-0.178896,0.176188,-0.000330,0.001445,-0.002613,0.6386,3.1933,0.6276,-0.179476,0.176408,0.000000,0.558369,-0.546097,0.592117,-0.613592,0.559903,-0.530757
0.1341,0.016767,-0.000548,0.001165,-0.002153,0.5305,2.6547,0.4974,-0.178813,0.176156,-0.000259,0.001442,-0.002635,0.6332,3.2223,0.6215,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.559903,-0.529223
0.1509,0.016750,-0.000537,0.001142,-0.002111,0.5200,2.6034,0.4875,-0.178730,0.176125,-0.000226,0.001481,-0.002646,0.6838,3.2373,0.6761,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.559903,-0.527689
0.1676,0.016748,-0.000527,0.001120,-0.002069,0.5095,2.5521,0.4777,-0.178647,0.176094,-0.000230,0.001477,-0.002645,0.6785,3.2358,0.6704,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.559903,-0.527689
0.1844,0.016758,-0.000516,0.001097,-0.002028,0.4990,2.5008,0.4678,-0.178564,0.176062,-0.000230,0.001477,-0.002645,0.6785,3.2358,0.6704,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.559903,-0.527689
0.2011,0.016761,-0.000506,0.001075,-0.001986,0.4886,2.4495,0.4580,-0.178482,0.176031,-0.000230,0.001477,-0.002645,0.6785,3.2358,0.6704,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.559903,-0.527689
0.2179,0.016747,-0.000495,0.001052,-0.001944,0.4781,2.3982,0.4482,-0.178399,0.175999,-0.000311,0.001478,-0.002620,0.6789,3.2025,0.6715,-0.179476,0.176408,0.000000,0.558369,-0.546097,0.592117,-0.613592,0.559903,-0.529223
0.2346,0.016745,-0.000484,0.001030,-0.001903,0.4677,2.3469,0.4384,-0.178316,0.175968,-0.000302,0.001478,-0.002623,0.6789,3.2060,0.6714,-0.179476,0.176408,0.000000,0.558369,-0.546097,0.592117,-0.613592,0.559903,-0.529223
0.2514,0.016749,-0.000474,0.001007,-0.001861,0.4572,2.2956,0.4286,-0.178233,0.175936,-0.000263,0.001517,-0.002636,0.7289,3.2237,0.7253,-0.179476,0.176408,0.000000,0.558369,-0.546097,0.592117,-0.613592,0.559903,-0.527689
0.2686,0.017251,-0.000463,0.000984,-0.001818,0.4465,2.2427,0.4185,-0.178148,0.175904,-0.000279,0.001459,-0.002659,0.7138,3.2712,0.6134,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.558369,-0.527689
0.2854,0.016751,-0.000452,0.000961,-0.001777,0.4361,2.1914,0.4087,-0.178065,0.175873,-0.000279,0.001459,-0.002659,0.7138,3.2712,0.6134,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.558369,-0.527689
0.3021,0.016758,-0.000442,0.000939,-0.001735,0.4257,2.1400,0.3989,-0.177982,0.175841,-0.000224,0.001479,-0.002644,0.6754,3.2323,0.6770,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.559903,-0.527689
0.3189,0.016746,-0.000431,0.000916,-0.001693,0.4153,2.0887,0.3891,-0.177900,0.175810,-0.000230,0.001477,-0.002645,0.6794,3.2363,0.6703,-0.179476,0.176408,0.000000,0.556835,-0.546097,0.592117,-0.613592,0.559903,-0.527689
