t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000256,-0.000013,-0.001901,-0.1435,0.2547,0.0975,-0.001534,0.000000,0.000256,-0.000013,-0.001901,-0.1435,0.2547,0.0975,-0.001534,0.000000,0.000000,0.576777,-0.581379,0.585981,-0.585981,0.585981,-0.578311
0.0168,0.016756,0.000252,-0.000012,-0.001869,-0.1411,0.2505,0.0959,-0.001508,0.000000,0.000309,0.000003,-0.001889,-0.1819,0.2204,0.1508,-0.004602,0.000000,0.000000,0.576777,-0.581379,0.585981,-0.585981,0.587515,-0.578311
0.0335,0.016751,0.000247,-0.000012,-0.001837,-0.1387,0.2462,0.0943,-0.001483,0.000000,0.000304,0.000002,-0.001890,-0.1779,0.2240,0.1452,-0.001534,0.000000,0.000000,0.576777,-0.581379,0.585981,-0.585981,0.587515,-0.578311
0.0503,0.016755,0.000243,-0.000012,-0.001805,-0.1363,0.2419,0.0926,-0.001457,0.000000,0.000250,-0.000014,-0.001902,-0.1395,0.2583,0.0920,0.004602,0.000000,0.000000,0.576777,-0.581379,0.585981,-0.585981,0.585981,-0.578311
0.0670,0.016745,0.000239,-0.000012,-0.001773,-0.1339,0.2377,0.0910,-0.001431,0.000000,0.000250,-0.000014,-0.001902,-0.1395,0.2583,0.0920,0.004602,0.000000,0.000000,0.576777,-0.581379,0.585981,-0.585981,0.585981,-0.578311
0.0838,0.016754,0.000234,-0.000012,-0.001742,-0.1315,0.2334,0.0894,-0.001405,0.000000,0.000474,0.000019,-0.002026,-0.2214,0.4560,0.2044,0.000000,0.000000,0.000000,0.570641,-0.578311,0.585981,-0.585981,0.585981,-0.572175
0.1005,0.016744,0.000230,-0.000011,-0.001710,-0.1291,0.2291,0.0877,-0.001380,0.000000,0.000547,0.000085,-0.002101,-0.2410,0.5877,0.3530,-0.004602,0.000000,0.000000,0.567573,-0.575243,0.585981,-0.585981,0.585981,-0.567573
0.1173,0.016771,0.000226,-0.000011,-0.001678,-0.1267,0.2249,0.0861,-0.001354,0.000000,0.000634,0.000133,-0.002094,-0.2277,0.5559,0.4448,-0.001534,0.000000,0.000000,0.567573,-0.575243,0.585981,-0.585981,0.587515,-0.566039
0.1340,0.016747,0.000222,-0.000011,-0.001646,-0.1243,0.2206,0.0845,-0.001328,0.000000,0.000666,0.000167,-0.002107,-0.1790,0.5760,0.4888,0.003068,0.000000,0.000000,0.567573,-0.575243,0.585981,-0.585981,0.587515,-0.564505
0.1508,0.016758,0.000217,-0.000011,-0.001614,-0.1219,0.2163,0.0829,-0.001303,0.000000,0.000662,0.000163,-0.002106,-0.1841,0.5739,0.4842,0.000000,0.000000,0.000000,0.567573,-0.575243,0.585981,-0.585981,0.587515,-0.564505
0.1675,0.016745,0.000213,-0.000010,-0.001582,-0.1195,0.2121,0.0812,-0.001277,0.000000,0.000662,0.000163,-0.002106,-0.1841,0.5739,0.4842,0.000000,0.000000,0.000000,0.567573,-0.575243,0.585981,-0.585981,0.587515,-0.564505
0.1843,0.016760,0.000209,-0.000010,-0.001551,-0.1171,0.2078,0.0796,-0.001251,0.000000,0.000609,0.000148,-0.002118,-0.1449,0.6088,0.4310,-0.006136,0.000000,0.000000,0.567573,-0.575243,0.585981,-0.585981,0.585981,-0.564505
0.2010,0.016750,0.000204,-0.000010,-0.001519,-0.1147,0.2035,0.0780,-0.001226,0.000000,0.000614,0.000149,-0.002117,-0.1490,0.6052,0.4365,-0.003068,0.000000,0.000000,0.567573,-0.575243,0.585981,-0.585981,0.585981,-0.564505
