t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000673,0.000860,-0.002504,0.6027,0.5445,-0.2403,-0.012272,0.010738,-0.000673,0.000860,-0.002504,0.6027,0.5445,-0.2403,-0.012272,0.010738,0.000000,0.578311,-0.562971,0.564505,-0.582913,0.559903,-0.564505
0.0167,0.016747,-0.000661,0.000846,-0.002462,0.5926,0.5353,-0.2363,-0.012066,0.010558,-0.000673,0.000860,-0.002504,0.6027,0.5445,-0.2403,-0.012272,0.010738,0.000000,0.578311,-0.562971,0.564505,-0.582913,0.559903,-0.564505
0.0335,0.016757,-0.000650,0.000832,-0.002420,0.5825,0.5262,-0.2323,-0.011861,0.010378,-0.000673,0.000860,-0.002504,0.6027,0.5445,-0.2403,-0.013806,0.010738,0.000000,0.578311,-0.562971,0.564505,-0.582913,0.559903,-0.564505
0.0503,0.016759,-0.000639,0.000817,-0.002378,0.5724,0.5170,-0.2283,-0.011655,0.010198,-0.000673,0.000860,-0.002504,0.6027,0.5445,-0.2403,-0.013806,0.010738,0.000000,0.578311,-0.562971,0.564505,-0.582913,0.559903,-0.564505
0.0670,0.016745,-0.000627,0.000803,-0.002336,0.5624,0.5079,-0.2243,-0.011450,0.010018,-0.000685,0.000914,-0.002530,0.6126,0.5962,-0.1328,-0.012272,0.009204,0.000000,0.578311,-0.561437,0.564505,-0.582913,0.559903,-0.562971
0.0843,0.017276,-0.000616,0.000788,-0.002293,0.5520,0.4985,-0.2202,-0.011238,0.009833,-0.000399,0.000978,-0.002651,0.5819,0.7079,-0.1452,-0.012272,0.009204,0.000000,0.572175,-0.559903,0.562971,-0.582913,0.559903,-0.556835
0.1010,0.016761,-0.000605,0.000774,-0.002251,0.5419,0.4893,-0.2162,-0.011032,0.009653,-0.000279,0.000917,-0.002674,0.5738,0.8148,-0.0908,-0.012272,0.009204,0.000000,0.569107,-0.559903,0.564505,-0.582913,0.559903,-0.553767
0.1178,0.016779,-0.000593,0.000759,-0.002209,0.5318,0.4802,-0.2123,-0.010826,0.009473,-0.000292,0.000923,-0.002672,0.5747,0.8037,-0.0965,-0.013806,0.009204,0.000000,0.569107,-0.559903,0.564505,-0.582913,0.559903,-0.553767
0.1346,0.016758,-0.000582,0.000745,-0.002167,0.5217,0.4711,-0.2083,-0.010620,0.009293,-0.000263,0.001016,-0.002673,0.6350,0.8731,-0.0959,-0.013806,0.009204,0.000000,0.569107,-0.559903,0.564505,-0.584447,0.559903,-0.552233
0.1513,0.016761,-0.000571,0.000730,-0.002125,0.5116,0.4619,-0.2043,-0.010415,0.009113,-0.000263,0.001016,-0.002673,0.6350,0.8731,-0.0959,-0.013806,0.009204,0.000000,0.569107,-0.559903,0.564505,-0.584447,0.559903,-0.552233
