t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000547,0.001435,-0.001673,1.7441,1.1067,-0.5721,-0.003068,0.000000,-0.000547,0.001435,-0.001673,1.7441,1.1067,-0.5721,-0.003068,0.000000,0.000000,0.601320,-0.592117,0.585981,-0.613592,0.567573,-0.567573
0.0167,0.016745,-0.000538,0.001411,-0.001645,1.7150,1.0880,-0.5628,-0.003017,0.000000,-0.000547,0.001435,-0.001673,1.7441,1.1067,-0.5721,0.003068,0.000000,0.000000,0.601320,-0.592117,0.585981,-0.613592,0.567573,-0.567573
0.0335,0.016745,-0.000529,0.001387,-0.001617,1.6859,1.0694,-0.5535,-0.002965,0.000000,-0.000547,0.001435,-0.001673,1.7441,1.1067,-0.5721,0.003068,0.000000,0.000000,0.601320,-0.592117,0.585981,-0.613592,0.567573,-0.567573
0.0502,0.016752,-0.000519,0.001363,-0.001589,1.6567,1.0507,-0.5441,-0.002914,0.000000,-0.000547,0.001435,-0.001673,1.7441,1.1067,-0.5721,0.003068,0.000000,0.000000,0.601320,-0.592117,0.585981,-0.613592,0.567573,-0.567573
0.0670,0.016770,-0.000510,0.001339,-0.001561,1.6276,1.0320,-0.5348,-0.002862,0.000000,-0.000547,0.001435,-0.001673,1.7441,1.1067,-0.5721,-0.004602,0.000000,0.000000,0.601320,-0.592117,0.585981,-0.613592,0.567573,-0.567573
0.0838,0.016745,-0.000501,0.001315,-0.001533,1.5985,1.0134,-0.5255,-0.002811,0.000000,-0.000383,0.001434,-0.001722,1.7426,1.1729,-0.5734,-0.003068,0.000000,0.000000,0.598253,-0.592117,0.585981,-0.613592,0.567573,-0.564505
0.1005,0.016743,-0.000492,0.001291,-0.001505,1.5693,0.9947,-0.5161,-0.002760,0.000000,-0.000209,0.001528,-0.001805,1.8020,1.3024,-0.4120,0.004602,0.000000,0.000000,0.595185,-0.590583,0.585981,-0.613592,0.567573,-0.558369
0.1173,0.016759,-0.000483,0.001267,-0.001477,1.5402,0.9761,-0.5067,-0.002708,0.000000,-0.000188,0.001557,-0.001809,1.8454,1.3067,-0.3748,0.004602,0.000000,0.000000,0.595185,-0.590583,0.585981,-0.613592,0.567573,-0.556835
0.1340,0.016765,-0.000474,0.001243,-0.001449,1.5110,0.9574,-0.4974,-0.002657,0.000000,-0.000108,0.001554,-0.001833,1.8406,1.3392,-0.3791,-0.006136,0.000000,0.000000,0.593651,-0.590583,0.585981,-0.613592,0.567573,-0.555301
0.1508,0.016817,-0.000464,0.001219,-0.001421,1.4818,0.9387,-0.4879,-0.002605,0.000000,-0.000108,0.001554,-0.001833,1.8406,1.3392,-0.3791,-0.006136,0.000000,0.000000,0.593651,-0.590583,0.585981,-0.613592,0.567573,-0.555301
0.1676,0.016757,-0.000455,0.001195,-0.001393,1.4526,0.9201,-0.4785,-0.002554,0.000000,-0.000116,0.001554,-0.001831,1.8411,1.3358,-0.3787,-0.004602,0.000000,0.000000,0.593651,-0.590583,0.585981,-0.613592,0.567573,-0.555301
0.1844,0.016757,-0.000446,0.001171,-0.001365,1.4234,0.9014,-0.4691,-0.002502,0.000000,-0.000116,0.001554,-0.001831,1.8411,1.3358,-0.3787,0.003068,0.000000,0.000000,0.593651,-0.590583,0.585981,-0.613592,0.567573,-0.555301
0.2011,0.016749,-0.000437,0.001147,-0.001337,1.3943,0.8828,-0.4597,-0.002451,0.000000,-0.000155,0.001515,-0.001818,1.7915,1.3185,-0.4326,0.001534,0.000000,0.000000,0.593651,-0.590583,0.585981,-0.613592,0.567573,-0.556835
0.2179,0.016759,-0.000428,0.001123,-0.001309,1.3651,0.8642,-0.4503,-0.002400,0.000000,-0.000193,0.001559,-0.001808,1.8465,1.3050,-0.3726,-0.003068,0.000000,0.000000,0.595185,-0.590583,0.585981,-0.613592,0.567573,-0.556835
0.2349,0.017080,-0.000418,0.001098,-0.001280,1.3354,0.8452,-0.4407,-0.002347,0.000000,-0.000189,0.001554,-0.001809,1.8408,1.3064,-0.3789,-0.004602,0.000000,0.000000,0.595185,-0.590583,0.585981,-0.613592,0.567573,-0.556835
0.2517,0.016742,-0.000409,0.001074,-0.001252,1.3062,0.8266,-0.4313,-0.002296,0.000000,-0.000189,0.001554,-0.001809,1.8408,1.3064,-0.3789,-0.004602,0.000000,0.000000,0.595185,-0.590583,0.585981,-0.613592,0.567573,-0.556835
0.2684,0.016752,-0.000400,0.001050,-0.001224,1.2770,0.8080,-0.4218,-0.002244,0.000000,-0.000189,0.001554,-0.001809,1.8408,1.3064,-0.3789,0.000000,0.000000,0.000000,0.595185,-0.590583,0.585981,-0.613592,0.567573,-0.556835
0.2852,0.016744,-0.000391,0.001026,-0.001196,1.2479,0.7894,-0.4124,-0.002193,0.000000,-0.000108,0.001554,-0.001833,1.8410,1.3393,-0.3787,0.003068,0.000000,0.000000,0.593651,-0.590583,0.585981,-0.613592,0.567573,-0.555301
0.3019,0.016751,-0.000382,0.001002,-0.001168,1.2187,0.7708,-0.4029,-0.002142,0.000000,-0.000116,0.001554,-0.001831,1.8410,1.3358,-0.3787,-0.004602,0.000000,0.000000,0.593651,-0.590583,0.585981,-0.613592,0.567573,-0.555301
0.3187,0.016729,-0.000373,0.000978,-0.001140,1.1896,0.7522,-0.3934,-0.002090,0.000000,-0.000116,0.001554,-0.001831,1.8410,1.3358,-0.3787,-0.004602,0.000000,0.000000,0.593651,-0.590583,0.585981,-0.613592,0.567573,-0.555301
0.3354,0.016770,-0.000364,0.000954,-0.001112,1.1603,0.7336,-0.3839,-0.002039,0.000000,-0.000158,0.001594,-0.001820,1.8909,1.3209,-0.3243,0.001534,0.000000,0.000000,0.595185,-0.590583,0.585981,-0.613592,0.567573,-0.555301
