t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000162,0.000788,-0.002398,0.2443,0.3174,0.0901,-0.004602,0.003068,0.000162,0.000788,-0.002398,0.2443,0.3174,0.0901,-0.004602,0.003068,0.000000,0.572175,-0.567573,0.567573,-0.582913,0.575243,-0.561437
0.0168,0.016749,0.000159,0.000774,-0.002358,0.2402,0.3121,0.0886,-0.004525,0.003017,0.000143,0.000767,-0.002424,0.1508,0.3727,0.0960,-0.004602,0.003068,0.000000,0.570641,-0.566039,0.567573,-0.582913,0.575243,-0.561437
0.0335,0.016767,0.000156,0.000761,-0.002317,0.2361,0.3068,0.0871,-0.004448,0.002965,0.000144,0.000846,-0.002385,0.2600,0.3668,0.0420,-0.004602,0.003068,0.000000,0.572175,-0.567573,0.567573,-0.584447,0.575243,-0.561437
0.0503,0.016745,0.000153,0.000748,-0.002277,0.2320,0.3015,0.0856,-0.004371,0.002914,0.000144,0.000760,-0.002425,0.1492,0.3676,0.1010,-0.004602,0.001534,0.000000,0.570641,-0.566039,0.567573,-0.582913,0.575243,-0.561437
0.0671,0.016790,0.000151,0.000735,-0.002237,0.2279,0.2962,0.0840,-0.004293,0.002862,0.000266,0.000808,-0.002459,0.2103,0.4178,0.1480,-0.004602,0.001534,0.000000,0.569107,-0.566039,0.567573,-0.582913,0.575243,-0.558369
0.0838,0.016748,0.000148,0.000722,-0.002197,0.2238,0.2908,0.0825,-0.004216,0.002811,0.000266,0.000808,-0.002459,0.2103,0.4178,0.1480,-0.004602,0.001534,0.000000,0.569107,-0.566039,0.567573,-0.582913,0.575243,-0.558369
0.1005,0.016748,0.000145,0.000708,-0.002157,0.2197,0.2855,0.0810,-0.004139,0.002759,0.000483,0.000856,-0.002557,0.2144,0.5646,0.2489,-0.003068,0.001534,0.000000,0.564505,-0.564505,0.567573,-0.582913,0.575243,-0.552233
0.1173,0.016749,0.000143,0.000695,-0.002117,0.2156,0.2802,0.0795,-0.004062,0.002708,0.000502,0.000812,-0.002559,0.1640,0.5653,0.1850,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.552233
0.1341,0.016769,0.000140,0.000682,-0.002076,0.2115,0.2749,0.0780,-0.003985,0.002657,0.000540,0.000855,-0.002572,0.2192,0.5825,0.2449,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.1508,0.016751,0.000137,0.000669,-0.002036,0.2074,0.2696,0.0764,-0.003908,0.002605,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2386,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.1676,0.016786,0.000134,0.000656,-0.001996,0.2033,0.2643,0.0749,-0.003831,0.002554,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2386,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.1844,0.016750,0.000132,0.000642,-0.001956,0.1992,0.2590,0.0734,-0.003754,0.002502,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2386,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.2011,0.016774,0.000129,0.000629,-0.001916,0.1951,0.2536,0.0719,-0.003676,0.002451,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2386,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.2179,0.016748,0.000126,0.000616,-0.001875,0.1910,0.2483,0.0704,-0.003599,0.002400,0.000455,0.000852,-0.002545,0.2141,0.5477,0.2395,-0.004602,0.001534,0.000000,0.564505,-0.564505,0.567573,-0.582913,0.575243,-0.552233
0.2346,0.016768,0.000124,0.000603,-0.001835,0.1869,0.2430,0.0689,-0.003522,0.002348,0.000504,0.000813,-0.002560,0.1640,0.5671,0.1860,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.552233
0.2514,0.016752,0.000121,0.000590,-0.001795,0.1828,0.2377,0.0673,-0.003445,0.002297,0.000540,0.000855,-0.002572,0.2192,0.5823,0.2448,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.2682,0.016794,0.000118,0.000576,-0.001755,0.1787,0.2324,0.0658,-0.003368,0.002245,0.000536,0.000851,-0.002570,0.2134,0.5808,0.2387,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.2849,0.016748,0.000115,0.000563,-0.001715,0.1746,0.2270,0.0643,-0.003291,0.002194,0.000536,0.000851,-0.002570,0.2134,0.5808,0.2387,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.3017,0.016749,0.000113,0.000550,-0.001674,0.1706,0.2217,0.0628,-0.003214,0.002142,0.000536,0.000851,-0.002570,0.2134,0.5808,0.2387,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.3184,0.016742,0.000110,0.000537,-0.001634,0.1665,0.2164,0.0613,-0.003137,0.002091,0.000536,0.000851,-0.002570,0.2134,0.5808,0.2387,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.3352,0.016761,0.000107,0.000524,-0.001594,0.1624,0.2111,0.0598,-0.003059,0.002040,0.000496,0.000813,-0.002557,0.1641,0.5636,0.1860,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.552233
0.3519,0.016744,0.000105,0.000510,-0.001554,0.1583,0.2058,0.0583,-0.002982,0.001988,0.000540,0.000855,-0.002572,0.2192,0.5827,0.2448,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.3687,0.016803,0.000102,0.000497,-0.001514,0.1542,0.2004,0.0567,-0.002905,0.001937,0.000540,0.000855,-0.002572,0.2192,0.5827,0.2448,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.3855,0.016748,0.000099,0.000484,-0.001473,0.1501,0.1951,0.0552,-0.002828,0.001885,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2387,-0.004602,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.4022,0.016750,0.000097,0.000471,-0.001433,0.1460,0.1898,0.0537,-0.002751,0.001834,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2387,-0.003068,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.4193,0.017057,0.000094,0.000457,-0.001392,0.1418,0.1844,0.0522,-0.002672,0.001782,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2387,-0.001534,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.4441,0.024771,0.000090,0.000438,-0.001333,0.1358,0.1765,0.0499,-0.002558,0.001706,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2387,-0.001534,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.4608,0.016752,0.000087,0.000425,-0.001293,0.1317,0.1712,0.0484,-0.002481,0.001654,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2387,-0.001534,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.4776,0.016748,0.000084,0.000411,-0.001253,0.1276,0.1659,0.0469,-0.002404,0.001603,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2387,-0.001534,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
0.4943,0.016754,0.000082,0.000398,-0.001213,0.1235,0.1606,0.0454,-0.002327,0.001551,0.000536,0.000851,-0.002570,0.2134,0.5807,0.2387,-0.001534,0.001534,0.000000,0.562971,-0.564505,0.567573,-0.582913,0.575243,-0.550699
