t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000108,0.000951,-0.002353,0.5020,0.4169,4.8079,-0.177942,0.174874,-0.000108,0.000951,-0.002353,0.5020,0.4169,4.8079,-0.177942,0.174874,0.000000,0.604388,-0.544563,0.593651,-0.561437,0.598253,-0.538427
0.0168,0.016769,-0.000106,0.000935,-0.002313,0.4933,0.4103,4.7274,-0.177885,0.174868,-0.000104,0.000947,-0.002354,0.4970,0.4183,4.8023,-0.177942,0.174874,0.000000,0.604388,-0.544563,0.593651,-0.561437,0.598253,-0.538427
0.0335,0.016743,-0.000104,0.000919,-0.002274,0.4846,0.4037,4.6469,-0.177828,0.174862,-0.000104,0.000947,-0.002354,0.4970,0.4183,4.8023,-0.177942,0.174874,0.000000,0.604388,-0.544563,0.593651,-0.561437,0.598253,-0.538427
0.0504,0.016905,-0.000103,0.000903,-0.002234,0.4759,0.3970,4.5657,-0.177770,0.174857,-0.000104,0.000947,-0.002354,0.4970,0.4183,4.8023,-0.177942,0.174874,0.000000,0.604388,-0.544563,0.593651,-0.561437,0.598253,-0.538427
0.0672,0.016771,-0.000101,0.000887,-0.002195,0.4672,0.3903,4.4851,-0.177713,0.174851,-0.000104,0.000947,-0.002354,0.4970,0.4183,4.8023,-0.177942,0.174874,0.000000,0.604388,-0.544563,0.593651,-0.561437,0.598253,-0.538427
0.0843,0.017159,-0.000099,0.000871,-0.002154,0.4584,0.3835,4.4027,-0.177654,0.174845,-0.000104,0.000947,-0.002354,0.4970,0.4183,4.8023,-0.177942,0.174874,0.000000,0.604388,-0.544563,0.593651,-0.561437,0.598253,-0.538427
0.1011,0.016749,-0.000097,0.000855,-0.002115,0.4497,0.3768,4.3222,-0.177597,0.174839,0.000207,0.001104,-0.002595,0.5427,0.6117,4.9504,-0.177942,0.174874,0.000000,0.596719,-0.539961,0.590583,-0.559903,0.596719,-0.527689
0.1179,0.016774,-0.000095,0.000839,-0.002075,0.4411,0.3701,4.2416,-0.177540,0.174834,0.000207,0.001104,-0.002595,0.5427,0.6117,4.9504,-0.177942,0.174874,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.598253,-0.526155
0.1346,0.016744,-0.000094,0.000823,-0.002036,0.4325,0.3634,4.1611,-0.177483,0.174828,0.000174,0.001306,-0.002576,0.5808,0.6049,5.0417,-0.177942,0.174874,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.598253,-0.526155
0.1514,0.016757,-0.000092,0.000807,-0.001997,0.4238,0.3566,4.0805,-0.177426,0.174822,0.000205,0.001268,-0.002581,0.6174,0.6742,5.1394,-0.179476,0.174874,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.598253,-0.524621
0.1681,0.016749,-0.000090,0.000791,-0.001957,0.4152,0.3499,4.0000,-0.177369,0.174817,0.000243,0.001233,-0.002591,0.5653,0.6803,5.0747,-0.179476,0.174874,0.000000,0.596719,-0.538427,0.590583,-0.561437,0.598253,-0.524621
0.1849,0.016765,-0.000088,0.000775,-0.001918,0.4066,0.3431,3.9194,-0.177312,0.174811,0.000198,0.001275,-0.002579,0.6190,0.6664,5.1359,-0.179476,0.174874,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.598253,-0.524621
0.2016,0.016743,-0.000086,0.000759,-0.001878,0.3981,0.3364,3.8389,-0.177254,0.174805,0.000161,0.001310,-0.002603,0.6612,0.6525,5.0213,-0.179476,0.174874,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.596719,-0.524621
0.2184,0.016775,-0.000084,0.000743,-0.001839,0.3895,0.3296,3.7582,-0.177197,0.174799,0.000161,0.001310,-0.002603,0.6612,0.6525,5.0213,-0.179476,0.174874,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.596719,-0.524621
0.2351,0.016741,-0.000083,0.000727,-0.001800,0.3809,0.3228,3.6777,-0.177140,0.174794,0.000125,0.001268,-0.002586,0.6050,0.6343,4.9804,-0.179476,0.174874,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.596719,-0.526155
0.2519,0.016747,-0.000081,0.000711,-0.001760,0.3723,0.3160,3.5972,-0.177083,0.174788,0.000183,0.001288,-0.002577,0.5743,0.6026,5.0385,-0.179476,0.174874,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.598253,-0.526155
0.2686,0.016747,-0.000079,0.000695,-0.001721,0.3638,0.3092,3.5166,-0.177026,0.174782,0.000216,0.001324,-0.002593,0.6294,0.6255,5.0853,-0.179476,0.174874,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.598253,-0.524621
0.2854,0.016756,-0.000077,0.000679,-0.001681,0.3552,0.3024,3.4360,-0.176969,0.174777,0.000200,0.001266,-0.002579,0.6124,0.6721,5.1348,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.598253,-0.524621
0.3021,0.016743,-0.000075,0.000663,-0.001642,0.3467,0.2955,3.3555,-0.176912,0.174771,0.000148,0.001256,-0.002591,0.6506,0.7009,5.0758,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.596719,-0.524621
0.3189,0.016741,-0.000074,0.000648,-0.001603,0.3382,0.2887,3.2750,-0.176855,0.174765,0.000148,0.001256,-0.002591,0.6506,0.7009,5.0758,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.596719,-0.524621
0.3356,0.016749,-0.000072,0.000632,-0.001563,0.3297,0.2818,3.1944,-0.176798,0.174759,0.000153,0.001257,-0.002590,0.6466,0.6979,5.0820,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.596719,-0.524621
0.3524,0.016750,-0.000070,0.000616,-0.001524,0.3212,0.2750,3.1138,-0.176741,0.174754,0.000220,0.001328,-0.002591,0.6218,0.6156,5.0808,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.598253,-0.524621
0.3691,0.016744,-0.000068,0.000600,-0.001484,0.3127,0.2681,3.0333,-0.176683,0.174748,0.000173,0.001282,-0.002577,0.5726,0.6045,5.0281,-0.179476,0.174874,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.598253,-0.526155
0.3859,0.016815,-0.000066,0.000584,-0.001445,0.3042,0.2611,2.9524,-0.176626,0.174742,0.000218,0.001325,-0.002593,0.6295,0.6253,5.0864,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.598253,-0.524621
0.4027,0.016743,-0.000065,0.000568,-0.001405,0.2957,0.2542,2.8719,-0.176569,0.174737,0.000146,0.001250,-0.002590,0.6488,0.7058,5.0809,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.596719,-0.524621
0.4194,0.016760,-0.000063,0.000552,-0.001366,0.2872,0.2473,2.7912,-0.176512,0.174731,0.000146,0.001250,-0.002590,0.6488,0.7058,5.0809,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.596719,-0.524621
0.4362,0.016754,-0.000061,0.000536,-0.001327,0.2788,0.2404,2.7106,-0.176455,0.174725,0.000220,0.001328,-0.002591,0.6216,0.6148,5.0809,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.589049,-0.561437,0.598253,-0.524621
0.4529,0.016743,-0.000059,0.000520,-0.001287,0.2703,0.2334,2.6301,-0.176398,0.174719,0.000200,0.001265,-0.002579,0.6132,0.6732,5.1353,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.598253,-0.524621
0.4697,0.016745,-0.000057,0.000504,-0.001248,0.2619,0.2265,2.5495,-0.176341,0.174714,0.000202,0.001272,-0.002580,0.6140,0.6671,5.1296,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.598253,-0.524621
0.4865,0.016859,-0.000055,0.000488,-0.001208,0.2534,0.2194,2.4684,-0.176283,0.174708,0.000162,0.001233,-0.002566,0.5621,0.6481,5.0773,-0.179476,0.173340,0.000000,0.598253,-0.538427,0.590583,-0.561437,0.598253,-0.526155
0.5033,0.016744,-0.000054,0.000472,-0.001169,0.2450,0.2125,2.3879,-0.176226,0.174702,0.000219,0.001222,-0.002554,0.6093,0.6139,5.0300,-0.177942,0.173340,0.000000,0.598253,-0.539961,0.590583,-0.561437,0.598253,-0.526155
0.5200,0.016743,-0.000052,0.000456,-0.001129,0.2366,0.2055,2.3073,-0.176169,0.174697,0.000219,0.001222,-0.002554,0.6093,0.6139,5.0300,-0.177942,0.173340,0.000000,0.598253,-0.539961,0.590583,-0.561437,0.598253,-0.526155
0.5368,0.016746,-0.000050,0.000440,-0.001090,0.2282,0.1985,2.2268,-0.176112,0.174691,0.000159,0.001207,-0.002566,0.6409,0.6512,4.9811,-0.177942,0.173340,0.000000,0.598253,-0.539961,0.590583,-0.561437,0.596719,-0.526155
0.5535,0.016745,-0.000048,0.000424,-0.001050,0.2198,0.1914,2.1462,-0.176055,0.174685,0.000232,0.001279,-0.002565,0.6123,0.5646,4.9857,-0.177942,0.173340,0.000000,0.598253,-0.539961,0.589049,-0.561437,0.598253,-0.526155
