t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000000,0.001462,-0.000652,-0.4269,0.4626,0.3400,-0.176408,0.173340,0.000000,0.001462,-0.000652,-0.4269,0.4626,0.3400,-0.176408,0.173340,0.000000,0.610524,-0.592117,0.601320,-0.632000,0.627398,-0.604388
0.0167,0.016747,0.000000,0.001437,-0.000641,-0.4197,0.4548,0.3343,-0.176376,0.173360,0.000000,0.001462,-0.000652,-0.4269,0.4626,0.3400,-0.176408,0.173340,0.000000,0.610524,-0.592117,0.601320,-0.632000,0.627398,-0.604388
0.0335,0.016757,0.000000,0.001413,-0.000630,-0.4126,0.4470,0.3287,-0.176345,0.173380,0.000000,0.001462,-0.000652,-0.4269,0.4626,0.3400,-0.176408,0.173340,0.000000,0.610524,-0.592117,0.601320,-0.632000,0.627398,-0.604388
0.0503,0.016756,0.000000,0.001388,-0.000619,-0.4055,0.4393,0.3230,-0.176314,0.173400,0.000000,0.001462,-0.000652,-0.4269,0.4626,0.3400,-0.176408,0.173340,0.000000,0.610524,-0.592117,0.601320,-0.632000,0.627398,-0.604388
0.0670,0.016750,0.000000,0.001364,-0.000608,-0.3983,0.4315,0.3173,-0.176282,0.173420,0.000000,0.001462,-0.000652,-0.4269,0.4626,0.3400,-0.176408,0.173340,0.000000,0.610524,-0.592117,0.601320,-0.632000,0.627398,-0.604388
0.0838,0.016749,0.000000,0.001339,-0.000597,-0.3912,0.4237,0.3117,-0.176251,0.173440,0.000207,0.001532,-0.000752,-0.4562,0.5447,0.3384,-0.176408,0.173340,0.000000,0.605922,-0.590583,0.599786,-0.632000,0.627398,-0.599786
0.1005,0.016765,0.000000,0.001315,-0.000587,-0.3841,0.4160,0.3060,-0.176219,0.173460,0.000364,0.001658,-0.000806,-0.3448,0.5522,0.3928,-0.176408,0.173340,0.000000,0.604388,-0.590583,0.598253,-0.632000,0.627398,-0.595185
0.1173,0.016772,0.000000,0.001290,-0.000576,-0.3769,0.4082,0.3003,-0.176188,0.173480,0.000389,0.001684,-0.000813,-0.3071,0.5688,0.4414,-0.176408,0.173340,0.000000,0.604388,-0.590583,0.598253,-0.632000,0.627398,-0.593651
0.1341,0.016761,0.000000,0.001266,-0.000565,-0.3698,0.4004,0.2946,-0.176156,0.173500,0.000427,0.001720,-0.000826,-0.2617,0.5845,0.4905,-0.176408,0.173340,0.000000,0.604388,-0.590583,0.598253,-0.632000,0.627398,-0.592117
0.1508,0.016756,0.000000,0.001241,-0.000554,-0.3627,0.3927,0.2890,-0.176125,0.173520,0.000465,0.001677,-0.000836,-0.3161,0.5978,0.4309,-0.176408,0.174874,0.000000,0.602854,-0.590583,0.598253,-0.632000,0.627398,-0.592117
0.1676,0.016761,0.000000,0.001217,-0.000543,-0.3555,0.3849,0.2833,-0.176094,0.173540,0.000465,0.001677,-0.000836,-0.3161,0.5978,0.4309,-0.176408,0.174874,0.000000,0.602854,-0.590583,0.598253,-0.632000,0.627398,-0.592117
