t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000002,-0.000415,0.000755,-0.002412,0.4635,0.6539,0.3401,0.001534,0.001534,-0.000415,0.000755,-0.002412,0.4635,0.6539,0.3401,0.001534,0.001534,0.000000,0.578311,-0.562971,0.572175,-0.582913,0.567573,-0.561437
0.0167,0.016741,-0.000408,0.000742,-0.002371,0.4557,0.6429,0.3344,-0.001414,0.004430,-0.000415,0.000755,-0.002412,0.4635,0.6539,0.3401,-0.004602,0.001534,0.000000,0.578311,-0.562971,0.572175,-0.582913,0.567573,-0.561437
0.0335,0.016763,-0.000401,0.000730,-0.002331,0.4479,0.6320,0.3286,-0.004365,0.007330,-0.000415,0.000755,-0.002412,0.4635,0.6539,0.3401,-0.004602,0.001534,0.000000,0.578311,-0.562971,0.572175,-0.582913,0.567573,-0.561437
0.0502,0.016740,-0.000394,0.000717,-0.002291,0.4401,0.6211,0.3229,-0.007313,0.010226,-0.000375,0.000793,-0.002424,0.5127,0.6711,0.3931,-0.003068,0.001534,0.000000,0.578311,-0.562971,0.572175,-0.582913,0.567573,-0.559903
0.0670,0.016752,-0.000387,0.000704,-0.002250,0.4324,0.6102,0.3171,-0.010262,0.013125,-0.000379,0.000789,-0.002423,0.5075,0.6693,0.3876,0.004602,0.001534,0.000000,0.578311,-0.562971,0.572175,-0.582913,0.567573,-0.559903
0.0837,0.016741,-0.000380,0.000692,-0.002210,0.4246,0.5992,0.3114,-0.013210,0.016021,-0.000241,0.000820,-0.002523,0.4295,0.8398,0.4934,0.003068,0.001534,0.000000,0.573709,-0.559903,0.572175,-0.582913,0.567573,-0.555301
0.1005,0.016759,-0.000373,0.000679,-0.002169,0.4168,0.5883,0.3057,-0.016160,0.018920,-0.000052,0.000778,-0.002574,0.3884,0.9045,0.4280,-0.003068,0.007670,0.000000,0.569107,-0.559903,0.572175,-0.582913,0.567573,-0.552233
0.1172,0.016740,-0.000366,0.000666,-0.002129,0.4090,0.5774,0.3000,-0.019108,0.021816,-0.000084,0.000836,-0.002594,0.4029,0.9505,0.5412,-0.010738,0.016874,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.1340,0.016763,-0.000359,0.000654,-0.002089,0.4012,0.5664,0.2942,-0.022059,0.024716,-0.000084,0.000836,-0.002594,0.4029,0.9505,0.5412,-0.010738,0.016874,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.1507,0.016743,-0.000352,0.000641,-0.002048,0.3934,0.5555,0.2885,-0.025007,0.027613,0.000013,0.000776,-0.002591,0.3913,0.9263,0.4227,-0.018408,0.016874,0.000000,0.567573,-0.559903,0.572175,-0.582913,0.567573,-0.550699
0.1675,0.016750,-0.000345,0.000628,-0.002008,0.3856,0.5446,0.2828,-0.027956,0.030510,-0.000050,0.000798,-0.002604,0.3529,0.9641,0.4880,-0.019942,0.016874,0.000000,0.567573,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.1842,0.016739,-0.000338,0.000616,-0.001967,0.3778,0.5336,0.2771,-0.030904,0.033406,-0.000085,0.000834,-0.002591,0.4066,0.9443,0.5349,-0.019942,0.021476,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.2010,0.016761,-0.000331,0.000603,-0.001927,0.3701,0.5227,0.2713,-0.033855,0.036306,-0.000121,0.000792,-0.002580,0.3511,0.9289,0.4766,-0.023010,0.027612,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.552233
0.2178,0.016818,-0.000324,0.000590,-0.001886,0.3622,0.5117,0.2656,-0.036816,0.039215,-0.000117,0.000796,-0.002581,0.3569,0.9305,0.4827,-0.027612,0.030680,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.552233
0.2346,0.016758,-0.000317,0.000578,-0.001846,0.3545,0.5008,0.2599,-0.039766,0.042114,-0.000117,0.000796,-0.002581,0.3569,0.9305,0.4827,-0.027612,0.030680,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.552233
0.2513,0.016746,-0.000310,0.000565,-0.001806,0.3467,0.4898,0.2541,-0.042715,0.045011,-0.000078,0.000834,-0.002594,0.4062,0.9478,0.5355,-0.033748,0.032214,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.2681,0.016754,-0.000303,0.000552,-0.001765,0.3389,0.4789,0.2484,-0.045664,0.047910,-0.000082,0.000830,-0.002592,0.4011,0.9460,0.5300,-0.035282,0.035282,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.2848,0.016751,-0.000296,0.000540,-0.001725,0.3311,0.4680,0.2427,-0.048614,0.050808,-0.000028,0.000815,-0.002580,0.4412,0.9109,0.4776,-0.035282,0.038350,0.000000,0.569107,-0.559903,0.572175,-0.582913,0.567573,-0.550699
0.3016,0.016754,-0.000290,0.000527,-0.001684,0.3233,0.4570,0.2370,-0.051564,0.053706,-0.000087,0.000832,-0.002594,0.3974,0.9499,0.5360,-0.041417,0.041417,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.3185,0.016920,-0.000283,0.000514,-0.001644,0.3155,0.4460,0.2312,-0.054543,0.056633,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.050621,0.049087,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.3353,0.016763,-0.000276,0.000502,-0.001603,0.3077,0.4350,0.2255,-0.057494,0.059533,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.050621,0.049087,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.3520,0.016749,-0.000269,0.000489,-0.001563,0.2999,0.4241,0.2198,-0.060443,0.062431,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.053689,0.052155,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.3688,0.016750,-0.000262,0.000476,-0.001522,0.2922,0.4131,0.2141,-0.063392,0.065329,-0.000028,0.000815,-0.002580,0.4411,0.9109,0.4776,-0.047553,0.050621,0.000000,0.569107,-0.559903,0.572175,-0.582913,0.567573,-0.550699
0.3855,0.016742,-0.000255,0.000464,-0.001482,0.2844,0.4022,0.2084,-0.066340,0.068225,-0.000087,0.000832,-0.002594,0.3975,0.9499,0.5360,-0.049087,0.052155,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.4022,0.016745,-0.000248,0.000451,-0.001442,0.2766,0.3912,0.2027,-0.069288,0.071122,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.058291,0.059825,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.4190,0.016745,-0.000241,0.000439,-0.001401,0.2689,0.3803,0.1970,-0.072236,0.074019,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.067495,0.067495,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.4357,0.016754,-0.000234,0.000426,-0.001361,0.2611,0.3693,0.1913,-0.075186,0.076917,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.067495,0.067495,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.4525,0.016746,-0.000227,0.000413,-0.001320,0.2533,0.3584,0.1856,-0.078135,0.079814,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.069029,0.069029,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.4692,0.016752,-0.000220,0.000401,-0.001280,0.2456,0.3474,0.1799,-0.081084,0.082712,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.065961,0.067495,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.4860,0.016744,-0.000213,0.000388,-0.001240,0.2378,0.3365,0.1742,-0.084032,0.085609,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.069029,0.072097,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.5027,0.016753,-0.000206,0.000375,-0.001199,0.2300,0.3255,0.1685,-0.086982,0.088507,-0.000028,0.000815,-0.002580,0.4411,0.9109,0.4776,-0.078233,0.081301,0.000000,0.569107,-0.559903,0.572175,-0.582913,0.567573,-0.550699
0.5195,0.016795,-0.000199,0.000363,-0.001159,0.2222,0.3146,0.1628,-0.089939,0.091413,-0.000087,0.000832,-0.002594,0.3975,0.9499,0.5360,-0.084369,0.081301,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.5363,0.016752,-0.000192,0.000350,-0.001118,0.2145,0.3036,0.1571,-0.092888,0.094311,-0.000087,0.000832,-0.002594,0.3975,0.9499,0.5360,-0.084369,0.081301,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.5530,0.016747,-0.000185,0.000337,-0.001078,0.2067,0.2926,0.1514,-0.095837,0.097208,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.084369,0.082835,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.5698,0.016749,-0.000178,0.000325,-0.001038,0.1990,0.2817,0.1457,-0.098786,0.100106,-0.000081,0.000830,-0.002592,0.4020,0.9458,0.5299,-0.082835,0.090505,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
0.5865,0.016744,-0.000171,0.000312,-0.000997,0.1912,0.2707,0.1400,-0.101734,0.103002,-0.000028,0.000815,-0.002580,0.4411,0.9109,0.4776,-0.088971,0.092039,0.000000,0.569107,-0.559903,0.572175,-0.582913,0.567573,-0.550699
0.6033,0.016745,-0.000164,0.000299,-0.000957,0.1834,0.2598,0.1343,-0.104682,0.105899,-0.000087,0.000832,-0.002594,0.3975,0.9499,0.5360,-0.096641,0.095107,0.000000,0.569107,-0.558369,0.572175,-0.582913,0.567573,-0.550699
