t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000217,0.001335,-0.002497,0.7303,0.1705,-0.1931,-0.001534,0.000000,-0.000217,0.001335,-0.002497,0.7303,0.1705,-0.1931,-0.001534,0.000000,0.000000,0.579845,-0.566039,0.556835,-0.584447,0.567573,-0.559903
0.0168,0.016752,-0.000213,0.001313,-0.002455,0.7180,0.1676,-0.1899,-0.001508,0.000000,-0.000217,0.001335,-0.002497,0.7303,0.1705,-0.1931,-0.006136,0.000000,0.000000,0.579845,-0.566039,0.556835,-0.584447,0.567573,-0.559903
0.0335,0.016767,-0.000209,0.001290,-0.002413,0.7058,0.1647,-0.1867,-0.001483,0.000000,-0.000217,0.001335,-0.002497,0.7303,0.1705,-0.1931,-0.001534,0.000000,0.000000,0.579845,-0.566039,0.556835,-0.584447,0.567573,-0.559903
0.0503,0.016743,-0.000206,0.001268,-0.002372,0.6936,0.1619,-0.1835,-0.001457,0.000000,-0.000217,0.001335,-0.002497,0.7303,0.1705,-0.1931,0.004602,0.000000,0.000000,0.579845,-0.566039,0.556835,-0.584447,0.567573,-0.559903
0.0670,0.016756,-0.000202,0.001246,-0.002330,0.6814,0.1590,-0.1802,-0.001431,0.000000,-0.000217,0.001335,-0.002497,0.7303,0.1705,-0.1931,-0.001534,0.000000,0.000000,0.579845,-0.566039,0.556835,-0.584447,0.567573,-0.559903
0.0838,0.016746,-0.000198,0.001223,-0.002288,0.6691,0.1561,-0.1770,-0.001405,0.000000,-0.000133,0.001257,-0.002557,0.6303,0.2035,-0.1402,-0.006136,0.000000,0.000000,0.576777,-0.564505,0.556835,-0.582913,0.567573,-0.558369
0.1005,0.016776,-0.000195,0.001201,-0.002246,0.6569,0.1532,-0.1738,-0.001380,0.000000,-0.000006,0.001373,-0.002652,0.6611,0.3726,0.0669,-0.001534,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.552233
0.1173,0.016740,-0.000191,0.001179,-0.002204,0.6447,0.1504,-0.1706,-0.001354,0.000000,-0.000006,0.001373,-0.002652,0.6611,0.3726,0.0669,-0.001534,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.552233
0.1340,0.016758,-0.000187,0.001156,-0.002162,0.6324,0.1475,-0.1674,-0.001328,0.000000,0.000021,0.001400,-0.002656,0.7076,0.3728,0.0986,0.004602,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.550699
0.1508,0.016746,-0.000184,0.001134,-0.002121,0.6202,0.1446,-0.1641,-0.001303,0.000000,0.000045,0.001490,-0.002657,0.7630,0.4414,0.0951,-0.001534,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.584447,0.567573,-0.549165
0.1675,0.016753,-0.000180,0.001111,-0.002079,0.6080,0.1417,-0.1609,-0.001277,0.000000,0.000042,0.001481,-0.002657,0.7573,0.4343,0.0955,-0.006136,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.584447,0.567573,-0.549165
0.1843,0.016747,-0.000177,0.001089,-0.002037,0.5958,0.1389,-0.1577,-0.001251,0.000000,0.000097,0.001388,-0.002680,0.6973,0.3997,0.0953,-0.001534,0.000000,0.000000,0.572175,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.2012,0.016902,-0.000173,0.001067,-0.001995,0.5834,0.1360,-0.1544,-0.001225,0.000000,0.000050,0.001436,-0.002666,0.7535,0.3877,0.1489,0.003068,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.2181,0.016877,-0.000169,0.001044,-0.001953,0.5711,0.1331,-0.1512,-0.001199,0.000000,0.000050,0.001436,-0.002666,0.7535,0.3877,0.1489,0.003068,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.2351,0.017012,-0.000166,0.001021,-0.001910,0.5587,0.1302,-0.1479,-0.001173,0.000000,0.000050,0.001436,-0.002666,0.7535,0.3877,0.1489,0.003068,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.2518,0.016748,-0.000162,0.000999,-0.001868,0.5464,0.1273,-0.1447,-0.001148,0.000000,0.000050,0.001436,-0.002666,0.7535,0.3877,0.1489,0.003068,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.2686,0.016728,-0.000158,0.000977,-0.001826,0.5342,0.1245,-0.1415,-0.001122,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,-0.001534,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.2853,0.016746,-0.000155,0.000954,-0.001785,0.5220,0.1216,-0.1382,-0.001096,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,0.003068,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.3020,0.016747,-0.000151,0.000932,-0.001743,0.5098,0.1187,-0.1350,-0.001071,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,0.000000,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.3188,0.016738,-0.000147,0.000910,-0.001701,0.4976,0.1159,-0.1318,-0.001045,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,-0.006136,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.3355,0.016756,-0.000144,0.000887,-0.001659,0.4853,0.1130,-0.1286,-0.001019,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,-0.003068,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.3523,0.016745,-0.000140,0.000865,-0.001617,0.4731,0.1101,-0.1253,-0.000994,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,-0.003068,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.3691,0.016770,-0.000137,0.000842,-0.001575,0.4609,0.1073,-0.1221,-0.000968,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,0.004602,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.3858,0.016742,-0.000133,0.000820,-0.001534,0.4486,0.1044,-0.1189,-0.000942,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,0.001534,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.4025,0.016754,-0.000129,0.000798,-0.001492,0.4364,0.1016,-0.1156,-0.000916,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,-0.006136,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.4193,0.016740,-0.000126,0.000775,-0.001450,0.4242,0.0987,-0.1124,-0.000891,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,-0.003068,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.4360,0.016718,-0.000122,0.000753,-0.001408,0.4120,0.0959,-0.1092,-0.000865,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,0.004602,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.4527,0.016738,-0.000118,0.000731,-0.001367,0.3997,0.0930,-0.1060,-0.000839,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,0.004602,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
0.4695,0.016753,-0.000115,0.000708,-0.001325,0.3875,0.0901,-0.1027,-0.000814,0.000000,0.000055,0.001431,-0.002667,0.7477,0.3890,0.1433,0.001534,0.000000,0.000000,0.573709,-0.561437,0.556835,-0.582913,0.567573,-0.549165
