t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000238,0.000211,-0.001993,1.2744,0.3027,-0.1928,-0.006136,0.007670,0.000238,0.000211,-0.001993,1.2744,0.3027,-0.1928,-0.006136,0.007670,0.000000,0.585981,-0.595185,0.584447,-0.584447,0.567573,-0.564505
0.0168,0.016749,0.000234,0.000207,-0.001959,1.2531,0.2976,-0.1896,-0.006033,0.007541,0.000251,0.000156,-0.002005,1.2641,0.2523,-0.1402,-0.012272,0.006136,0.000000,0.585981,-0.595185,0.584447,-0.582913,0.567573,-0.564505
0.0335,0.016746,0.000230,0.000204,-0.001926,1.2318,0.2925,-0.1865,-0.005930,0.007413,0.000250,0.000162,-0.002004,1.2652,0.2576,-0.1457,-0.009204,0.006136,0.000000,0.585981,-0.595185,0.584447,-0.582913,0.567573,-0.564505
0.0502,0.016745,0.000226,0.000200,-0.001893,1.2105,0.2874,-0.1833,-0.005828,0.007285,0.000237,0.000216,-0.001991,1.2755,0.3080,-0.1983,-0.001534,0.006136,0.000000,0.585981,-0.595185,0.584447,-0.584447,0.567573,-0.564505
0.0670,0.016744,0.000222,0.000197,-0.001859,1.1891,0.2823,-0.1801,-0.005725,0.007156,0.000238,0.000211,-0.001993,1.2744,0.3027,-0.1928,-0.003068,0.006136,0.000000,0.585981,-0.595185,0.584447,-0.584447,0.567573,-0.564505
0.0839,0.016880,0.000218,0.000193,-0.001826,1.1676,0.2772,-0.1769,-0.005621,0.007027,0.000374,0.000117,-0.002042,1.2146,0.3015,-0.1941,-0.009204,0.006136,0.000000,0.582913,-0.595185,0.584447,-0.582913,0.567573,-0.562971
0.1016,0.017776,0.000214,0.000189,-0.001790,1.1450,0.2718,-0.1735,-0.005512,0.006890,0.000374,0.000117,-0.002042,1.2146,0.3015,-0.1941,-0.009204,0.006136,0.000000,0.582913,-0.595185,0.584447,-0.582913,0.567573,-0.562971
0.1184,0.016743,0.000210,0.000186,-0.001757,1.1237,0.2667,-0.1703,-0.005410,0.006762,0.000590,0.000182,-0.002138,1.2326,0.4520,-0.0867,-0.006136,0.006136,0.000000,0.578311,-0.593651,0.584447,-0.582913,0.567573,-0.556835
0.1353,0.016900,0.000206,0.000182,-0.001723,1.1021,0.2615,-0.1671,-0.005306,0.006632,0.000689,0.000214,-0.002166,1.2810,0.4861,-0.0446,0.001534,0.007670,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.1521,0.016797,0.000202,0.000179,-0.001690,1.0807,0.2564,-0.1639,-0.005203,0.006503,0.000689,0.000214,-0.002166,1.2810,0.4861,-0.0446,0.001534,0.007670,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.1688,0.016744,0.000198,0.000175,-0.001656,1.0594,0.2513,-0.1607,-0.005100,0.006375,0.000689,0.000214,-0.002166,1.2810,0.4861,-0.0446,0.001534,0.007670,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.1856,0.016742,0.000194,0.000172,-0.001623,1.0381,0.2462,-0.1575,-0.004997,0.006247,0.000679,0.000211,-0.002163,1.2760,0.4826,-0.0489,-0.006136,0.006136,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.2024,0.016825,0.000190,0.000168,-0.001589,1.0166,0.2411,-0.1543,-0.004894,0.006118,0.000680,0.000211,-0.002164,1.2767,0.4831,-0.0483,0.001534,0.006136,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.2191,0.016740,0.000186,0.000165,-0.001556,0.9953,0.2360,-0.1511,-0.004791,0.005989,0.000640,0.000172,-0.002151,1.2263,0.4661,-0.1020,0.000000,0.006136,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.555301
0.2362,0.017071,0.000182,0.000161,-0.001522,0.9735,0.2308,-0.1479,-0.004687,0.005858,0.000684,0.000215,-0.002165,1.2817,0.4847,-0.0430,-0.009204,0.006136,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.2529,0.016744,0.000178,0.000157,-0.001489,0.9522,0.2258,-0.1447,-0.004584,0.005730,0.000684,0.000215,-0.002165,1.2817,0.4847,-0.0430,-0.009204,0.006136,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.2697,0.016744,0.000174,0.000154,-0.001455,0.9309,0.2207,-0.1415,-0.004481,0.005601,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.007670,0.006136,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.2864,0.016742,0.000170,0.000150,-0.001422,0.9096,0.2156,-0.1383,-0.004378,0.005473,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.003068,0.006136,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.3032,0.016749,0.000166,0.000147,-0.001389,0.8882,0.2105,-0.1351,-0.004276,0.005345,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.001534,0.006136,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.3199,0.016746,0.000162,0.000143,-0.001355,0.8669,0.2054,-0.1319,-0.004173,0.005216,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.007670,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.3367,0.016747,0.000158,0.000140,-0.001322,0.8455,0.2003,-0.1287,-0.004070,0.005088,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.3534,0.016744,0.000154,0.000136,-0.001288,0.8242,0.1953,-0.1254,-0.003967,0.004959,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.3702,0.016744,0.000150,0.000133,-0.001255,0.8029,0.1902,-0.1222,-0.003865,0.004831,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.003068,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.3869,0.016749,0.000146,0.000129,-0.001222,0.7815,0.1851,-0.1190,-0.003762,0.004702,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.001534,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.4037,0.016765,0.000142,0.000126,-0.001188,0.7601,0.1800,-0.1158,-0.003659,0.004574,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.007670,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.4204,0.016752,0.000138,0.000122,-0.001155,0.7388,0.1749,-0.1126,-0.003556,0.004445,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.4372,0.016741,0.000134,0.000119,-0.001122,0.7175,0.1699,-0.1094,-0.003453,0.004317,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.4539,0.016754,0.000130,0.000115,-0.001088,0.6961,0.1648,-0.1061,-0.003351,0.004188,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.000000,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.4707,0.016747,0.000126,0.000112,-0.001055,0.6748,0.1597,-0.1029,-0.003248,0.004060,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.001534,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.4874,0.016748,0.000122,0.000108,-0.001021,0.6534,0.1546,-0.0997,-0.003145,0.003931,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.006136,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.5042,0.016752,0.000118,0.000104,-0.000988,0.6321,0.1496,-0.0964,-0.003042,0.003803,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.5209,0.016771,0.000114,0.000101,-0.000955,0.6107,0.1445,-0.0932,-0.002939,0.003674,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.000000,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.5377,0.016742,0.000110,0.000097,-0.000921,0.5894,0.1394,-0.0900,-0.002837,0.003546,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.000000,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.5544,0.016750,0.000106,0.000094,-0.000888,0.5680,0.1344,-0.0867,-0.002734,0.003417,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.000000,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.5712,0.016745,0.000102,0.000090,-0.000855,0.5467,0.1293,-0.0835,-0.002631,0.003289,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.5879,0.016760,0.000098,0.000087,-0.000821,0.5253,0.1242,-0.0803,-0.002528,0.003160,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.003068,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.6047,0.016748,0.000094,0.000083,-0.000788,0.5040,0.1192,-0.0770,-0.002426,0.003032,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.003068,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.6214,0.016758,0.000090,0.000080,-0.000754,0.4826,0.1141,-0.0738,-0.002323,0.002904,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.003068,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.6382,0.016743,0.000086,0.000076,-0.000721,0.4613,0.1090,-0.0705,-0.002220,0.002775,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.003068,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.6550,0.016790,0.000082,0.000073,-0.000688,0.4399,0.1040,-0.0673,-0.002117,0.002646,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.004602,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.6717,0.016740,0.000078,0.000069,-0.000654,0.4185,0.0989,-0.0640,-0.002014,0.002518,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.003068,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.6885,0.016749,0.000074,0.000066,-0.000621,0.3972,0.0939,-0.0608,-0.001912,0.002389,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.003068,0.001534,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.7052,0.016749,0.000070,0.000062,-0.000587,0.3758,0.0888,-0.0575,-0.001809,0.002261,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,0.003068,0.001534,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.553767
0.7220,0.016782,0.000066,0.000059,-0.000554,0.3544,0.0837,-0.0543,-0.001706,0.002132,0.000679,0.000210,-0.002163,1.2759,0.4827,-0.0491,-0.004602,0.001534,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.555301
0.7387,0.016745,0.000062,0.000055,-0.000521,0.3331,0.0787,-0.0510,-0.001603,0.002004,0.000640,0.000172,-0.002151,1.2264,0.4661,-0.1019,-0.004602,0.001534,0.000000,0.576777,-0.593651,0.584447,-0.582913,0.567573,-0.555301
