t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000440,0.000072,-0.002485,0.5670,0.1744,0.1878,-0.177942,0.174874,0.000440,0.000072,-0.002485,0.5670,0.1744,0.1878,-0.177942,0.174874,0.000000,0.569107,-0.576777,0.573709,-0.570641,0.567573,-0.556835
0.0167,0.016744,0.000432,0.000070,-0.002444,0.5575,0.1715,0.1846,-0.177885,0.174868,0.000434,0.000073,-0.002487,0.5629,0.1780,0.1933,-0.179476,0.174874,0.000000,0.569107,-0.576777,0.573709,-0.570641,0.567573,-0.556835
0.0335,0.016748,0.000425,0.000069,-0.002402,0.5480,0.1686,0.1814,-0.177828,0.174862,0.000434,0.000073,-0.002487,0.5629,0.1780,0.1933,-0.177942,0.176408,0.000000,0.569107,-0.576777,0.573709,-0.570641,0.567573,-0.556835
0.0502,0.016747,0.000418,0.000068,-0.002361,0.5385,0.1657,0.1783,-0.177771,0.174857,0.000434,0.000073,-0.002487,0.5629,0.1780,0.1933,-0.177942,0.176408,0.000000,0.569107,-0.576777,0.573709,-0.570641,0.567573,-0.556835
0.0670,0.016752,0.000410,0.000067,-0.002319,0.5290,0.1627,0.1751,-0.177713,0.174851,0.000434,0.000073,-0.002487,0.5629,0.1780,0.1933,-0.177942,0.174874,0.000000,0.569107,-0.576777,0.573709,-0.570641,0.567573,-0.556835
0.0837,0.016742,0.000403,0.000066,-0.002277,0.5195,0.1598,0.1720,-0.177656,0.174845,0.000422,0.000051,-0.002511,0.4745,0.2288,0.1930,-0.179476,0.174874,0.000000,0.567573,-0.575243,0.573709,-0.570641,0.567573,-0.556835
0.1005,0.016740,0.000396,0.000064,-0.002236,0.5100,0.1569,0.1688,-0.177599,0.174840,0.000546,0.000107,-0.002634,0.4954,0.4444,0.2998,-0.179476,0.174874,0.000000,0.562971,-0.572175,0.573709,-0.570641,0.566039,-0.550699
0.1172,0.016744,0.000388,0.000063,-0.002194,0.5005,0.1540,0.1657,-0.177542,0.174834,0.000748,0.000117,-0.002660,0.4549,0.4535,0.3415,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.1340,0.016773,0.000381,0.000062,-0.002152,0.4910,0.1511,0.1625,-0.177485,0.174828,0.000727,0.000116,-0.002658,0.4591,0.4526,0.3371,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.1507,0.016747,0.000373,0.000061,-0.002111,0.4815,0.1482,0.1593,-0.177428,0.174822,0.000727,0.000116,-0.002658,0.4591,0.4526,0.3371,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.1675,0.016744,0.000366,0.000060,-0.002069,0.4720,0.1453,0.1562,-0.177371,0.174817,0.000770,0.000078,-0.002671,0.4087,0.4690,0.2843,-0.179476,0.174874,0.000000,0.558369,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.1842,0.016742,0.000359,0.000058,-0.002028,0.4625,0.1424,0.1530,-0.177314,0.174811,0.000725,0.000120,-0.002657,0.4639,0.4510,0.3431,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.2010,0.016742,0.000351,0.000057,-0.001986,0.4530,0.1395,0.1499,-0.177257,0.174805,0.000742,0.000061,-0.002671,0.4482,0.4014,0.3901,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.569107,0.567573,-0.547631
0.2177,0.016743,0.000344,0.000056,-0.001944,0.4435,0.1366,0.1467,-0.177200,0.174800,0.000728,0.000122,-0.002657,0.4598,0.4580,0.3320,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.2345,0.016741,0.000337,0.000055,-0.001903,0.4340,0.1337,0.1436,-0.177143,0.174794,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.2512,0.016749,0.000329,0.000054,-0.001861,0.4245,0.1308,0.1404,-0.177085,0.174788,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.2679,0.016742,0.000322,0.000052,-0.001820,0.4150,0.1278,0.1373,-0.177028,0.174782,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.2847,0.016741,0.000315,0.000051,-0.001778,0.4055,0.1249,0.1341,-0.176971,0.174777,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.3014,0.016741,0.000307,0.000050,-0.001736,0.3960,0.1220,0.1310,-0.176914,0.174771,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.3182,0.016739,0.000300,0.000049,-0.001695,0.3865,0.1191,0.1278,-0.176857,0.174765,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.3349,0.016740,0.000292,0.000048,-0.001653,0.3771,0.1162,0.1247,-0.176800,0.174760,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.3517,0.016760,0.000285,0.000046,-0.001611,0.3675,0.1133,0.1215,-0.176743,0.174754,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.3684,0.016745,0.000278,0.000045,-0.001570,0.3581,0.1104,0.1184,-0.176686,0.174748,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.177942,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.3851,0.016740,0.000270,0.000044,-0.001528,0.3486,0.1074,0.1152,-0.176629,0.174743,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.4019,0.016745,0.000263,0.000043,-0.001487,0.3391,0.1045,0.1121,-0.176572,0.174737,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.4186,0.016742,0.000256,0.000042,-0.001445,0.3296,0.1016,0.1090,-0.176515,0.174731,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.4355,0.016876,0.000248,0.000040,-0.001403,0.3200,0.0987,0.1058,-0.176457,0.174725,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.4523,0.016740,0.000241,0.000039,-0.001361,0.3105,0.0958,0.1026,-0.176400,0.174720,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.4690,0.016744,0.000234,0.000038,-0.001320,0.3010,0.0928,0.0995,-0.176343,0.174714,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.4857,0.016744,0.000226,0.000037,-0.001278,0.2915,0.0899,0.0963,-0.176286,0.174708,0.000729,0.000115,-0.002658,0.4586,0.4521,0.3381,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.5025,0.016741,0.000219,0.000036,-0.001237,0.2820,0.0870,0.0932,-0.176229,0.174703,0.000783,0.000100,-0.002646,0.4978,0.4177,0.2840,-0.179476,0.174874,0.000000,0.559903,-0.573709,0.573709,-0.570641,0.567573,-0.547631
0.5192,0.016743,0.000211,0.000034,-0.001195,0.2725,0.0841,0.0901,-0.176172,0.174697,0.000724,0.000118,-0.002659,0.4546,0.4563,0.3431,-0.177942,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.5366,0.017420,0.000204,0.000033,-0.001152,0.2627,0.0810,0.0868,-0.176112,0.174691,0.000730,0.000116,-0.002658,0.4591,0.4523,0.3369,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.5534,0.016748,0.000196,0.000032,-0.001110,0.2532,0.0781,0.0836,-0.176055,0.174685,0.000730,0.000116,-0.002658,0.4591,0.4523,0.3369,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.5701,0.016757,0.000189,0.000031,-0.001068,0.2437,0.0752,0.0805,-0.175998,0.174679,0.000783,0.000100,-0.002646,0.4978,0.4177,0.2841,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.570641,0.567573,-0.547631
0.5869,0.016744,0.000182,0.000030,-0.001027,0.2342,0.0723,0.0774,-0.175941,0.174674,0.000724,0.000118,-0.002659,0.4547,0.4563,0.3431,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.6037,0.016813,0.000174,0.000028,-0.000985,0.2246,0.0693,0.0742,-0.175884,0.174668,0.000783,0.000100,-0.002646,0.4982,0.4173,0.2834,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.570641,0.567573,-0.547631
0.6204,0.016745,0.000167,0.000027,-0.000943,0.2151,0.0664,0.0711,-0.175827,0.174662,0.000723,0.000118,-0.002659,0.4546,0.4564,0.3432,-0.179476,0.174874,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.6372,0.016765,0.000160,0.000026,-0.000902,0.2056,0.0635,0.0679,-0.175770,0.174657,0.000723,0.000118,-0.002659,0.4546,0.4564,0.3432,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.6540,0.016768,0.000152,0.000025,-0.000860,0.1961,0.0606,0.0648,-0.175712,0.174651,0.000730,0.000116,-0.002658,0.4591,0.4523,0.3369,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.6707,0.016756,0.000145,0.000024,-0.000818,0.1866,0.0576,0.0616,-0.175655,0.174645,0.000730,0.000116,-0.002658,0.4591,0.4523,0.3369,-0.177942,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.6875,0.016746,0.000137,0.000022,-0.000777,0.1771,0.0547,0.0585,-0.175598,0.174639,0.000730,0.000116,-0.002658,0.4591,0.4523,0.3369,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.7043,0.016766,0.000130,0.000021,-0.000735,0.1676,0.0518,0.0554,-0.175541,0.174634,0.000730,0.000116,-0.002658,0.4591,0.4523,0.3369,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.7215,0.017239,0.000122,0.000020,-0.000692,0.1579,0.0488,0.0521,-0.175482,0.174628,0.000783,0.000100,-0.002646,0.4978,0.4177,0.2841,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.570641,0.567573,-0.547631
0.7383,0.016765,0.000115,0.000019,-0.000651,0.1484,0.0458,0.0490,-0.175425,0.174622,0.000783,0.000100,-0.002646,0.4978,0.4177,0.2841,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.570641,0.567573,-0.547631
0.7550,0.016746,0.000108,0.000018,-0.000609,0.1389,0.0429,0.0458,-0.175368,0.174616,0.000724,0.000118,-0.002659,0.4547,0.4563,0.3431,-0.179476,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.570641,0.567573,-0.547631
0.7718,0.016758,0.000100,0.000016,-0.000567,0.1294,0.0400,0.0427,-0.175311,0.174611,0.000677,0.000132,-0.002632,0.4189,0.4868,0.2305,-0.177942,0.173340,0.000000,0.559903,-0.572175,0.573709,-0.572175,0.567573,-0.549165
0.7885,0.016747,0.000093,0.000015,-0.000526,0.1199,0.0370,0.0396,-0.175254,0.174605,0.000735,0.000115,-0.002623,0.4617,0.4487,0.1888,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.8053,0.016757,0.000086,0.000014,-0.000484,0.1104,0.0341,0.0364,-0.175197,0.174599,0.000729,0.000116,-0.002624,0.4572,0.4527,0.1931,-0.177942,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.8220,0.016755,0.000078,0.000013,-0.000442,0.1009,0.0312,0.0333,-0.175140,0.174594,0.000729,0.000116,-0.002624,0.4572,0.4527,0.1931,-0.177942,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.8388,0.016774,0.000071,0.000012,-0.000401,0.0914,0.0282,0.0302,-0.175082,0.174588,0.000729,0.000116,-0.002624,0.4572,0.4527,0.1931,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.8555,0.016746,0.000064,0.000010,-0.000359,0.0819,0.0253,0.0270,-0.175025,0.174582,0.000729,0.000116,-0.002624,0.4572,0.4527,0.1931,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.8723,0.016754,0.000056,0.000009,-0.000317,0.0724,0.0224,0.0239,-0.174968,0.174576,0.000729,0.000116,-0.002624,0.4572,0.4527,0.1931,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.8890,0.016749,0.000049,0.000008,-0.000276,0.0629,0.0194,0.0208,-0.174911,0.174571,0.000729,0.000116,-0.002624,0.4572,0.4527,0.1931,-0.177942,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.9058,0.016764,0.000041,0.000007,-0.000234,0.0534,0.0165,0.0176,-0.174854,0.174565,0.000717,0.000062,-0.002611,0.4477,0.5035,0.2464,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.575243,-0.572175,0.567573,-0.549165
0.9226,0.016751,0.000034,0.000006,-0.000192,0.0439,0.0136,0.0145,-0.174797,0.174559,0.000731,0.000122,-0.002625,0.4587,0.4470,0.1871,-0.179476,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.9393,0.016772,0.000027,0.000004,-0.000151,0.0344,0.0106,0.0113,-0.174740,0.174554,0.000729,0.000116,-0.002624,0.4575,0.4528,0.1933,-0.177942,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.9561,0.016742,0.000019,0.000003,-0.000109,0.0249,0.0077,0.0082,-0.174683,0.174548,0.000729,0.000116,-0.002624,0.4575,0.4528,0.1933,-0.177942,0.173340,0.000000,0.559903,-0.573709,0.573709,-0.572175,0.567573,-0.549165
0.9728,0.016757,0.000012,0.000002,-0.000068,0.0154,0.0048,0.0051,-0.174626,0.174542,0.000717,0.000063,-0.002611,0.4476,0.5035,0.3343,-0.177942,0.173340,0.001534,0.559903,-0.573709,0.575243,-0.572175,0.567573,-0.549165
0.9897,0.016869,0.000005,0.000001,-0.000026,0.0058,0.0018,0.0019,-0.174568,0.174536,0.000677,0.000106,-0.002600,0.4986,0.4818,0.2942,-0.177942,0.173340,0.000000,0.561437,-0.573709,0.575243,-0.572175,0.567573,-0.549165
1.0065,0.016791,0.000000,0.000000,0.000018,0.0163,0.0000,0.0098,-0.172399,0.172399,0.000677,0.000106,-0.002600,0.4986,0.4818,0.2942,-0.177942,0.173340,0.000000,0.561437,-0.573709,0.575243,-0.572175,0.567573,-0.549165
1.0233,0.016796,0.000000,0.000000,0.000066,0.0585,0.0000,0.0351,-0.166880,0.166880,0.000677,0.000106,-0.002600,0.4986,0.4818,0.2942,-0.177942,0.173340,0.000000,0.561437,-0.573709,0.575243,-0.572175,0.567573,-0.549165
1.0403,0.016979,0.000000,0.000000,0.000114,0.1011,0.0000,0.0607,-0.161323,0.161323,0.000677,0.000106,-0.002600,0.4986,0.4818,0.2942,-0.177942,0.173340,0.000000,0.561437,-0.573709,0.575243,-0.572175,0.567573,-0.549165
1.0570,0.016754,0.000000,0.000000,0.000161,0.1432,0.0000,0.0860,-0.155876,0.155876,0.000677,0.000106,-0.002600,0.4986,0.4818,0.2942,-0.177942,0.173340,0.000000,0.561437,-0.573709,0.575243,-0.572175,0.567573,-0.549165
1.0738,0.016779,0.000000,0.000000,0.000208,0.1852,0.0000,0.1112,-0.150472,0.150472,0.000560,0.000140,-0.002563,0.5429,0.4347,0.3428,-0.176408,0.173340,0.000000,0.564505,-0.573709,0.575243,-0.572175,0.567573,-0.550699
1.0906,0.016761,0.000000,0.000000,0.000256,0.2271,0.0000,0.1364,-0.145142,0.145142,0.000572,0.000137,-0.002567,0.5382,0.4396,0.3377,-0.176408,0.173340,0.000000,0.564505,-0.573709,0.575243,-0.572175,0.567573,-0.550699
1.1073,0.016755,0.000000,0.000000,0.000303,0.2689,0.0000,0.1616,-0.139894,0.139894,0.000572,0.000137,-0.002567,0.5382,0.4396,0.3377,-0.176408,0.173340,0.000000,0.564505,-0.573709,0.575243,-0.572175,0.567573,-0.550699
1.1241,0.016748,0.000000,0.000000,0.000350,0.3105,0.0000,0.1868,-0.134745,0.134745,0.000611,0.000175,-0.002580,0.5889,0.4560,0.3915,-0.176408,0.173340,0.000000,0.564505,-0.573709,0.575243,-0.572175,0.567573,-0.549165
1.1408,0.016745,0.000000,0.000000,0.000397,0.3520,0.0000,0.2119,-0.129706,0.129706,0.000567,0.000133,-0.002565,0.5334,0.4374,0.3326,-0.173340,0.171806,0.000000,0.564505,-0.573709,0.575243,-0.572175,0.567573,-0.550699
1.1576,0.016826,0.000000,0.000000,0.000444,0.3936,0.0000,0.2371,-0.124768,0.124768,0.000477,0.000269,-0.002529,0.6490,0.4583,0.3925,-0.165670,0.167204,0.000000,0.567573,-0.573709,0.575243,-0.573709,0.567573,-0.550699
1.1744,0.016757,0.000000,0.000000,0.000491,0.4348,0.0000,0.2622,-0.119989,0.119989,0.000458,0.000239,-0.002533,0.6765,0.3886,0.4929,-0.151864,0.159534,0.000000,0.569107,-0.573709,0.575243,-0.572175,0.567573,-0.550699
1.1911,0.016749,0.000000,0.000000,0.000538,0.4758,0.0000,0.2872,-0.115363,0.115363,0.000378,0.000319,-0.002508,0.7731,0.3638,0.5895,-0.136524,0.147262,0.000000,0.572175,-0.573709,0.575243,-0.572175,0.567573,-0.550699
1.2079,0.016751,0.000000,0.000000,0.000584,0.5166,0.0000,0.3122,-0.110900,0.110900,0.000378,0.000319,-0.002508,0.7731,0.3638,0.5895,-0.136524,0.147262,0.000000,0.572175,-0.573709,0.575243,-0.572175,0.567573,-0.550699
1.2246,0.016740,0.000000,0.000000,0.000630,0.5571,0.0000,0.3371,-0.106616,0.106616,0.000250,0.000481,-0.002462,0.9221,0.3700,0.6871,-0.125786,0.134990,0.000000,0.576777,-0.573709,0.575243,-0.573709,0.567573,-0.550699
1.2414,0.016752,0.000000,0.000000,0.000677,0.5974,0.0000,0.3620,-0.102517,0.102517,0.000101,0.000465,-0.002417,0.9053,0.3031,0.6777,-0.122718,0.124252,0.000000,0.579845,-0.573709,0.575243,-0.573709,0.567573,-0.553767
1.2581,0.016761,0.000000,0.000000,0.000723,0.6375,0.0000,0.3868,-0.098615,0.098615,-0.000359,0.000694,-0.002262,1.0742,0.2328,0.7356,-0.121184,0.113515,0.000000,0.590583,-0.573709,0.575243,-0.576777,0.567573,-0.559903
1.2749,0.016751,0.000000,0.000000,0.000769,0.6772,0.0000,0.4116,-0.094926,0.094926,-0.000449,0.000842,-0.002194,1.2153,0.2435,0.6778,-0.115049,0.111981,0.000000,0.595185,-0.575243,0.575243,-0.579845,0.567573,-0.561437
1.2916,0.016754,0.000000,0.000000,0.000814,0.7167,0.0000,0.4363,-0.091457,0.091457,-0.000449,0.000842,-0.002194,1.2153,0.2435,0.6778,-0.105845,0.105845,0.000000,0.598253,-0.578311,0.575243,-0.584447,0.567573,-0.564505
1.3084,0.016754,0.000000,0.000000,0.000860,0.7558,0.0000,0.4609,-0.088218,0.088218,-0.000535,0.000961,-0.002091,1.3111,0.2593,0.4174,-0.105845,0.105845,0.000000,0.598253,-0.578311,0.575243,-0.584447,0.567573,-0.564505
1.3251,0.016745,0.000000,0.000000,0.000905,0.7946,0.0000,0.4854,-0.085220,0.085220,-0.000651,0.001066,-0.001992,1.4504,0.2074,0.2852,-0.095107,0.098175,0.000000,0.602854,-0.581379,0.575243,-0.587515,0.567573,-0.567573
1.3419,0.016747,0.000000,0.000000,0.000950,0.8331,0.0000,0.5099,-0.082468,0.082468,-0.000614,0.001228,-0.001931,1.5968,0.2795,0.0851,-0.092039,0.090505,0.000000,0.604388,-0.584447,0.575243,-0.592117,0.567573,-0.567573
1.3586,0.016747,0.000000,0.000000,0.000995,0.8712,0.0000,0.5342,-0.079971,0.079971,-0.000566,0.001273,-0.001889,1.7200,0.2366,-0.0016,-0.093573,0.088971,0.000000,0.605922,-0.587515,0.575243,-0.593651,0.567573,-0.567573
1.3754,0.016748,0.000000,0.000000,0.001039,0.9088,0.0000,0.5585,-0.077736,0.077736,-0.000532,0.001386,-0.001833,1.8566,0.2563,-0.1536,-0.092039,0.087437,0.000000,0.607456,-0.590583,0.575243,-0.596719,0.567573,-0.567573
1.3921,0.016746,0.000000,0.000000,0.001084,0.9461,0.0000,0.5827,-0.075769,0.075769,-0.000532,0.001386,-0.001833,1.8566,0.2563,-0.1536,-0.092039,0.087437,0.000000,0.607456,-0.590583,0.575243,-0.596719,0.567573,-0.567573
1.4089,0.016760,0.000000,0.000000,0.001128,0.9830,0.0000,0.6069,-0.074073,0.074073,-0.000605,0.001385,-0.001729,1.9702,0.3397,-0.1896,-0.087437,0.085903,0.000000,0.610524,-0.593651,0.578311,-0.599786,0.567573,-0.569107
1.4256,0.016742,0.000000,0.000000,0.001171,1.0195,0.0000,0.6309,-0.072658,0.072658,-0.000503,0.001395,-0.001678,2.0861,0.4823,-0.2385,-0.078233,0.082835,0.000000,0.610524,-0.596719,0.581379,-0.602854,0.567573,-0.567573
1.4424,0.016749,0.000000,0.000000,0.001215,1.0554,0.0000,0.6548,-0.071524,0.071524,-0.000458,0.001255,-0.001607,2.1304,0.6023,-0.2318,-0.075165,0.076699,0.000000,0.610524,-0.599786,0.585981,-0.604388,0.567573,-0.567573
1.4591,0.016743,0.000000,0.000000,0.001258,1.0910,0.0000,0.6786,-0.070675,0.070675,-0.000394,0.001185,-0.001552,2.1927,0.6729,-0.2856,-0.076699,0.070563,0.000000,0.610524,-0.602854,0.589049,-0.605922,0.567573,-0.567573
1.4759,0.016745,0.000000,0.000000,0.001301,1.1260,0.0000,0.7023,-0.070114,0.070114,-0.000223,0.001027,-0.001468,2.1515,0.6817,-0.1197,-0.073631,0.070563,0.000000,0.610524,-0.605922,0.593651,-0.605922,0.570641,-0.567573
1.4926,0.016752,0.000000,0.000000,0.001343,1.1605,0.0000,0.7259,-0.069841,0.069841,-0.000223,0.001027,-0.001468,2.1515,0.6817,-0.1197,-0.073631,0.070563,0.000000,0.610524,-0.605922,0.593651,-0.605922,0.570641,-0.567573
1.5094,0.016772,0.000000,0.000000,0.001386,1.1946,0.0000,0.7494,-0.069859,0.069859,-0.000118,0.000863,-0.001400,2.1615,0.7305,-0.0290,-0.069029,0.070563,0.000000,0.610524,-0.608990,0.598253,-0.605922,0.572175,-0.567573
1.5261,0.016746,0.000000,0.000000,0.001427,1.2281,0.0000,0.7728,-0.070166,0.070166,0.000061,0.000768,-0.001295,2.1367,0.6906,0.2297,-0.070563,0.070563,0.000000,0.612058,-0.612058,0.602854,-0.605922,0.576777,-0.567573
1.5429,0.016744,0.000000,0.000000,0.001469,1.2610,0.0000,0.7960,-0.070762,0.070762,0.000124,0.000779,-0.001220,2.1385,0.7284,0.3648,-0.072097,0.069029,0.000000,0.613592,-0.613592,0.605922,-0.607456,0.579845,-0.567573
1.5596,0.016743,0.000000,0.000000,0.001510,1.2934,0.0000,0.8191,-0.071645,0.071645,0.000115,0.000746,-0.001154,2.2153,0.7265,0.5684,-0.070563,0.069029,0.000000,0.616660,-0.615126,0.608990,-0.607456,0.581379,-0.567573
