t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000034,0.000973,-0.002267,0.5824,0.4797,0.2910,-0.177942,0.174874,0.000034,0.000973,-0.002267,0.5824,0.4797,0.2910,-0.177942,0.174874,0.000000,0.579845,-0.570641,0.572175,-0.587515,0.575243,-0.559903
0.0168,0.016755,0.000033,0.000957,-0.002229,0.5726,0.4717,0.2861,-0.177885,0.174868,0.000034,0.000973,-0.002267,0.5824,0.4797,0.2910,-0.177942,0.174874,0.000000,0.579845,-0.570641,0.572175,-0.587515,0.575243,-0.559903
0.0336,0.016795,0.000033,0.000940,-0.002191,0.5628,0.4637,0.2812,-0.177827,0.174862,0.000034,0.000973,-0.002267,0.5824,0.4797,0.2910,-0.177942,0.174874,0.000000,0.579845,-0.570641,0.572175,-0.587515,0.575243,-0.559903
0.0503,0.016751,0.000032,0.000924,-0.002153,0.5530,0.4556,0.2763,-0.177770,0.174857,0.000034,0.000973,-0.002267,0.5824,0.4797,0.2910,-0.177942,0.174874,0.000000,0.579845,-0.570641,0.572175,-0.587515,0.575243,-0.559903
0.0670,0.016740,0.000032,0.000908,-0.002115,0.5432,0.4476,0.2714,-0.177713,0.174851,0.000034,0.000973,-0.002267,0.5824,0.4797,0.2910,-0.177942,0.174874,0.000000,0.579845,-0.570641,0.572175,-0.587515,0.575243,-0.559903
0.0838,0.016740,0.000031,0.000892,-0.002077,0.5335,0.4396,0.2665,-0.177656,0.174845,0.000089,0.001004,-0.002342,0.5035,0.6164,0.3965,-0.177942,0.174874,0.000000,0.576777,-0.567573,0.572175,-0.587515,0.575243,-0.556835
0.1005,0.016743,0.000030,0.000875,-0.002039,0.5237,0.4316,0.2616,-0.177599,0.174840,0.000314,0.001054,-0.002435,0.5226,0.7546,0.4911,-0.177942,0.174874,0.000000,0.572175,-0.566039,0.572175,-0.587515,0.575243,-0.550699
0.1173,0.016752,0.000030,0.000859,-0.002001,0.5139,0.4236,0.2566,-0.177542,0.174834,0.000303,0.001103,-0.002438,0.5310,0.6889,0.4276,-0.177942,0.174874,0.000000,0.572175,-0.566039,0.570641,-0.587515,0.575243,-0.550699
0.1340,0.016749,0.000029,0.000843,-0.001963,0.5042,0.4156,0.2517,-0.177485,0.174828,0.000373,0.001043,-0.002450,0.5199,0.7803,0.4875,-0.177942,0.174874,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.1508,0.016750,0.000029,0.000826,-0.001925,0.4944,0.4076,0.2468,-0.177428,0.174822,0.000373,0.001043,-0.002450,0.5199,0.7803,0.4875,-0.177942,0.174874,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.1675,0.016748,0.000028,0.000810,-0.001887,0.4846,0.3996,0.2419,-0.177371,0.174817,0.000366,0.001050,-0.002449,0.5211,0.7707,0.4813,-0.177942,0.174874,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.1843,0.016751,0.000028,0.000794,-0.001849,0.4749,0.3915,0.2370,-0.177314,0.174811,0.000367,0.001049,-0.002449,0.5209,0.7721,0.4821,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.2010,0.016746,0.000027,0.000777,-0.001811,0.4651,0.3835,0.2321,-0.177257,0.174805,0.000325,0.001088,-0.002437,0.5708,0.7560,0.5355,-0.177942,0.173340,0.000000,0.572175,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.2178,0.016753,0.000026,0.000761,-0.001773,0.4553,0.3755,0.2272,-0.177199,0.174800,0.000289,0.001045,-0.002425,0.5156,0.7401,0.4766,-0.177942,0.173340,0.000000,0.572175,-0.566039,0.572175,-0.587515,0.575243,-0.550699
0.2347,0.016964,0.000026,0.000745,-0.001735,0.4454,0.3674,0.2223,-0.177142,0.174794,0.000334,0.001011,-0.002438,0.4716,0.7574,0.4290,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.550699
0.2515,0.016766,0.000025,0.000728,-0.001697,0.4357,0.3594,0.2174,-0.177084,0.174788,0.000334,0.001011,-0.002438,0.4716,0.7574,0.4290,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.550699
0.2682,0.016742,0.000025,0.000712,-0.001659,0.4259,0.3513,0.2125,-0.177027,0.174782,0.000370,0.001053,-0.002450,0.5261,0.7731,0.4873,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.2850,0.016745,0.000024,0.000696,-0.001621,0.4162,0.3433,0.2076,-0.176970,0.174777,0.000366,0.001049,-0.002449,0.5204,0.7715,0.4813,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.3017,0.016742,0.000024,0.000679,-0.001583,0.4064,0.3353,0.2027,-0.176913,0.174771,0.000366,0.001049,-0.002449,0.5204,0.7715,0.4813,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.3185,0.016754,0.000023,0.000663,-0.001545,0.3966,0.3273,0.1978,-0.176856,0.174765,0.000366,0.001049,-0.002449,0.5204,0.7715,0.4813,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.3352,0.016745,0.000022,0.000647,-0.001507,0.3869,0.3192,0.1929,-0.176799,0.174760,0.000366,0.001049,-0.002449,0.5204,0.7715,0.4813,-0.177942,0.174874,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.3520,0.016747,0.000022,0.000631,-0.001469,0.3771,0.3112,0.1880,-0.176742,0.174754,0.000366,0.001049,-0.002449,0.5204,0.7715,0.4813,-0.177942,0.174874,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.3687,0.016739,0.000021,0.000614,-0.001431,0.3674,0.3032,0.1832,-0.176685,0.174748,0.000366,0.001049,-0.002449,0.5204,0.7715,0.4813,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.3855,0.016759,0.000021,0.000598,-0.001393,0.3576,0.2952,0.1783,-0.176628,0.174742,0.000366,0.001049,-0.002449,0.5204,0.7715,0.4813,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.4022,0.016750,0.000020,0.000582,-0.001355,0.3478,0.2871,0.1734,-0.176571,0.174737,0.000366,0.001049,-0.002449,0.5204,0.7715,0.4813,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
0.4190,0.016747,0.000020,0.000565,-0.001317,0.3381,0.2791,0.1685,-0.176514,0.174731,0.000379,0.001103,-0.002462,0.5313,0.7203,0.4283,-0.177942,0.173340,0.000000,0.570641,-0.566039,0.570641,-0.587515,0.575243,-0.549165
0.4357,0.016745,0.000019,0.000549,-0.001279,0.3283,0.2711,0.1636,-0.176456,0.174725,0.000365,0.001043,-0.002447,0.5199,0.7770,0.4874,-0.177942,0.174874,0.000000,0.570641,-0.566039,0.572175,-0.587515,0.575243,-0.549165
