t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000043,0.001701,-0.002617,0.6085,0.2844,-0.6784,-0.012272,0.007670,-0.000043,0.001701,-0.002617,0.6085,0.2844,-0.6784,-0.012272,0.007670,0.000000,0.572175,-0.562971,0.549165,-0.590583,0.567573,-0.556835
0.0167,0.016741,-0.000042,0.001673,-0.002573,0.5983,0.2796,-0.6670,-0.012066,0.007541,-0.000003,0.001663,-0.002628,0.5588,0.2999,-0.7312,-0.006136,0.007670,0.000000,0.570641,-0.562971,0.549165,-0.590583,0.567573,-0.556835
0.0335,0.016765,-0.000042,0.001644,-0.002529,0.5881,0.2747,-0.6557,-0.011861,0.007413,-0.000003,0.001663,-0.002628,0.5588,0.2999,-0.7312,-0.006136,0.007670,0.000000,0.570641,-0.562971,0.549165,-0.590583,0.567573,-0.556835
0.0503,0.016748,-0.000041,0.001615,-0.002485,0.5780,0.2699,-0.6443,-0.011655,0.007284,-0.000048,0.001705,-0.002615,0.6143,0.2825,-0.6722,-0.004602,0.007670,0.000000,0.572175,-0.562971,0.549165,-0.590583,0.567573,-0.556835
0.0670,0.016756,-0.000040,0.001587,-0.002441,0.5678,0.2651,-0.6330,-0.011449,0.007156,-0.000043,0.001701,-0.002617,0.6085,0.2844,-0.6784,-0.010738,0.007670,0.000000,0.572175,-0.562971,0.549165,-0.590583,0.567573,-0.556835
0.0838,0.016746,-0.000039,0.001559,-0.002398,0.5576,0.2603,-0.6217,-0.011244,0.007027,0.000025,0.001678,-0.002666,0.5192,0.3689,-0.6781,-0.016874,0.007670,0.000000,0.569107,-0.561437,0.549165,-0.590583,0.567573,-0.555301
0.1005,0.016754,-0.000039,0.001530,-0.002354,0.5475,0.2555,-0.6103,-0.011038,0.006899,0.000248,0.001734,-0.002762,0.5364,0.5132,-0.5723,-0.013806,0.007670,0.000000,0.564505,-0.559903,0.549165,-0.590583,0.567573,-0.549165
0.1173,0.016747,-0.000038,0.001502,-0.002310,0.5373,0.2507,-0.5990,-0.010833,0.006771,0.000265,0.001767,-0.002765,0.5841,0.5159,-0.5301,-0.007670,0.007670,0.000000,0.564505,-0.559903,0.549165,-0.590583,0.567573,-0.547631
0.1340,0.016764,-0.000037,0.001473,-0.002266,0.5271,0.2459,-0.5876,-0.010627,0.006642,0.000265,0.001767,-0.002765,0.5841,0.5159,-0.5301,-0.007670,0.007670,0.000000,0.564505,-0.559903,0.549165,-0.590583,0.567573,-0.547631
0.1508,0.016741,-0.000037,0.001445,-0.002222,0.5170,0.2410,-0.5763,-0.010422,0.006514,0.000344,0.001763,-0.002790,0.5783,0.5489,-0.5348,-0.012272,0.007670,0.000000,0.562971,-0.559903,0.549165,-0.590583,0.567573,-0.546097
0.1675,0.016750,-0.000036,0.001416,-0.002178,0.5068,0.2362,-0.5649,-0.010216,0.006385,0.000335,0.001763,-0.002787,0.5789,0.5455,-0.5343,-0.016874,0.007670,0.000000,0.562971,-0.559903,0.549165,-0.590583,0.567573,-0.546097
0.1843,0.016744,-0.000035,0.001388,-0.002135,0.4966,0.2314,-0.5536,-0.010011,0.006257,0.000335,0.001763,-0.002787,0.5789,0.5455,-0.5343,-0.013806,0.007670,0.000000,0.562971,-0.559903,0.549165,-0.590583,0.567573,-0.546097
0.2010,0.016752,-0.000034,0.001359,-0.002091,0.4864,0.2266,-0.5423,-0.009805,0.006128,0.000335,0.001763,-0.002787,0.5789,0.5455,-0.5343,-0.007670,0.007670,0.000000,0.562971,-0.559903,0.549165,-0.590583,0.567573,-0.546097
0.2178,0.016814,-0.000034,0.001330,-0.002047,0.4762,0.2218,-0.5309,-0.009599,0.005999,0.000295,0.001802,-0.002776,0.6292,0.5302,-0.4809,-0.009204,0.007670,0.000000,0.564505,-0.559903,0.549165,-0.590583,0.567573,-0.546097
