t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000386,0.000270,-0.002026,0.8666,0.2095,0.1445,-0.004602,0.000000,0.000386,0.000270,-0.002026,0.8666,0.2095,0.1445,-0.004602,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.582913,0.575243,-0.564505
0.0168,0.016766,0.000380,0.000266,-0.001992,0.8520,0.2060,0.1421,-0.004525,0.000000,0.000373,0.000325,-0.002014,0.8767,0.2600,0.0918,-0.001534,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.584447,0.575243,-0.564505
0.0335,0.016761,0.000373,0.000261,-0.001958,0.8375,0.2025,0.1396,-0.004448,0.000000,0.000373,0.000325,-0.002014,0.8767,0.2600,0.0918,-0.001534,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.584447,0.575243,-0.564505
0.0503,0.016746,0.000367,0.000257,-0.001924,0.8230,0.1991,0.1372,-0.004371,0.000000,0.000388,0.000264,-0.002027,0.8654,0.2037,0.1507,0.004602,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.582913,0.575243,-0.564505
0.0670,0.016757,0.000360,0.000252,-0.001890,0.8085,0.1956,0.1347,-0.004293,0.000000,0.000386,0.000270,-0.002026,0.8666,0.2095,0.1445,-0.001534,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.582913,0.575243,-0.564505
0.0838,0.016744,0.000354,0.000248,-0.001856,0.7939,0.1921,0.1323,-0.004216,0.000000,0.000509,0.000231,-0.002064,0.8170,0.2579,0.0913,-0.007670,0.000000,0.000000,0.579845,-0.589049,0.582913,-0.582913,0.575243,-0.562971
0.1006,0.016801,0.000347,0.000243,-0.001822,0.7794,0.1886,0.1299,-0.004139,0.000000,0.000726,0.000289,-0.002161,0.8340,0.4035,0.2037,-0.003068,0.000000,0.000000,0.575243,-0.587515,0.582913,-0.582913,0.575243,-0.556835
0.1174,0.016815,0.000341,0.000238,-0.001788,0.7648,0.1851,0.1274,-0.004062,0.000000,0.000744,0.000322,-0.002164,0.8824,0.4053,0.2454,0.003068,0.000000,0.000000,0.575243,-0.587515,0.582913,-0.582913,0.575243,-0.555301
0.1342,0.016794,0.000334,0.000234,-0.001754,0.7503,0.1816,0.1250,-0.003984,0.000000,0.000744,0.000322,-0.002164,0.8824,0.4053,0.2454,0.003068,0.000000,0.000000,0.575243,-0.587515,0.582913,-0.582913,0.575243,-0.555301
0.1509,0.016742,0.000328,0.000229,-0.001720,0.7357,0.1781,0.1225,-0.003907,0.000000,0.000823,0.000318,-0.002189,0.8777,0.4380,0.2408,-0.001534,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.582913,0.575243,-0.553767
0.1677,0.016752,0.000321,0.000225,-0.001686,0.7212,0.1746,0.1201,-0.003830,0.000000,0.000815,0.000319,-0.002187,0.8782,0.4346,0.2413,-0.007670,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.582913,0.575243,-0.553767
0.1844,0.016743,0.000315,0.000220,-0.001652,0.7067,0.1711,0.1176,-0.003753,0.000000,0.000815,0.000319,-0.002187,0.8782,0.4346,0.2413,-0.003068,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.582913,0.575243,-0.553767
0.2011,0.016708,0.000308,0.000216,-0.001618,0.6922,0.1676,0.1152,-0.003676,0.000000,0.000815,0.000319,-0.002187,0.8782,0.4346,0.2413,0.003068,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.582913,0.575243,-0.553767
0.2179,0.016739,0.000302,0.000211,-0.001585,0.6777,0.1641,0.1128,-0.003599,0.000000,0.000735,0.000319,-0.002161,0.8778,0.4021,0.2415,0.000000,0.000000,0.000000,0.575243,-0.587515,0.582913,-0.582913,0.575243,-0.555301
0.2346,0.016755,0.000295,0.000207,-0.001551,0.6632,0.1606,0.1103,-0.003522,0.000000,0.000735,0.000319,-0.002161,0.8778,0.4021,0.2415,0.000000,0.000000,0.000000,0.575243,-0.587515,0.582913,-0.582913,0.575243,-0.555301
0.2514,0.016741,0.000289,0.000202,-0.001517,0.6487,0.1571,0.1079,-0.003445,0.000000,0.000743,0.000319,-0.002164,0.8779,0.4055,0.2414,-0.007670,0.000000,0.000000,0.575243,-0.587515,0.582913,-0.582913,0.575243,-0.555301
0.2681,0.016745,0.000283,0.000198,-0.001483,0.6342,0.1536,0.1055,-0.003368,0.000000,0.000782,0.000357,-0.002177,0.9280,0.4221,0.2948,-0.004602,0.000000,0.000000,0.575243,-0.587515,0.582913,-0.582913,0.575243,-0.553767
0.2848,0.016740,0.000276,0.000193,-0.001449,0.6197,0.1501,0.1030,-0.003291,0.000000,0.000819,0.000315,-0.002188,0.8730,0.4363,0.2356,0.001534,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.582913,0.575243,-0.553767
0.3016,0.016753,0.000270,0.000189,-0.001415,0.6052,0.1466,0.1006,-0.003214,0.000000,0.000815,0.000319,-0.002187,0.8787,0.4348,0.2418,-0.001534,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.582913,0.575243,-0.553767
0.3183,0.016741,0.000263,0.000184,-0.001381,0.5907,0.1431,0.0982,-0.003137,0.000000,0.000815,0.000319,-0.002187,0.8787,0.4348,0.2418,-0.007670,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.582913,0.575243,-0.553767
