t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.001053,0.001988,-0.001944,0.9208,-1.2655,-0.2461,-0.012272,0.010738,0.001053,0.001988,-0.001944,0.9208,-1.2655,-0.2461,-0.012272,0.010738,0.000000,0.595185,-0.592117,0.549165,-0.590583,0.598253,-0.567573
0.0167,0.016743,0.001035,0.001955,-0.001912,0.9053,-1.2443,-0.2418,-0.012066,0.010558,0.001053,0.001988,-0.001944,0.9208,-1.2655,-0.2461,-0.012272,0.010738,0.000000,0.595185,-0.592117,0.549165,-0.590583,0.598253,-0.567573
0.0335,0.016756,0.001018,0.001921,-0.001879,0.8899,-1.2232,-0.2375,-0.011861,0.010378,0.001039,0.002043,-0.001933,0.9306,-1.2154,-0.2992,-0.012272,0.010738,0.000000,0.595185,-0.592117,0.549165,-0.592117,0.598253,-0.567573
0.0502,0.016745,0.001000,0.001888,-0.001847,0.8744,-1.2020,-0.2332,-0.011655,0.010198,0.001055,0.001982,-0.001946,0.9197,-1.2712,-0.2400,-0.012272,0.010738,0.000000,0.595185,-0.592117,0.549165,-0.590583,0.598253,-0.567573
0.0670,0.016765,0.000982,0.001855,-0.001814,0.8589,-1.1808,-0.2289,-0.011450,0.010018,0.001053,0.001988,-0.001944,0.9208,-1.2654,-0.2461,-0.012272,0.009204,0.000000,0.595185,-0.592117,0.549165,-0.590583,0.598253,-0.567573
0.0850,0.017975,0.000964,0.001819,-0.001779,0.8423,-1.1581,-0.2244,-0.011229,0.009825,0.001053,0.001988,-0.001944,0.9208,-1.2654,-0.2461,-0.012272,0.009204,0.000000,0.595185,-0.592117,0.549165,-0.590583,0.598253,-0.567573
0.1017,0.016759,0.000946,0.001786,-0.001747,0.8269,-1.1370,-0.2201,-0.011023,0.009645,0.001053,0.001988,-0.001944,0.9208,-1.2654,-0.2461,-0.012272,0.009204,0.000000,0.595185,-0.592117,0.549165,-0.590583,0.598253,-0.567573
0.1185,0.016746,0.000928,0.001752,-0.001714,0.8114,-1.1158,-0.2159,-0.010818,0.009466,0.001471,0.002023,-0.002137,0.9680,-0.9826,-0.1946,-0.010738,0.009204,0.000000,0.585981,-0.590583,0.549165,-0.590583,0.596719,-0.556835
0.1353,0.016771,0.000911,0.001719,-0.001681,0.7959,-1.0946,-0.2116,-0.010612,0.009285,0.001522,0.002073,-0.002120,0.9743,-1.0280,-0.0929,-0.012272,0.009204,0.000000,0.585981,-0.590583,0.549165,-0.590583,0.598253,-0.555301
0.1520,0.016746,0.000893,0.001686,-0.001649,0.7805,-1.0734,-0.2074,-0.010406,0.009106,0.001522,0.002073,-0.002120,0.9743,-1.0280,-0.0929,-0.012272,0.009204,0.000000,0.585981,-0.590583,0.549165,-0.590583,0.598253,-0.555301
