t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000254,0.000807,-0.002229,2.9620,0.3771,0.0167,-0.179476,0.176408,-0.000254,0.000807,-0.002229,2.9620,0.3771,0.0167,-0.179476,0.176408,0.000000,0.602854,-0.599786,0.578311,-0.579845,0.544563,-0.546097
0.0167,0.016746,-0.000250,0.000793,-0.002192,2.9124,0.3708,0.0163,-0.179393,0.176376,-0.000215,0.000883,-0.002204,2.9342,0.3989,0.0107,-0.181010,0.176408,0.000000,0.602854,-0.599786,0.578311,-0.581379,0.546097,-0.546097
0.0335,0.016743,-0.000245,0.000780,-0.002155,2.8628,0.3645,0.0158,-0.179310,0.176345,-0.000215,0.000883,-0.002204,2.9342,0.3989,0.0107,-0.181010,0.176408,0.000000,0.602854,-0.599786,0.578311,-0.581379,0.546097,-0.546097
0.0502,0.016746,-0.000241,0.000766,-0.002117,2.8133,0.3582,0.0154,-0.179227,0.176314,-0.000273,0.000860,-0.002219,2.9770,0.4309,-0.0404,-0.179476,0.176408,0.000000,0.602854,-0.599786,0.578311,-0.581379,0.544563,-0.546097
0.0670,0.016748,-0.000237,0.000753,-0.002080,2.7637,0.3519,0.0150,-0.179145,0.176282,-0.000199,0.000822,-0.002216,2.9216,0.3425,0.0691,-0.181010,0.174874,0.000000,0.602854,-0.599786,0.578311,-0.579845,0.546097,-0.546097
0.0837,0.016756,-0.000233,0.000739,-0.002043,2.7141,0.3456,0.0146,-0.179062,0.176251,-0.000112,0.000866,-0.002304,2.9798,0.5050,0.1131,-0.181010,0.176408,0.000000,0.599786,-0.598253,0.578311,-0.579845,0.544563,-0.541495
0.1005,0.016742,-0.000228,0.000726,-0.002005,2.6645,0.3392,0.0141,-0.178979,0.176219,0.000080,0.000900,-0.002358,3.0251,0.5721,0.1607,-0.179476,0.174874,0.000000,0.596719,-0.598253,0.578311,-0.579845,0.544563,-0.536893
0.1172,0.016760,-0.000224,0.000712,-0.001968,2.6149,0.3329,0.0137,-0.178896,0.176188,0.000080,0.000900,-0.002358,3.0251,0.5721,0.1607,-0.179476,0.174874,0.000000,0.596719,-0.598253,0.578311,-0.579845,0.544563,-0.536893
0.1340,0.016743,-0.000220,0.000699,-0.001931,2.5653,0.3266,0.0133,-0.178813,0.176157,0.000138,0.000973,-0.002379,3.1209,0.6007,0.2625,-0.181010,0.174874,0.000000,0.596719,-0.598253,0.578311,-0.579845,0.544563,-0.533825
0.1507,0.016748,-0.000216,0.000685,-0.001893,2.5157,0.3203,0.0129,-0.178731,0.176125,0.000132,0.000966,-0.002377,3.1109,0.5978,0.2519,-0.181010,0.174874,0.000000,0.596719,-0.598253,0.578311,-0.579845,0.544563,-0.533825
