t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000584,0.000904,-0.001630,0.1049,0.9953,0.8254,-0.004602,-0.001534,-0.000584,0.000904,-0.001630,0.1049,0.9953,0.8254,-0.004602,-0.001534,0.000000,0.595185,-0.570641,0.593651,-0.604388,0.590583,-0.578311
0.0167,0.016741,-0.000574,0.000889,-0.001602,0.1030,0.9787,0.8115,-0.004525,-0.001508,-0.000584,0.000904,-0.001630,0.1049,0.9953,0.8254,0.000000,0.000000,0.000000,0.595185,-0.570641,0.593651,-0.604388,0.590583,-0.578311
0.0335,0.016750,-0.000564,0.000873,-0.001575,0.1012,0.9620,0.7977,-0.004448,-0.001483,-0.000624,0.000865,-0.001617,0.0560,0.9781,0.7719,0.003068,-0.001534,0.000000,0.595185,-0.570641,0.593651,-0.604388,0.590583,-0.579845
0.0502,0.016744,-0.000555,0.000858,-0.001548,0.0993,0.9454,0.7839,-0.004371,-0.001457,-0.000579,0.000908,-0.001631,0.1106,0.9973,0.8316,-0.003068,-0.001534,0.000000,0.595185,-0.570641,0.593651,-0.604388,0.590583,-0.578311
0.0670,0.016756,-0.000545,0.000843,-0.001521,0.0974,0.9287,0.7700,-0.004294,-0.001431,-0.000579,0.000908,-0.001631,0.1106,0.9973,0.8316,-0.007670,-0.001534,0.000000,0.593651,-0.569107,0.593651,-0.604388,0.590583,-0.576777
0.0837,0.016751,-0.000535,0.000828,-0.001493,0.0956,0.9121,0.7562,-0.004217,-0.001406,-0.000555,0.000919,-0.001667,0.0655,1.0635,0.8781,-0.007670,-0.001534,0.000000,0.593651,-0.569107,0.593651,-0.604388,0.590583,-0.576777
0.1005,0.016756,-0.000525,0.000813,-0.001466,0.0937,0.8954,0.7424,-0.004139,-0.001380,-0.000311,0.001058,-0.001812,0.0141,1.1578,0.8699,-0.003068,-0.001534,0.000000,0.587515,-0.566039,0.590583,-0.604388,0.590583,-0.570641
0.1172,0.016740,-0.000516,0.000798,-0.001439,0.0919,0.8787,0.7285,-0.004062,-0.001354,-0.000227,0.001027,-0.001822,0.0586,1.2494,0.9782,0.003068,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.567573
0.1341,0.016851,-0.000506,0.000783,-0.001411,0.0900,0.8620,0.7146,-0.003985,-0.001328,-0.000208,0.001124,-0.001822,0.1144,1.3085,0.9666,-0.003068,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.605922,0.590583,-0.566039
0.1508,0.016747,-0.000496,0.000767,-0.001384,0.0882,0.8453,0.7008,-0.003908,-0.001303,-0.000169,0.001153,-0.001835,0.1584,1.3200,1.0217,-0.007670,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.605922,0.590583,-0.564505
0.1676,0.016754,-0.000486,0.000752,-0.001357,0.0863,0.8287,0.6869,-0.003831,-0.001277,-0.000169,0.001153,-0.001835,0.1584,1.3200,1.0217,-0.007670,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.605922,0.590583,-0.564505
0.1843,0.016745,-0.000476,0.000737,-0.001329,0.0845,0.8120,0.6731,-0.003754,-0.001251,-0.000133,0.001189,-0.001847,0.2036,1.3366,1.0699,-0.003068,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.605922,0.590583,-0.562971
0.2011,0.016743,-0.000467,0.000722,-0.001302,0.0827,0.7954,0.6593,-0.003677,-0.001226,-0.000164,0.001091,-0.001845,0.1384,1.2661,1.0651,0.001534,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.2178,0.016743,-0.000457,0.000707,-0.001275,0.0808,0.7787,0.6455,-0.003600,-0.001200,-0.000161,0.001101,-0.001845,0.1452,1.2734,1.0656,-0.001534,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.2346,0.016747,-0.000447,0.000692,-0.001247,0.0790,0.7620,0.6316,-0.003522,-0.001174,-0.000149,0.001155,-0.001858,0.1554,1.2220,1.0116,-0.007670,-0.001534,0.000000,0.585981,-0.566039,0.590583,-0.604388,0.590583,-0.564505
0.2515,0.016977,-0.000437,0.000676,-0.001220,0.0772,0.7452,0.6176,-0.003444,-0.001148,-0.000163,0.001205,-0.001845,0.1649,1.2784,0.9631,-0.003068,-0.001534,0.000000,0.585981,-0.566039,0.590583,-0.605922,0.590583,-0.564505
0.2683,0.016743,-0.000427,0.000661,-0.001192,0.0754,0.7285,0.6038,-0.003367,-0.001122,-0.000163,0.001205,-0.001845,0.1649,1.2784,0.9631,-0.003068,-0.001534,0.000000,0.585981,-0.566039,0.590583,-0.605922,0.590583,-0.564505
0.2850,0.016741,-0.000418,0.000646,-0.001165,0.0735,0.7118,0.5900,-0.003290,-0.001097,-0.000161,0.001089,-0.001845,0.1425,1.2722,1.0762,-0.001534,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.3018,0.016748,-0.000408,0.000631,-0.001138,0.0717,0.6952,0.5761,-0.003213,-0.001071,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,-0.001534,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.3185,0.016747,-0.000398,0.000616,-0.001111,0.0699,0.6785,0.5623,-0.003136,-0.001045,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,-0.004602,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.3353,0.016747,-0.000388,0.000601,-0.001083,0.0681,0.6619,0.5485,-0.003059,-0.001020,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,0.003068,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.3520,0.016752,-0.000378,0.000586,-0.001056,0.0663,0.6452,0.5346,-0.002982,-0.000994,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,0.000000,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.3688,0.016744,-0.000369,0.000570,-0.001029,0.0646,0.6285,0.5208,-0.002905,-0.000968,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,0.000000,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.3855,0.016745,-0.000359,0.000555,-0.001001,0.0628,0.6119,0.5070,-0.002828,-0.000943,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,-0.006136,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.4023,0.016747,-0.000349,0.000540,-0.000974,0.0610,0.5952,0.4932,-0.002751,-0.000917,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,-0.003068,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.4190,0.016743,-0.000339,0.000525,-0.000947,0.0592,0.5785,0.4793,-0.002674,-0.000891,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,0.004602,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.4358,0.016748,-0.000330,0.000510,-0.000920,0.0574,0.5619,0.4655,-0.002597,-0.000866,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,0.001534,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
0.4527,0.016933,-0.000320,0.000495,-0.000892,0.0556,0.5450,0.4515,-0.002519,-0.000840,-0.000161,0.001101,-0.001845,0.1448,1.2728,1.0645,-0.006136,-0.001534,0.000000,0.585981,-0.566039,0.592117,-0.604388,0.590583,-0.564505
