t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000351,0.000420,-0.001993,0.8951,0.3478,0.0006,-0.006136,0.000000,0.000351,0.000420,-0.001993,0.8951,0.3478,0.0006,-0.006136,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.587515,0.575243,-0.564505
0.0167,0.016747,0.000345,0.000413,-0.001960,0.8801,0.3420,0.0006,-0.006033,0.000000,0.000351,0.000420,-0.001993,0.8951,0.3478,0.0006,-0.003068,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.587515,0.575243,-0.564505
0.0335,0.016786,0.000339,0.000406,-0.001926,0.8651,0.3362,0.0005,-0.005930,0.000000,0.000351,0.000420,-0.001993,0.8951,0.3478,0.0006,0.004602,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.587515,0.575243,-0.564505
0.0503,0.016753,0.000333,0.000399,-0.001893,0.8501,0.3303,0.0004,-0.005827,0.000000,0.000351,0.000420,-0.001993,0.8951,0.3478,0.0006,0.004602,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.587515,0.575243,-0.564505
0.0670,0.016744,0.000327,0.000392,-0.001860,0.8351,0.3245,0.0004,-0.005725,0.000000,0.000351,0.000420,-0.001993,0.8951,0.3478,0.0006,0.003068,0.000000,0.000000,0.582913,-0.589049,0.582913,-0.587515,0.575243,-0.564505
0.0838,0.016749,0.000322,0.000385,-0.001826,0.8201,0.3187,0.0003,-0.005622,0.000000,0.000432,0.000419,-0.002018,0.8946,0.3805,-0.0002,-0.004602,0.000000,0.000000,0.581379,-0.589049,0.582913,-0.587515,0.575243,-0.562971
0.1005,0.016745,0.000316,0.000378,-0.001793,0.8051,0.3129,0.0003,-0.005519,0.000000,0.000654,0.000474,-0.002116,0.9062,0.5279,0.1067,-0.009204,0.000000,0.000000,0.576777,-0.587515,0.582913,-0.587515,0.575243,-0.556835
0.1173,0.016746,0.000310,0.000371,-0.001759,0.7901,0.3070,0.0003,-0.005416,0.000000,0.000794,0.000468,-0.002157,0.9053,0.5785,0.0951,0.000000,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.587515,0.575243,-0.553767
0.1340,0.016761,0.000304,0.000363,-0.001726,0.7751,0.3012,0.0002,-0.005314,0.000000,0.000779,0.000468,-0.002153,0.9054,0.5732,0.0963,0.000000,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.587515,0.575243,-0.553767
0.1508,0.016755,0.000298,0.000356,-0.001693,0.7601,0.2954,0.0002,-0.005211,0.000000,0.000779,0.000468,-0.002153,0.9054,0.5732,0.0963,0.000000,0.000000,0.000000,0.573709,-0.587515,0.582913,-0.587515,0.575243,-0.553767
