t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,0.001534,0.000000,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,0.003068,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0168,0.016754,0.000391,0.000482,-0.001984,0.7091,0.3165,0.9548,-0.001416,0.002924,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,0.003068,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0335,0.016743,0.000385,0.000473,-0.001950,0.6970,0.3112,0.9385,-0.004364,0.005847,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,-0.003068,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0502,0.016745,0.000378,0.000465,-0.001917,0.6849,0.3059,0.9222,-0.007312,0.008769,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,-0.004602,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0670,0.016743,0.000371,0.000457,-0.001883,0.6727,0.3006,0.9060,-0.010260,0.011691,0.000398,0.000490,-0.002018,0.7212,0.3218,0.9711,0.001534,0.000000,0.000000,0.585981,-0.581379,0.585981,-0.582913,0.582913,-0.559903
0.0837,0.016756,0.000365,0.000449,-0.001849,0.6606,0.2953,0.8897,-0.013210,0.014616,0.000386,0.000467,-0.002042,0.6320,0.3721,0.9717,0.004602,0.001534,0.000000,0.584447,-0.579845,0.585981,-0.582913,0.582913,-0.559903
0.1005,0.016740,0.000358,0.000441,-0.001815,0.6485,0.2900,0.8734,-0.016158,0.017538,0.000386,0.000467,-0.002042,0.6320,0.3721,0.9717,0.004602,0.001534,0.000000,0.584447,-0.579845,0.585981,-0.582913,0.582913,-0.559903
0.1172,0.016750,0.000351,0.000432,-0.001781,0.6364,0.2847,0.8571,-0.019107,0.020461,0.000552,0.000485,-0.002178,0.6042,0.6035,1.0239,-0.001534,0.007670,0.000000,0.578311,-0.576777,0.585981,-0.582913,0.581379,-0.553767
0.1340,0.016740,0.000345,0.000424,-0.001748,0.6243,0.2794,0.8408,-0.022054,0.023383,0.000710,0.000537,-0.002191,0.6197,0.5953,1.1247,-0.007670,0.010738,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.550699
0.1507,0.016760,0.000338,0.000416,-0.001714,0.6122,0.2741,0.8245,-0.025005,0.026308,0.000694,0.000531,-0.002189,0.6181,0.5962,1.1142,-0.015340,0.010738,0.000000,0.576777,-0.576777,0.585981,-0.582913,0.582913,-0.550699
