t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000513,0.000427,-0.002130,0.4812,0.5188,0.9700,-0.176408,0.173340,0.000513,0.000427,-0.002130,0.4812,0.5188,0.9700,-0.176408,0.173340,0.000000,0.578311,-0.576777,0.585981,-0.582913,0.582913,-0.556835
0.0168,0.016787,0.000504,0.000420,-0.002094,0.4731,0.5101,0.9537,-0.173446,0.170430,0.000513,0.000427,-0.002130,0.4812,0.5188,0.9700,-0.176408,0.173340,0.000000,0.578311,-0.576777,0.585981,-0.582913,0.582913,-0.556835
0.0335,0.016752,0.000496,0.000413,-0.002059,0.4649,0.5015,0.9374,-0.170491,0.167526,0.000513,0.000427,-0.002130,0.4812,0.5188,0.9700,-0.176408,0.173340,0.000000,0.578311,-0.576777,0.585981,-0.582913,0.582913,-0.556835
0.0503,0.016751,0.000487,0.000406,-0.002023,0.4568,0.4929,0.9211,-0.167536,0.164622,0.000513,0.000427,-0.002130,0.4812,0.5188,0.9700,-0.176408,0.173340,0.000000,0.578311,-0.576777,0.585981,-0.582913,0.582913,-0.556835
0.0670,0.016755,0.000479,0.000399,-0.001987,0.4487,0.4842,0.9048,-0.164580,0.161718,0.000513,0.000427,-0.002130,0.4812,0.5188,0.9700,-0.176408,0.173340,0.000000,0.578311,-0.576777,0.585981,-0.582913,0.582913,-0.556835
0.0838,0.016741,0.000470,0.000391,-0.001952,0.4406,0.4756,0.8886,-0.161627,0.158816,0.000580,0.000482,-0.002181,0.4924,0.6046,1.0772,-0.176408,0.173340,0.000000,0.576777,-0.575243,0.585981,-0.582913,0.582913,-0.553767
0.1007,0.016885,0.000461,0.000384,-0.001916,0.4324,0.4669,0.8722,-0.158648,0.155889,0.000656,0.000491,-0.002289,0.4532,0.7996,1.1182,-0.176408,0.171806,0.000000,0.572175,-0.572175,0.585981,-0.582913,0.581379,-0.549165
0.1174,0.016740,0.000453,0.000377,-0.001880,0.4243,0.4583,0.8559,-0.155695,0.152988,0.000717,0.000467,-0.002328,0.3689,0.8633,1.1131,-0.174874,0.171806,0.000000,0.569107,-0.570641,0.585981,-0.582913,0.581379,-0.547631
0.1342,0.016749,0.000444,0.000370,-0.001844,0.4161,0.4497,0.8396,-0.152741,0.150084,0.000751,0.000539,-0.002338,0.3502,0.8748,1.2736,-0.174874,0.171806,0.000000,0.569107,-0.569107,0.585981,-0.582913,0.582913,-0.546097
0.1509,0.016746,0.000435,0.000363,-0.001809,0.4080,0.4410,0.8234,-0.149786,0.147182,0.000751,0.000539,-0.002338,0.3502,0.8748,1.2736,-0.174874,0.171806,0.000000,0.569107,-0.569107,0.585981,-0.582913,0.582913,-0.546097
0.1677,0.016745,0.000427,0.000356,-0.001773,0.3999,0.4324,0.8071,-0.146833,0.144279,0.000748,0.000531,-0.002337,0.3521,0.8737,1.2569,-0.174874,0.171806,0.000000,0.569107,-0.569107,0.585981,-0.582913,0.582913,-0.546097
0.1845,0.016809,0.000418,0.000348,-0.001737,0.3918,0.4237,0.7908,-0.143867,0.141365,0.000748,0.000532,-0.002337,0.3519,0.8738,1.2592,-0.171806,0.170272,0.000000,0.569107,-0.569107,0.585981,-0.582913,0.582913,-0.546097
0.2018,0.017370,0.000409,0.000341,-0.001700,0.3834,0.4147,0.7739,-0.140803,0.138354,0.000748,0.000532,-0.002337,0.3519,0.8738,1.2592,-0.171806,0.170272,0.000000,0.569107,-0.569107,0.585981,-0.582913,0.582913,-0.546097
