t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000942,0.000970,-0.001645,-0.9465,-0.7914,0.8067,-0.179476,0.176408,0.000942,0.000970,-0.001645,-0.9465,-0.7914,0.8067,-0.179476,0.176408,0.000000,0.584447,-0.576777,0.572175,-0.590583,0.621262,-0.585981
0.0167,0.016745,0.000927,0.000954,-0.001618,-0.9305,-0.7783,0.7931,-0.179393,0.176376,0.000997,0.000950,-0.001633,-0.8992,-0.8276,0.7411,-0.179476,0.176408,0.000000,0.584447,-0.578311,0.572175,-0.590583,0.621262,-0.585981
0.0335,0.016766,0.000911,0.000937,-0.001590,-0.9146,-0.7651,0.7794,-0.179310,0.176345,0.000992,0.000952,-0.001634,-0.9042,-0.8239,0.7480,-0.179476,0.176408,0.000000,0.584447,-0.578311,0.572175,-0.590583,0.621262,-0.585981
0.0503,0.016741,0.000895,0.000921,-0.001563,-0.8986,-0.7520,0.7658,-0.179227,0.176314,0.000992,0.000952,-0.001634,-0.9042,-0.8239,0.7480,-0.179476,0.176408,0.000000,0.584447,-0.578311,0.572175,-0.590583,0.621262,-0.585981
0.0691,0.018877,0.000877,0.000903,-0.001532,-0.8807,-0.7372,0.7505,-0.179134,0.176278,0.000992,0.000952,-0.001634,-0.9042,-0.8239,0.7480,-0.179476,0.176408,0.000000,0.584447,-0.578311,0.572175,-0.590583,0.621262,-0.585981
0.0859,0.016743,0.000861,0.000887,-0.001504,-0.8648,-0.7240,0.7369,-0.179051,0.176247,0.000978,0.001038,-0.001697,-0.9714,-0.7717,0.8011,-0.181010,0.176408,0.000000,0.582913,-0.575243,0.570641,-0.590583,0.621262,-0.584447
0.1027,0.016857,0.000845,0.000870,-0.001476,-0.8487,-0.7108,0.7232,-0.178968,0.176215,0.001142,0.001043,-0.001829,-1.0044,-0.5414,0.8463,-0.179476,0.176408,0.000000,0.576777,-0.572175,0.570641,-0.590583,0.619728,-0.578311
0.1195,0.016755,0.000830,0.000854,-0.001449,-0.8328,-0.6976,0.7096,-0.178885,0.176184,0.001234,0.001134,-0.001880,-0.9398,-0.4626,1.0010,-0.181010,0.176408,0.000000,0.575243,-0.570641,0.570641,-0.590583,0.619728,-0.573709
0.1364,0.016937,0.000814,0.000838,-0.001421,-0.8167,-0.6843,0.6959,-0.178801,0.176152,0.001212,0.001102,-0.001863,-1.0330,-0.4180,1.1464,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.572175,-0.590583,0.621262,-0.573709
0.1532,0.016782,0.000798,0.000821,-0.001393,-0.8008,-0.6711,0.6823,-0.178718,0.176121,0.001212,0.001102,-0.001863,-1.0330,-0.4180,1.1464,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.572175,-0.590583,0.621262,-0.573709
0.1700,0.016755,0.000782,0.000805,-0.001366,-0.7848,-0.6579,0.6687,-0.178636,0.176089,0.001201,0.001160,-0.001852,-1.0139,-0.3712,1.0768,-0.181010,0.176408,0.000000,0.575243,-0.569107,0.572175,-0.592117,0.621262,-0.573709
0.1868,0.016815,0.000766,0.000789,-0.001338,-0.7689,-0.6447,0.6550,-0.178553,0.176058,0.001257,0.001138,-0.001879,-0.9752,-0.4103,1.1917,-0.181010,0.176408,0.000000,0.575243,-0.569107,0.572175,-0.590583,0.621262,-0.572175
0.2035,0.016753,0.000751,0.000772,-0.001310,-0.7530,-0.6315,0.6414,-0.178470,0.176026,0.001182,0.001163,-0.001862,-0.8928,-0.4915,1.0185,-0.181010,0.176408,0.000000,0.576777,-0.570641,0.570641,-0.590583,0.619728,-0.573709
0.2203,0.016749,0.000735,0.000756,-0.001283,-0.7370,-0.6183,0.6279,-0.178387,0.175995,0.001176,0.001137,-0.001889,-0.9904,-0.4320,1.0364,-0.181010,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.2371,0.016776,0.000719,0.000740,-0.001255,-0.7211,-0.6051,0.6143,-0.178304,0.175963,0.001177,0.001140,-0.001886,-0.9802,-0.4382,1.0345,-0.181010,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.2538,0.016740,0.000703,0.000724,-0.001228,-0.7052,-0.5919,0.6007,-0.178221,0.175932,0.001177,0.001140,-0.001886,-0.9802,-0.4382,1.0345,-0.181010,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.2706,0.016759,0.000687,0.000707,-0.001200,-0.6893,-0.5787,0.5871,-0.178138,0.175901,0.001218,0.001069,-0.001861,-0.9521,-0.4222,1.0345,-0.181010,0.176408,0.000000,0.575243,-0.570641,0.572175,-0.590583,0.619728,-0.573709
0.2873,0.016758,0.000672,0.000691,-0.001173,-0.6734,-0.5655,0.5736,-0.178056,0.175869,0.001213,0.001077,-0.001864,-0.9550,-0.4239,1.0345,-0.181010,0.176408,0.000000,0.575243,-0.570641,0.572175,-0.590583,0.619728,-0.573709
0.3043,0.017036,0.000656,0.000675,-0.001145,-0.6573,-0.5520,0.5598,-0.177971,0.175837,0.001213,0.001077,-0.001864,-0.9550,-0.4239,1.0345,-0.181010,0.176408,0.000000,0.575243,-0.570641,0.572175,-0.590583,0.619728,-0.573709
0.3211,0.016751,0.000640,0.000658,-0.001117,-0.6414,-0.5388,0.5462,-0.177889,0.175806,0.001160,0.001092,-0.001875,-0.9937,-0.3880,1.0878,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.572175,-0.590583,0.619728,-0.573709
0.3379,0.016782,0.000624,0.000642,-0.001089,-0.6255,-0.5256,0.5327,-0.177806,0.175774,0.001233,0.001161,-0.001876,-1.0177,-0.4768,1.0843,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.621262,-0.573709
0.3546,0.016768,0.000608,0.000626,-0.001062,-0.6096,-0.5123,0.5191,-0.177723,0.175743,0.001233,0.001161,-0.001876,-1.0177,-0.4768,1.0843,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.621262,-0.573709
0.3714,0.016750,0.000592,0.000610,-0.001034,-0.5937,-0.4991,0.5056,-0.177640,0.175711,0.001225,0.001154,-0.001876,-1.0152,-0.4676,1.0846,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.621262,-0.573709
0.3881,0.016741,0.000577,0.000593,-0.001007,-0.5778,-0.4859,0.4920,-0.177557,0.175680,0.001172,0.001138,-0.001887,-0.9777,-0.4344,1.0295,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.4049,0.016756,0.000561,0.000577,-0.000979,-0.5619,-0.4726,0.4785,-0.177474,0.175649,0.001231,0.001124,-0.001874,-0.9426,-0.4737,0.9819,-0.181010,0.176408,0.000000,0.575243,-0.570641,0.570641,-0.590583,0.619728,-0.573709
0.4216,0.016746,0.000545,0.000561,-0.000952,-0.5461,-0.4594,0.4650,-0.177392,0.175617,0.001171,0.001142,-0.001887,-0.9852,-0.4338,1.0402,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.4384,0.016797,0.000529,0.000545,-0.000924,-0.5302,-0.4461,0.4514,-0.177309,0.175586,0.001177,0.001140,-0.001886,-0.9808,-0.4380,1.0341,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.4552,0.016745,0.000513,0.000528,-0.000896,-0.5143,-0.4329,0.4379,-0.177226,0.175554,0.001177,0.001140,-0.001886,-0.9808,-0.4380,1.0341,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.4719,0.016765,0.000498,0.000512,-0.000869,-0.4984,-0.4196,0.4243,-0.177143,0.175523,0.001177,0.001140,-0.001886,-0.9808,-0.4380,1.0341,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.4887,0.016748,0.000482,0.000496,-0.000841,-0.4826,-0.4064,0.4108,-0.177060,0.175492,0.001177,0.001140,-0.001886,-0.9808,-0.4380,1.0341,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
0.5055,0.016766,0.000466,0.000480,-0.000814,-0.4667,-0.3931,0.3973,-0.176977,0.175460,0.001163,0.001085,-0.001873,-0.9910,-0.3865,1.0878,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.572175,-0.590583,0.619728,-0.573709
0.5222,0.016747,0.000450,0.000463,-0.000786,-0.4508,-0.3798,0.3838,-0.176895,0.175429,0.001165,0.001091,-0.001874,-0.9900,-0.3919,1.0822,-0.179476,0.176408,0.000000,0.575243,-0.569107,0.572175,-0.590583,0.619728,-0.573709
0.5390,0.016780,0.000434,0.000447,-0.000759,-0.4350,-0.3666,0.3703,-0.176812,0.175397,0.001165,0.001091,-0.001874,-0.9900,-0.3919,1.0822,-0.181010,0.176408,0.000000,0.575243,-0.569107,0.570641,-0.590583,0.619728,-0.573709
