t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000981,0.001576,-0.001912,0.3832,-1.3082,-0.8181,-0.004602,0.001534,0.000981,0.001576,-0.001912,0.3832,-1.3082,-0.8181,-0.004602,0.001534,0.000000,0.587515,-0.592117,0.549165,-0.590583,0.598253,-0.578311
0.0170,0.017035,0.000964,0.001549,-0.001880,0.3766,-1.2860,-0.8041,-0.004524,0.001508,0.000985,0.001572,-0.001913,0.3780,-1.3066,-0.8236,0.000000,0.001534,0.000000,0.587515,-0.592117,0.549165,-0.590583,0.598253,-0.578311
0.0339,0.016829,0.000948,0.001523,-0.001847,0.3700,-1.2641,-0.7903,-0.004446,0.001482,0.001026,0.001534,-0.001926,0.3281,-1.2912,-0.8763,0.003068,0.001534,0.000000,0.585981,-0.592117,0.549165,-0.590583,0.598253,-0.578311
0.0511,0.017217,0.000931,0.001496,-0.001814,0.3632,-1.2416,-0.7761,-0.004367,0.001456,0.001026,0.001534,-0.001926,0.3281,-1.2912,-0.8763,0.003068,0.001534,0.000000,0.585981,-0.592117,0.549165,-0.590583,0.598253,-0.578311
0.0712,0.020153,0.000911,0.001464,-0.001776,0.3553,-1.2153,-0.7596,-0.004274,0.001425,0.001026,0.001534,-0.001926,0.3281,-1.2912,-0.8763,0.003068,0.001534,0.000000,0.585981,-0.592117,0.549165,-0.590583,0.598253,-0.578311
0.0880,0.016764,0.000895,0.001438,-0.001744,0.3488,-1.1934,-0.7458,-0.004197,0.001399,0.001026,0.001534,-0.001926,0.3281,-1.2912,-0.8763,0.003068,0.001534,0.000000,0.585981,-0.592117,0.549165,-0.590583,0.598253,-0.578311
0.1048,0.016762,0.000878,0.001411,-0.001712,0.3422,-1.1715,-0.7320,-0.004120,0.001373,0.001319,0.001537,-0.002076,0.3293,-1.0596,-0.8710,-0.003068,0.000000,0.000000,0.578311,-0.590583,0.549165,-0.590583,0.596719,-0.570641
0.1215,0.016743,0.000862,0.001385,-0.001680,0.3357,-1.1496,-0.7183,-0.004043,0.001348,0.001450,0.001613,-0.002114,0.4272,-1.0169,-0.7656,0.001534,0.000000,0.000000,0.576777,-0.590583,0.549165,-0.590583,0.596719,-0.566039
0.1382,0.016744,0.000846,0.001358,-0.001648,0.3291,-1.1278,-0.7045,-0.003966,0.001322,0.001531,0.001659,-0.002112,0.4278,-1.0383,-0.6693,-0.003068,0.000000,0.000000,0.576777,-0.590583,0.549165,-0.590583,0.598253,-0.564505
0.1550,0.016748,0.000829,0.001332,-0.001616,0.3226,-1.1059,-0.6908,-0.003889,0.001296,0.001604,0.001654,-0.002139,0.4268,-1.0034,-0.6795,-0.007670,0.000000,0.000000,0.575243,-0.590583,0.549165,-0.590583,0.598253,-0.562971
