t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.000505,0.001355,-0.002431,0.4312,0.3531,-0.5819,-0.001534,0.001534,-0.000505,0.001355,-0.002431,0.4312,0.3531,-0.5819,-0.001534,0.001534,0.000000,0.578311,-0.562971,0.556835,-0.590583,0.567573,-0.567573
0.0167,0.016743,-0.000496,0.001332,-0.002390,0.4240,0.3472,-0.5722,-0.001508,0.001508,-0.000518,0.001409,-0.002420,0.4422,0.4030,-0.6350,-0.004602,0.001534,0.000000,0.578311,-0.562971,0.556835,-0.592117,0.567573,-0.567573
0.0335,0.016752,-0.000488,0.001310,-0.002350,0.4168,0.3413,-0.5625,-0.001483,0.001483,-0.000503,0.001349,-0.002432,0.4299,0.3474,-0.5757,-0.001534,0.001534,0.000000,0.578311,-0.562971,0.556835,-0.590583,0.567573,-0.567573
0.0502,0.016745,-0.000480,0.001287,-0.002309,0.4096,0.3353,-0.5527,-0.001457,0.001457,-0.000518,0.001410,-0.002420,0.4423,0.4036,-0.6357,0.003068,0.000000,0.000000,0.578311,-0.562971,0.556835,-0.592117,0.567573,-0.567573
0.0670,0.016773,-0.000471,0.001264,-0.002268,0.4024,0.3294,-0.5430,-0.001431,0.001431,-0.000518,0.001410,-0.002420,0.4423,0.4036,-0.6357,0.003068,0.000000,0.000000,0.578311,-0.562971,0.556835,-0.592117,0.567573,-0.567573
0.0838,0.016749,-0.000463,0.001241,-0.002227,0.3952,0.3234,-0.5333,-0.001405,0.001405,-0.000475,0.001364,-0.002470,0.3901,0.4160,-0.5226,-0.003068,0.000000,0.000000,0.576777,-0.561437,0.556835,-0.590583,0.567573,-0.566039
0.1005,0.016742,-0.000454,0.001219,-0.002187,0.3880,0.3175,-0.5236,-0.001380,0.001380,-0.000195,0.001438,-0.002589,0.3640,0.5313,-0.5351,-0.004602,0.000000,0.000000,0.570641,-0.559903,0.555301,-0.590583,0.567573,-0.559903
0.1172,0.016739,-0.000446,0.001196,-0.002146,0.3808,0.3115,-0.5138,-0.001354,0.001354,-0.000116,0.001414,-0.002601,0.4048,0.6222,-0.4273,-0.001534,0.000000,0.000000,0.569107,-0.559903,0.556835,-0.590583,0.567573,-0.556835
0.1340,0.016746,-0.000437,0.001173,-0.002105,0.3736,0.3056,-0.5041,-0.001328,0.001328,-0.000124,0.001417,-0.002600,0.4006,0.6127,-0.4386,0.003068,0.000000,0.000000,0.569107,-0.559903,0.556835,-0.590583,0.567573,-0.556835
0.1508,0.016773,-0.000429,0.001151,-0.002065,0.3664,0.2996,-0.4944,-0.001303,0.001303,-0.000082,0.001378,-0.002611,0.3509,0.6296,-0.4910,-0.001534,0.000000,0.000000,0.567573,-0.559903,0.556835,-0.590583,0.567573,-0.556835
