t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000047,0.000473,-0.002269,0.0990,0.7481,1.5546,-0.176408,0.174874,0.000047,0.000473,-0.002269,0.0990,0.7481,1.5546,-0.176408,0.174874,0.000000,0.579845,-0.562971,0.585981,-0.579845,0.582913,-0.556835
0.0168,0.016751,0.000046,0.000465,-0.002231,0.0971,0.7356,1.5286,-0.176376,0.174868,0.000065,0.000494,-0.002243,0.1923,0.6931,1.5506,-0.176408,0.174874,0.000000,0.579845,-0.562971,0.585981,-0.579845,0.582913,-0.556835
0.0335,0.016775,0.000045,0.000457,-0.002193,0.0953,0.7231,1.5025,-0.176345,0.174862,0.000010,0.000507,-0.002258,0.1425,0.7340,1.6041,-0.176408,0.174874,0.000000,0.579845,-0.561437,0.585981,-0.579845,0.582913,-0.556835
0.0503,0.016768,0.000044,0.000449,-0.002154,0.0935,0.7106,1.4764,-0.176313,0.174857,0.000110,0.000451,-0.002256,0.1385,0.7101,1.4915,-0.176408,0.174874,0.000000,0.578311,-0.562971,0.585981,-0.579845,0.582913,-0.556835
0.0671,0.016768,0.000044,0.000441,-0.002116,0.0917,0.6981,1.4504,-0.176282,0.174851,0.000046,0.000473,-0.002269,0.0989,0.7478,1.5563,-0.176408,0.174874,0.000000,0.578311,-0.561437,0.585981,-0.579845,0.582913,-0.556835
0.0838,0.016760,0.000043,0.000433,-0.002078,0.0899,0.6855,1.4243,-0.176251,0.174845,0.000046,0.000473,-0.002269,0.0989,0.7478,1.5563,-0.176408,0.174874,0.000000,0.578311,-0.561437,0.585981,-0.579845,0.582913,-0.556835
0.1006,0.016764,0.000042,0.000425,-0.002040,0.0881,0.6730,1.3982,-0.176219,0.174840,0.000052,0.000471,-0.002267,0.1030,0.7439,1.5496,-0.176408,0.174874,0.000000,0.578311,-0.561437,0.585981,-0.579845,0.582913,-0.556835
0.1173,0.016749,0.000041,0.000417,-0.002002,0.0863,0.6605,1.3722,-0.176188,0.174834,0.000052,0.000471,-0.002267,0.1030,0.7439,1.5496,-0.176408,0.174874,0.000000,0.578311,-0.561437,0.585981,-0.579845,0.582913,-0.556835
0.1341,0.016759,0.000040,0.000409,-0.001964,0.0845,0.6480,1.3461,-0.176156,0.174828,0.000392,0.000538,-0.002432,0.0782,0.9979,1.7070,-0.176408,0.174874,0.000000,0.570641,-0.558369,0.585981,-0.579845,0.582913,-0.547631
0.1509,0.016761,0.000040,0.000402,-0.001926,0.0827,0.6355,1.3201,-0.176125,0.174822,0.000438,0.000531,-0.002440,0.0820,1.0047,1.6901,-0.176408,0.174874,0.000000,0.569107,-0.558369,0.585981,-0.579845,0.582913,-0.546097
