t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000000,-0.174533,0.174533,0.0000,0.0000,0.0000,-0.002488,-0.003068,0.004602,0.4312,0.6848,0.2436,0.000000,0.572175,-0.561437,0.564505,-0.590583,0.575243,-0.552233
0.0168,0.016753,0.000000,-0.173071,0.173071,0.0000,0.0000,0.0000,-0.002473,-0.004602,0.003068,0.3855,0.6635,0.1848,0.000000,0.572175,-0.561437,0.564505,-0.590583,0.575243,-0.553767
0.0335,0.016765,0.000000,-0.171608,0.171608,0.0000,0.0000,0.0000,-0.002473,-0.004602,0.003068,0.3855,0.6635,0.1848,0.000000,0.572175,-0.561437,0.564505,-0.590583,0.575243,-0.553767
0.0503,0.016761,0.000000,-0.170145,0.170145,0.0000,0.0000,0.0000,-0.002462,-0.010738,0.009204,0.4294,0.6301,0.1378,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.553767
0.0670,0.016763,0.000000,-0.168682,0.168682,0.0000,0.0000,0.0000,-0.002463,-0.064427,0.064427,0.4248,0.6336,0.1427,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.553767
0.0838,0.016755,0.000000,-0.167220,0.167220,0.0000,0.0000,0.0000,-0.002463,-0.144194,0.141126,0.4248,0.6336,0.1427,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.553767
0.1006,0.016759,0.000000,-0.165758,0.165758,0.0000,0.0000,0.0000,-0.002463,-0.194816,0.193282,0.4248,0.6336,0.1427,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.553767
0.1173,0.016763,0.000000,-0.164295,0.164295,0.0000,0.0000,0.0000,-0.002438,-0.199418,0.199418,0.3861,0.6664,0.0351,0.000000,0.572175,-0.562971,0.564505,-0.592117,0.575243,-0.555301
0.1341,0.016782,0.000000,-0.162830,0.162830,0.0000,0.0000,0.0000,-0.002428,-0.182544,0.187146,0.3406,0.6454,-0.0071,0.000000,0.572175,-0.562971,0.564505,-0.592117,0.575243,-0.556835
0.1509,0.016762,0.000000,-0.161367,0.161367,0.0000,0.0000,0.0000,-0.002428,-0.182544,0.187146,0.3406,0.6454,-0.0071,0.000000,0.572175,-0.562971,0.564505,-0.592117,0.575243,-0.556835
0.1676,0.016762,0.000000,-0.159905,0.159905,0.0000,0.0000,0.0000,-0.002440,-0.168738,0.174874,0.3347,0.5969,0.0510,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.556835
