t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000000,0.000001,-0.000001,0.0000,0.0000,0.0000,-0.002894,-0.176408,0.173340,-0.0226,0.7405,0.0364,0.000000,0.558369,-0.550699,0.562971,-0.572175,0.558369,-0.555301
0.0186,0.018610,0.000058,0.015298,-0.015298,0.0000,0.0000,0.0000,-0.002756,-0.176408,0.173340,0.0662,0.5894,0.0480,0.000000,0.562971,-0.555301,0.564505,-0.573709,0.561437,-0.558369
0.0354,0.016802,0.000111,0.029066,-0.029066,0.0000,0.0000,0.0000,-0.002646,-0.176408,0.173340,0.0282,0.5884,0.0465,0.000000,0.566039,-0.556835,0.566039,-0.576777,0.564505,-0.561437
0.0522,0.016745,0.000164,0.042707,-0.042707,0.0000,0.0000,0.0000,-0.002646,-0.176408,0.173340,0.0282,0.5884,0.0465,0.000000,0.566039,-0.556835,0.566039,-0.576777,0.564505,-0.561437
0.0689,0.016744,0.000216,0.056229,-0.056229,0.0000,0.0000,0.0000,-0.002545,-0.148796,0.145728,0.1108,0.5883,0.1007,0.000000,0.569107,-0.559903,0.569107,-0.578311,0.566039,-0.562971
0.0856,0.016743,0.000269,0.069594,-0.069594,0.0000,0.0000,0.0000,-0.002432,-0.082835,0.085903,0.1525,0.5709,-0.0115,0.000000,0.572175,-0.562971,0.570641,-0.581379,0.567573,-0.566039
0.1024,0.016740,0.000321,0.082765,-0.082765,0.0000,0.0000,0.0000,-0.002407,-0.010738,0.018408,0.1979,0.6589,0.0539,0.000000,0.573709,-0.562971,0.572175,-0.582913,0.567573,-0.566039
0.1191,0.016741,0.000374,0.095707,-0.095707,0.0000,0.0000,0.0000,-0.002362,0.055223,-0.046019,0.2538,0.6512,0.0474,0.000000,0.576777,-0.562971,0.572175,-0.584447,0.567573,-0.567573
0.1359,0.016748,0.000426,0.108389,-0.108389,0.0000,0.0000,0.0000,-0.002317,0.088971,-0.085903,0.3083,0.6176,0.0483,0.000000,0.578311,-0.564505,0.572175,-0.585981,0.569107,-0.567573
0.1526,0.016740,0.000479,0.120767,-0.120767,0.0000,0.0000,0.0000,-0.002317,0.088971,-0.085903,0.3083,0.6176,0.0483,0.000000,0.578311,-0.564505,0.572175,-0.585981,0.569107,-0.567573
0.1694,0.016751,0.000531,0.132818,-0.132818,0.0000,0.0000,0.0000,-0.002260,0.088971,-0.088971,0.3135,0.5694,-0.0054,0.000000,0.579845,-0.566039,0.572175,-0.587515,0.570641,-0.569107
0.1861,0.016739,0.000583,0.144493,-0.144493,0.0000,0.0000,0.0000,-0.002216,0.082835,-0.087437,0.3226,0.4549,0.1072,0.000000,0.581379,-0.567573,0.572175,-0.587515,0.573709,-0.569107
0.2028,0.016744,0.000636,0.155771,-0.155771,0.0000,0.0000,0.0000,-0.002134,0.093573,-0.095107,0.4214,0.3642,0.0424,0.000000,0.584447,-0.570641,0.572175,-0.589049,0.575243,-0.570641
0.2196,0.016743,0.000688,0.166618,-0.166618,0.0000,0.0000,0.0000,-0.002058,0.115049,-0.110447,0.4323,0.4437,0.1029,0.000000,0.587515,-0.570641,0.573709,-0.592117,0.576777,-0.572175
0.2363,0.016743,0.000740,0.177005,-0.177005,0.0000,0.0000,0.0000,-0.002058,0.115049,-0.110447,0.4323,0.4437,0.1029,0.000000,0.587515,-0.570641,0.573709,-0.592117,0.576777,-0.572175
0.2531,0.016742,0.000792,0.186901,-0.186901,0.0000,0.0000,0.0000,-0.002016,0.138058,-0.131922,0.3136,0.4008,0.0958,0.000000,0.587515,-0.570641,0.573709,-0.593651,0.579845,-0.573709
0.2698,0.016754,0.000844,0.196287,-0.196287,0.0000,0.0000,0.0000,-0.001984,0.159534,-0.150330,0.2480,0.4048,0.0424,0.000000,0.587515,-0.570641,0.573709,-0.595185,0.581379,-0.575243
0.2866,0.016746,0.000895,0.205125,-0.205125,0.0000,0.0000,0.0000,-0.001951,0.168738,-0.165670,0.1481,0.3183,-0.0062,0.000000,0.587515,-0.570641,0.572175,-0.596719,0.584447,-0.576777
0.3033,0.016761,0.000947,0.213402,-0.213402,0.0000,0.0000,0.0000,-0.001869,0.170272,-0.179476,0.0815,0.2606,-0.0549,0.000000,0.590583,-0.570641,0.572175,-0.598253,0.585981,-0.581379
0.3201,0.016745,0.000999,0.221081,-0.221081,0.0000,0.0000,0.0000,-0.001805,0.179476,-0.190214,0.0319,0.2672,-0.0503,0.000000,0.592117,-0.570641,0.572175,-0.601320,0.589049,-0.582913
0.3368,0.016756,0.001050,0.228153,-0.228153,0.0000,0.0000,0.0000,-0.001805,0.179476,-0.190214,0.0319,0.2672,-0.0503,0.000000,0.592117,-0.570641,0.572175,-0.601320,0.589049,-0.582913
0.3536,0.016747,0.001102,0.234589,-0.234589,0.0000,0.0000,0.0000,-0.001763,0.202485,-0.202485,0.0474,0.3192,0.0564,0.000000,0.593651,-0.570641,0.573709,-0.602854,0.590583,-0.582913
0.3703,0.016755,0.001153,0.240379,-0.240379,0.0000,0.0000,0.0000,-0.001658,0.219359,-0.213223,0.0075,0.4182,0.0983,0.000000,0.596719,-0.570641,0.576777,-0.605922,0.592117,-0.585981
0.3871,0.016746,0.001204,0.245500,-0.245500,0.0000,0.0000,0.0000,-0.001593,0.217825,-0.220893,-0.1272,0.4764,0.2005,0.000000,0.596719,-0.570641,0.579845,-0.607456,0.595185,-0.587515
0.4038,0.016757,0.001255,0.249945,-0.249945,0.0000,0.0000,0.0000,-0.001563,0.217825,-0.228563,-0.1140,0.4723,0.3517,0.000000,0.598253,-0.570641,0.581379,-0.607456,0.596719,-0.587515
0.4206,0.016747,0.001306,0.253695,-0.253695,0.0000,0.0000,0.0000,-0.001470,0.234699,-0.237767,-0.0667,0.5283,0.5520,0.000000,0.602854,-0.570641,0.584447,-0.608990,0.598253,-0.589049
0.4373,0.016752,0.001357,0.256744,-0.256744,0.0000,0.0000,0.0000,-0.001470,0.234699,-0.237767,-0.0667,0.5283,0.5520,0.000000,0.602854,-0.570641,0.584447,-0.608990,0.598253,-0.589049
0.4541,0.016740,0.001407,0.259080,-0.259080,0.0000,0.0000,0.0000,-0.001405,0.250039,-0.246971,-0.0434,0.6071,0.5314,0.000000,0.604388,-0.572175,0.587515,-0.610524,0.598253,-0.590583
0.4708,0.016754,0.001458,0.260701,-0.260701,0.0000,0.0000,0.0000,-0.001374,0.250039,-0.248505,-0.0064,0.6653,0.4796,0.000000,0.604388,-0.573709,0.589049,-0.612058,0.598253,-0.590583
0.4876,0.016743,0.001508,0.261600,-0.261600,0.0000,0.0000,0.0000,-0.001290,0.246971,-0.250039,0.0675,0.6922,0.5402,0.000000,0.605922,-0.576777,0.592117,-0.613592,0.599786,-0.590583
0.5043,0.016756,0.001558,0.261775,-0.261775,0.0000,0.0000,0.0000,-0.001186,0.256175,-0.254641,0.1658,0.6034,0.5904,0.000000,0.608990,-0.581379,0.595185,-0.613592,0.601320,-0.592117
0.5211,0.016745,0.001608,0.261225,-0.261225,0.0000,0.0000,0.0000,-0.001108,0.260777,-0.262311,0.2512,0.5760,0.5329,0.000000,0.610524,-0.585981,0.598253,-0.613592,0.601320,-0.593651
0.5378,0.016750,0.001658,0.259953,-0.259953,0.0000,0.0000,0.0000,-0.001108,0.260777,-0.262311,0.2512,0.5760,0.5329,0.000000,0.610524,-0.585981,0.598253,-0.613592,0.601320,-0.593651
0.5546,0.016746,0.001707,0.257961,-0.257961,0.0000,0.0000,0.0000,-0.001016,0.257709,-0.262311,0.2988,0.5085,0.5403,0.000000,0.612058,-0.590583,0.601320,-0.613592,0.602854,-0.595185
0.5713,0.016759,0.001757,0.255253,-0.255253,0.0000,0.0000,0.0000,-0.000949,0.257709,-0.262311,0.2620,0.4958,0.5401,0.000000,0.612058,-0.593651,0.604388,-0.613592,0.604388,-0.596719
0.5881,0.016743,0.001806,0.251841,-0.251841,0.0000,0.0000,0.0000,-0.000880,0.263845,-0.262311,0.3120,0.4766,0.4326,0.000000,0.612058,-0.598253,0.607456,-0.613592,0.604388,-0.598253
0.6048,0.016753,0.001855,0.247729,-0.247729,0.0000,0.0000,0.0000,-0.000812,0.262311,-0.260777,0.3143,0.3912,0.2271,0.000000,0.612058,-0.602854,0.608990,-0.613592,0.604388,-0.601320
0.6217,0.016867,0.001904,0.242897,-0.242897,0.0000,0.0000,0.0000,-0.000794,0.256175,-0.257709,0.3036,0.3488,0.1399,0.000000,0.612058,-0.604388,0.608990,-0.613592,0.604388,-0.602854
0.6385,0.016754,0.001952,0.237422,-0.237422,0.0000,0.0000,0.0000,-0.000794,0.256175,-0.257709,0.3036,0.3488,0.1399,0.000000,0.612058,-0.604388,0.608990,-0.613592,0.604388,-0.602854
0.6552,0.016742,0.002001,0.231294,-0.231294,0.0000,0.0000,0.0000,-0.000759,0.253107,-0.254641,0.3331,0.2672,-0.0141,0.000000,0.612058,-0.607456,0.608990,-0.613592,0.604388,-0.604388
0.6720,0.016756,0.002049,0.224521,-0.224521,0.0000,0.0000,0.0000,-0.000738,0.253107,-0.254641,0.3900,0.3104,0.0022,0.000000,0.613592,-0.607456,0.608990,-0.615126,0.604388,-0.604388
0.6887,0.016748,0.002097,0.217129,-0.217129,0.0000,0.0000,0.0000,-0.000655,0.248505,-0.250039,0.5324,0.2892,-0.1624,0.000000,0.616660,-0.610524,0.608990,-0.618194,0.604388,-0.605922
0.7055,0.016753,0.002144,0.209133,-0.209133,0.0000,0.0000,0.0000,-0.000616,0.242369,-0.242369,0.5496,0.3420,-0.1453,0.000000,0.618194,-0.610524,0.608990,-0.621262,0.605922,-0.605922
