t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.005000,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.000335,-1.569262,1.566194,0.0657,0.6625,0.9363,0.000000,0.622796,-0.604388,0.621262,-0.630466,0.625864,-0.605922
0.0168,0.016805,-0.004983,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.000335,-1.569262,1.566194,0.0657,0.6625,0.9363,0.000000,0.622796,-0.604388,0.621262,-0.630466,0.625864,-0.605922
0.0336,0.016747,-0.004966,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.000347,-1.569262,1.566194,0.0550,0.6112,0.9918,0.000000,0.622796,-0.604388,0.621262,-0.628932,0.625864,-0.605922
0.0503,0.016763,-0.004950,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.000358,-1.569262,1.566194,0.0071,0.6317,0.9311,0.000000,0.621262,-0.604388,0.621262,-0.628932,0.625864,-0.605922
0.0674,0.017060,-0.004933,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.000515,-1.569262,1.566194,0.0012,0.5796,0.9907,0.000000,0.618194,-0.601320,0.618194,-0.624330,0.622796,-0.602854
0.0841,0.016754,-0.004916,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.001590,-1.569262,1.566194,-0.0001,0.4871,0.8123,0.000000,0.595185,-0.579845,0.593651,-0.601320,0.599786,-0.581379
0.1009,0.016759,-0.004899,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.002951,-1.569262,1.566194,-0.0333,0.5131,0.6588,0.000000,0.561437,-0.552233,0.564505,-0.570641,0.569107,-0.550699
0.1177,0.016761,-0.004882,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.002951,-1.569262,1.566194,-0.0333,0.5131,0.6588,0.000000,0.561437,-0.552233,0.564505,-0.570641,0.569107,-0.550699
0.1345,0.016891,-0.004865,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.004261,-1.569262,1.566194,-0.0036,0.4977,0.6643,0.000000,0.532291,-0.523087,0.535359,-0.539961,0.538427,-0.521553
0.1513,0.016753,-0.004849,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005246,-1.569262,1.566194,0.0223,0.4481,0.5008,0.000000,0.507748,-0.503146,0.512350,-0.516952,0.515418,-0.498544
0.1681,0.016762,-0.004832,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005762,-1.569262,1.566194,-0.0720,0.3313,0.3599,0.000000,0.493942,-0.492408,0.500078,-0.501612,0.501612,-0.489340
0.1848,0.016758,-0.004815,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005810,-1.569262,1.566194,-0.0428,0.3079,0.2713,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.2016,0.016773,-0.004798,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005810,-1.569262,1.566194,-0.0428,0.3079,0.2713,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.2183,0.016751,-0.004782,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0459,0.3103,0.2805,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.2351,0.016759,-0.004765,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005806,-1.569262,1.566194,-0.0455,0.3100,0.2792,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.2519,0.016753,-0.004748,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005806,-1.569262,1.566194,-0.0455,0.3100,0.2792,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.2686,0.016757,-0.004731,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005793,-1.569262,1.566194,-0.0854,0.2752,0.3313,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.500078,-0.487806
0.2854,0.016757,-0.004715,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005807,-1.569262,1.566194,-0.0415,0.3137,0.2742,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.3021,0.016766,-0.004698,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.3189,0.016764,-0.004681,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.3357,0.016761,-0.004664,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.3524,0.016752,-0.004648,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.3692,0.016800,-0.004631,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.3860,0.016755,-0.004614,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.4031,0.017181,-0.004597,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.4199,0.016753,-0.004580,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.4367,0.016762,-0.004563,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.4534,0.016757,-0.004547,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.4702,0.016769,-0.004530,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.4870,0.016794,-0.004513,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
0.5038,0.016771,-0.004496,-1.567728,1.566194,0.0000,0.0000,0.0000,-0.005805,-1.569262,1.566194,-0.0460,0.3097,0.2802,0.000000,0.490874,-0.492408,0.498544,-0.498544,0.498544,-0.487806
