t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000000,-0.349066,0.349066,0.0000,0.0000,0.0000,-0.002628,-0.165670,0.158000,1.2542,0.8736,-0.1011,0.001534,0.582913,-0.558369,0.555301,-0.595185,0.558369,-0.549165
0.0201,0.020085,0.000000,-0.348715,0.348715,0.0000,0.0000,0.0000,-0.002614,-0.167204,0.162602,1.2435,0.9251,-0.0481,0.001534,0.582913,-0.558369,0.556835,-0.595185,0.558369,-0.549165
0.0402,0.020090,0.000000,-0.348365,0.348365,0.0000,0.0000,0.0000,-0.002628,-0.165670,0.168738,1.2850,0.9533,-0.1060,0.001534,0.582913,-0.558369,0.556835,-0.595185,0.556835,-0.549165
0.0603,0.020091,0.000000,-0.348014,0.348014,0.0000,0.0000,0.0000,-0.002614,-0.181010,0.182544,1.2403,0.9168,-0.0475,0.001534,0.582913,-0.558369,0.556835,-0.595185,0.558369,-0.549165
0.0804,0.020087,0.000000,-0.347663,0.347663,0.0000,0.0000,0.0000,-0.002615,-0.242369,0.242369,1.2450,0.9206,-0.0536,0.001534,0.582913,-0.558369,0.556835,-0.595185,0.558369,-0.549165
0.1005,0.020100,0.000000,-0.347313,0.347313,0.0000,0.0000,0.0000,-0.002602,-0.326738,0.323670,1.1951,0.9021,-0.1065,0.001534,0.582913,-0.558369,0.556835,-0.595185,0.558369,-0.550699
0.1205,0.020084,0.000000,-0.346962,0.346962,0.0000,0.0000,0.0000,-0.002590,-0.380427,0.374291,1.1510,0.8859,-0.1545,0.001534,0.582913,-0.558369,0.556835,-0.595185,0.558369,-0.552233
0.1406,0.020088,0.000000,-0.346611,0.346611,0.0000,0.0000,0.0000,-0.002556,-0.368155,0.368155,1.2944,0.8212,-0.0948,0.001534,0.585981,-0.559903,0.556835,-0.595185,0.558369,-0.552233
0.1607,0.020086,0.000000,-0.346261,0.346261,0.0000,0.0000,0.0000,-0.002547,-0.354350,0.358952,1.2302,0.8098,-0.1545,0.001534,0.585981,-0.559903,0.556835,-0.595185,0.558369,-0.553767
0.1808,0.020098,0.000000,-0.345910,0.345910,0.0000,0.0000,0.0000,-0.002522,-0.345146,0.352816,1.1384,0.7749,-0.2555,0.001534,0.585981,-0.559903,0.556835,-0.595185,0.558369,-0.556835
0.2009,0.020122,0.000000,-0.345559,0.345559,0.0000,0.0000,0.0000,-0.002500,-0.348214,0.348214,1.1486,0.7452,-0.2445,0.001534,0.587515,-0.559903,0.556835,-0.595185,0.558369,-0.558369
