t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000000,0.000001,-0.000001,0.0000,0.0000,0.0000,-0.002401,-0.122718,0.119651,2.1189,2.5977,0.9807,0.001534,0.596719,-0.552233,0.578311,-0.621262,0.556835,-0.530757
0.0201,0.020097,0.000063,0.016519,-0.016519,0.0000,0.0000,0.0000,-0.002401,-0.122718,0.119651,2.1189,2.5977,0.9807,0.001534,0.596719,-0.552233,0.578311,-0.621262,0.556835,-0.530757
0.0402,0.020096,0.000126,0.032970,-0.032970,0.0000,0.0000,0.0000,-0.002391,-0.122718,0.119651,2.1302,2.6478,0.9265,0.001534,0.596719,-0.552233,0.578311,-0.622796,0.556835,-0.530757
0.0603,0.020075,0.000189,0.049274,-0.049274,0.0000,0.0000,0.0000,-0.002402,-0.115049,0.111981,2.1172,2.5923,0.9857,0.001534,0.596719,-0.552233,0.578311,-0.621262,0.556835,-0.530757
0.0804,0.020102,0.000252,0.065402,-0.065402,0.0000,0.0000,0.0000,-0.002377,-0.076699,0.075165,2.0807,2.6289,0.8721,0.001534,0.596719,-0.552233,0.578311,-0.622796,0.556835,-0.532291
0.1005,0.020173,0.000316,0.081326,-0.081326,0.0000,0.0000,0.0000,-0.002366,-0.019942,0.019942,2.0349,2.6057,0.8300,0.001534,0.596719,-0.552233,0.578311,-0.622796,0.556835,-0.533825
0.1206,0.020083,0.000379,0.096854,-0.096854,0.0000,0.0000,0.0000,-0.002339,0.035282,-0.030680,1.9405,2.5694,0.7264,0.001534,0.596719,-0.552233,0.578311,-0.622796,0.556835,-0.536893
0.1407,0.020096,0.000442,0.112007,-0.112007,0.0000,0.0000,0.0000,-0.002325,0.073631,-0.067495,1.8394,2.4846,0.6828,0.001534,0.596719,-0.552233,0.578311,-0.621262,0.556835,-0.539961
0.1608,0.020117,0.000504,0.126728,-0.126728,0.0000,0.0000,0.0000,-0.002300,0.082835,-0.084369,1.7511,2.4552,0.5792,0.001534,0.596719,-0.552233,0.578311,-0.621262,0.556835,-0.543029
0.1809,0.020099,0.000567,0.140931,-0.140931,0.0000,0.0000,0.0000,-0.002252,0.076699,-0.084369,1.6618,2.3868,0.4826,0.001534,0.598253,-0.552233,0.578311,-0.621262,0.556835,-0.547631
0.2010,0.020091,0.000630,0.154566,-0.154566,0.0000,0.0000,0.0000,-0.002211,0.084369,-0.088971,1.6715,2.3269,0.4944,0.001534,0.601320,-0.552233,0.578311,-0.621262,0.556835,-0.550699
0.2211,0.020086,0.000692,0.167583,-0.167583,0.0000,0.0000,0.0000,-0.002104,0.130388,-0.121184,1.6649,2.2064,0.2269,0.001534,0.604388,-0.555301,0.578311,-0.622796,0.556835,-0.556835
0.2412,0.020102,0.000755,0.179943,-0.179943,0.0000,0.0000,0.0000,-0.002098,0.150330,-0.136524,1.6441,2.1144,0.2014,0.001534,0.604388,-0.556835,0.578311,-0.621262,0.556835,-0.558369
0.2613,0.020088,0.000817,0.191577,-0.191577,0.0000,0.0000,0.0000,-0.002031,0.170272,-0.156466,1.6677,1.9793,-0.0635,0.001534,0.604388,-0.561437,0.578311,-0.621262,0.556835,-0.561437
0.2814,0.020087,0.000879,0.202448,-0.202448,0.0000,0.0000,0.0000,-0.002038,0.170272,-0.156466,1.6651,1.9935,-0.0358,0.001534,0.604388,-0.561437,0.578311,-0.621262,0.556835,-0.561437
