t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.005000,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.002662,-1.566194,1.566194,1.0978,1.0463,0.1448,0.001534,0.582913,-0.552233,0.556835,-0.595185,0.558369,-0.549165
0.0201,0.020096,-0.004990,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.002676,-1.567728,1.566194,1.1428,1.0837,0.0863,0.001534,0.582913,-0.552233,0.556835,-0.595185,0.556835,-0.549165
0.0402,0.020096,-0.004980,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.002662,-1.566194,1.566194,1.0978,1.0463,0.1448,0.001534,0.582913,-0.552233,0.556835,-0.595185,0.558369,-0.549165
0.0603,0.020094,-0.004970,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.002736,-1.567728,1.566194,1.0035,1.0475,0.0312,0.001534,0.579845,-0.550699,0.555301,-0.593651,0.556835,-0.549165
0.0804,0.020092,-0.004960,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.003335,-1.567728,1.566194,0.9123,0.9812,0.0949,0.001534,0.566039,-0.538427,0.543029,-0.579845,0.546097,-0.536893
0.1005,0.020092,-0.004950,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.004177,-1.567728,1.566194,0.7667,0.9047,0.2449,0.001534,0.544563,-0.521553,0.527689,-0.556835,0.529223,-0.518486
0.1206,0.020091,-0.004940,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.004987,-1.567728,1.566194,0.5386,0.7395,0.2273,0.001534,0.523087,-0.504680,0.510816,-0.533825,0.512350,-0.503146
0.1407,0.020093,-0.004930,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.005502,-1.567728,1.566194,0.2975,0.5475,0.3310,0.001534,0.506214,-0.495476,0.501612,-0.515418,0.503146,-0.492408
0.1608,0.020099,-0.004920,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.005684,-1.567728,1.566194,-0.0610,0.3208,0.2683,0.001534,0.495476,-0.493942,0.500078,-0.503146,0.500078,-0.492408
0.1833,0.022544,-0.004908,-1.566194,1.566194,0.0000,0.0000,0.0000,-0.005691,-1.567728,1.566194,-0.1448,0.3783,0.2748,0.001534,0.492408,-0.493942,0.501612,-0.501612,0.500078,-0.492408
