t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000002,-0.349066,0.349066,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.0172,0.017164,-0.348495,0.348495,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.0339,0.016758,-0.346840,0.346840,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.0507,0.016750,-0.344113,0.344113,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.0674,0.016752,-0.340330,0.340330,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.0842,0.016746,-0.335515,0.335515,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.1009,0.016726,-0.329706,0.329706,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.1176,0.016748,-0.322924,0.322924,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.1344,0.016756,-0.315214,0.315214,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.1511,0.016744,-0.306634,0.306634,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.1679,0.016751,-0.297229,0.297229,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.1847,0.016758,-0.287054,0.287054,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.2017,0.017035,-0.275993,0.275993,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.2184,0.016750,-0.264479,0.264479,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.2352,0.016757,-0.252400,0.252400,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.2519,0.016741,-0.239848,0.239848,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.2687,0.016752,-0.226881,0.226881,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.2854,0.016745,-0.213594,0.213594,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.3022,0.016755,-0.200056,0.200056,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.3189,0.016748,-0.186363,0.186363,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.3357,0.016750,-0.172596,0.172596,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.3524,0.016748,-0.158842,0.158842,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.3692,0.016747,-0.145187,0.145187,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.3859,0.016750,-0.131712,0.131712,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.4027,0.016745,-0.118508,0.118508,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.4195,0.016823,-0.105594,0.105594,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.4363,0.016751,-0.093165,0.093165,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.4530,0.016748,-0.081245,0.081245,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.4698,0.016770,-0.069891,0.069891,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.4865,0.016751,-0.059202,0.059202,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.5033,0.016768,-0.049222,0.049222,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.5200,0.016742,-0.040037,0.040037,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.5368,0.016750,-0.031685,0.031685,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.5535,0.016744,-0.024225,0.024225,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1917
0.5703,0.016752,-0.017698,0.017698,-3.048020,3.041884,-0.046084,1.1414,26.7760,1.1584
0.5870,0.016745,-0.012149,0.012149,-3.048020,3.041884,-0.046082,1.1527,26.7801,1.1943
0.6038,0.016769,-0.007606,0.007606,-3.048020,3.041884,-0.046082,1.1527,26.7801,1.1943
0.6205,0.016746,-0.004108,0.004108,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.6373,0.016752,-0.001670,0.001670,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.6540,0.016745,-0.000309,0.000309,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.6708,0.016737,-0.000033,0.000033,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.6875,0.016743,-0.000842,0.000842,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.7043,0.016766,-0.002734,0.002734,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.7210,0.016748,-0.005695,0.005695,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.7378,0.016735,-0.009704,0.009704,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.7545,0.016744,-0.014740,0.014740,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.7713,0.016765,-0.020779,0.020779,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.7880,0.016744,-0.027767,0.027767,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.8048,0.016765,-0.035679,0.035679,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.8215,0.016743,-0.044445,0.044445,-3.048020,3.041884,-0.046084,1.1414,26.7760,1.1584
0.8383,0.016758,-0.054030,0.054030,-3.048020,3.041884,-0.046082,1.1527,26.7801,1.1943
0.8550,0.016754,-0.064363,0.064363,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.8718,0.016751,-0.075381,0.075381,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.8885,0.016749,-0.087014,0.087014,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.9053,0.016755,-0.099197,0.099197,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.9220,0.016743,-0.111841,0.111841,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.9388,0.016743,-0.124874,0.124874,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.9555,0.016752,-0.138223,0.138223,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.9723,0.016746,-0.151794,0.151794,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
0.9890,0.016743,-0.165503,0.165503,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
1.0058,0.016766,-0.179289,0.179289,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
1.0225,0.016759,-0.193038,0.193038,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
1.0393,0.016751,-0.206666,0.206666,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
1.0560,0.016744,-0.220087,0.220087,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
1.0728,0.016748,-0.233229,0.233229,-3.048020,3.041884,-0.046082,1.1519,26.7798,1.1916
