t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.0167,0.016743,-0.348523,0.348523,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.0335,0.016756,-0.346896,0.346896,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.0503,0.016776,-0.344191,0.344191,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.0670,0.016758,-0.340430,0.340430,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.0838,0.016746,-0.335640,0.335640,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.1005,0.016750,-0.329845,0.329845,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.1173,0.016741,-0.323087,0.323087,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.1340,0.016752,-0.315400,0.315400,-1.903670,1.799359,-0.047107,-1.7421,27.8712,-1.1045
0.1508,0.016735,-0.306844,0.306844,-1.903670,1.799359,-0.047117,-1.7657,27.8084,-1.0739
0.1675,0.016751,-0.297456,0.297456,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.1844,0.016857,-0.287237,0.287237,-1.903670,1.799359,-0.047107,-1.7421,27.8712,-1.1045
0.2011,0.016752,-0.276377,0.276377,-1.903670,1.799359,-0.047107,-1.7421,27.8712,-1.1045
0.2179,0.016744,-0.264888,0.264888,-1.903670,1.799359,-0.047117,-1.7657,27.8084,-1.0739
0.2346,0.016751,-0.252832,0.252832,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.2514,0.016811,-0.240242,0.240242,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.2682,0.016762,-0.227279,0.227279,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.2849,0.016749,-0.213997,0.213997,-1.903670,1.799359,-0.047107,-1.7421,27.8712,-1.1045
0.3017,0.016740,-0.200477,0.200477,-1.903670,1.799359,-0.047107,-1.7421,27.8712,-1.1045
0.3184,0.016746,-0.186790,0.186790,-1.903670,1.799359,-0.047117,-1.7657,27.8084,-1.0739
0.3352,0.016749,-0.173025,0.173025,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.3519,0.016750,-0.159268,0.159268,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.3687,0.016763,-0.145596,0.145596,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.3854,0.016746,-0.132118,0.132118,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.4022,0.016756,-0.118895,0.118895,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.4189,0.016743,-0.106030,0.106030,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.4357,0.016750,-0.093586,0.093586,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.4524,0.016744,-0.081650,0.081650,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.4692,0.016752,-0.070286,0.070286,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.4859,0.016774,-0.059559,0.059559,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.5027,0.016758,-0.049558,0.049558,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.5194,0.016743,-0.040344,0.040344,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.5362,0.016753,-0.031961,0.031961,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.5529,0.016746,-0.024468,0.024468,-1.903670,1.799359,-0.047107,-1.7421,27.8712,-1.1045
0.5697,0.016760,-0.017905,0.017905,-1.903670,1.799359,-0.047108,-1.7443,27.8653,-1.1017
0.5865,0.016750,-0.012321,0.012321,-1.903670,1.799359,-0.047117,-1.7655,27.8091,-1.0742
0.6032,0.016758,-0.007745,0.007745,-1.903670,1.799359,-0.047117,-1.7655,27.8091,-1.0742
0.6200,0.016742,-0.004212,0.004212,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.6367,0.016746,-0.001737,0.001737,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.6535,0.016755,-0.000338,0.000338,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.6702,0.016746,-0.000024,0.000024,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.6870,0.016770,-0.000798,0.000798,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.7037,0.016745,-0.002653,0.002653,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.7205,0.016745,-0.005578,0.005578,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.7372,0.016745,-0.009554,0.009554,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.7540,0.016748,-0.014557,0.014557,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.7707,0.016748,-0.020557,0.020557,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.7874,0.016744,-0.027514,0.027514,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.8042,0.016746,-0.035386,0.035386,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.8209,0.016745,-0.044124,0.044124,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.8377,0.016745,-0.053673,0.053673,-1.903670,1.799359,-0.047116,-1.7633,27.8149,-1.0771
0.8544,0.016746,-0.063975,0.063975,-1.903670,1.799359,-0.047107,-1.7421,27.8712,-1.1045
0.8712,0.016751,-0.074969,0.074969,-1.903670,1.799359,-0.047117,-1.7657,27.8084,-1.0739
0.8879,0.016748,-0.086581,0.086581,-1.903670,1.799359,-0.047117,-1.7657,27.8084,-1.0739
0.9047,0.016749,-0.098741,0.098741,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.9214,0.016744,-0.111369,0.111369,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.9382,0.016744,-0.124390,0.124390,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.9549,0.016745,-0.137724,0.137724,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.9717,0.016755,-0.151295,0.151295,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
0.9884,0.016745,-0.165003,0.165003,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
1.0052,0.016745,-0.178770,0.178770,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
1.0219,0.016742,-0.192508,0.192508,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
1.0386,0.016742,-0.206135,0.206135,-1.903670,1.799359,-0.047116,-1.7633,27.8150,-1.0771
1.0554,0.016742,-0.219565,0.219565,-1.903670,1.799359,-0.047107,-1.7421,27.8712,-1.1045
1.0721,0.016755,-0.232725,0.232725,-1.903670,1.799359,-0.047117,-1.7657,27.8084,-1.0739
1.0889,0.016748,-0.245517,0.245517,-1.903670,1.799359,-0.047117,-1.7657,27.8084,-1.0739
