t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.177942,0.173340,-0.001110,-0.0851,0.7657,2.2433
0.0168,0.016752,-0.348522,0.348522,-0.177942,0.173340,-0.001110,-0.0851,0.7657,2.2433
0.0335,0.016741,-0.346896,0.346896,-0.177942,0.173340,-0.001110,-0.0851,0.7657,2.2433
0.0502,0.016744,-0.344198,0.344198,-0.179476,0.174874,-0.001122,-0.0741,0.7164,2.1895
0.0670,0.016741,-0.340444,0.340444,-0.225495,0.217825,-0.001121,-0.0752,0.7215,2.1951
0.0837,0.016751,-0.335655,0.335655,-0.314466,0.309864,-0.001109,-0.0863,0.7708,2.2489
0.1005,0.016741,-0.329867,0.329867,-0.366621,0.362019,-0.001110,-0.0851,0.7657,2.2433
0.1172,0.016751,-0.323108,0.323108,-0.366621,0.362019,-0.001110,-0.0851,0.7657,2.2433
0.1340,0.016740,-0.315429,0.315429,-0.378893,0.371223,-0.001110,-0.0851,0.7657,2.2433
0.1507,0.016744,-0.306871,0.306871,-0.365087,0.360485,-0.001110,-0.0851,0.7657,2.2433
0.1674,0.016740,-0.297492,0.297492,-0.345146,0.345146,-0.001122,-0.0741,0.7164,2.1895
0.1842,0.016744,-0.287347,0.287347,-0.325204,0.329806,-0.001109,-0.0864,0.7714,2.2495
0.2009,0.016741,-0.276500,0.276500,-0.311398,0.316000,-0.001122,-0.0739,0.7158,2.1888
0.2177,0.016750,-0.265014,0.265014,-0.311398,0.316000,-0.001122,-0.0739,0.7158,2.1888
0.2344,0.016739,-0.252971,0.252971,-0.299126,0.305262,-0.001121,-0.0752,0.7216,2.1952
0.2512,0.016745,-0.240437,0.240437,-0.288388,0.294524,-0.001121,-0.0752,0.7216,2.1952
0.2679,0.016740,-0.227496,0.227496,-0.282252,0.285320,-0.001109,-0.0863,0.7708,2.2489
0.2846,0.016742,-0.214225,0.214225,-0.273049,0.273049,-0.001110,-0.0851,0.7657,2.2433
0.3014,0.016739,-0.200709,0.200709,-0.257709,0.257709,-0.001110,-0.0851,0.7657,2.2433
0.3181,0.016742,-0.187028,0.187028,-0.257709,0.257709,-0.001110,-0.0851,0.7657,2.2433
0.3349,0.016740,-0.173271,0.173271,-0.240835,0.242369,-0.001122,-0.0741,0.7164,2.1895
0.3516,0.016744,-0.159518,0.159518,-0.222427,0.225495,-0.001122,-0.1266,0.8067,2.3028
0.3684,0.016740,-0.145862,0.145862,-0.207087,0.214757,-0.001109,-0.0809,0.7620,2.2377
0.3851,0.016742,-0.132383,0.132383,-0.188680,0.196350,-0.001122,-0.0745,0.7168,2.1901
0.4018,0.016742,-0.119166,0.119166,-0.168738,0.176408,-0.001121,-0.0752,0.7215,2.1950
0.4186,0.016743,-0.106293,0.106293,-0.168738,0.176408,-0.001121,-0.0752,0.7215,2.1950
0.4353,0.016740,-0.093846,0.093846,-0.150330,0.154932,-0.001121,-0.0752,0.7215,2.1950
0.4521,0.016743,-0.081899,0.081899,-0.136524,0.138058,-0.001109,-0.0863,0.7708,2.2489
0.4688,0.016738,-0.070531,0.070531,-0.122718,0.121184,-0.001110,-0.0851,0.7657,2.2433
0.4855,0.016741,-0.059809,0.059809,-0.107379,0.105845,-0.001122,-0.0741,0.7164,2.1895
0.5023,0.016741,-0.049801,0.049801,-0.088971,0.088971,-0.001121,-0.0752,0.7215,2.1951
0.5190,0.016746,-0.040565,0.040565,-0.088971,0.088971,-0.001121,-0.0752,0.7215,2.1951
0.5358,0.016740,-0.032166,0.032166,-0.072097,0.073631,-0.001121,-0.0752,0.7215,2.1951
0.5525,0.016742,-0.024651,0.024651,-0.059825,0.059825,-0.001109,-0.0863,0.7708,2.2489
0.5692,0.016738,-0.018071,0.018071,-0.046019,0.047553,-0.001110,-0.0851,0.7657,2.2433
0.5860,0.016741,-0.012462,0.012462,-0.035282,0.035282,-0.001110,-0.0851,0.7657,2.2433
0.6027,0.016741,-0.007862,0.007862,-0.024544,0.026078,-0.001110,-0.0851,0.7657,2.2433
0.6195,0.016741,-0.004299,0.004299,-0.024544,0.026078,-0.001110,-0.0851,0.7657,2.2433
0.6362,0.016741,-0.001794,0.001794,-0.012272,0.016874,-0.001122,-0.0741,0.7164,2.1895
0.6530,0.016746,-0.000364,0.000364,-0.012272,0.007670,-0.001121,-0.0752,0.7215,2.1951
0.6697,0.016739,-0.000018,0.000018,-0.012272,0.006136,-0.001121,-0.0752,0.7215,2.1951
0.6864,0.016741,-0.000757,0.000757,-0.009204,0.006136,-0.001134,-0.1152,0.7563,2.2479
0.7032,0.016744,-0.002578,0.002578,-0.001534,0.003068,-0.001108,-0.0821,0.7672,2.2434
0.7199,0.016741,-0.005467,0.005467,-0.001534,0.003068,-0.001108,-0.0821,0.7672,2.2434
0.7367,0.016739,-0.009408,0.009408,0.003068,0.000000,-0.001110,-0.0856,0.7661,2.2439
0.7534,0.016744,-0.014378,0.014378,0.000000,-0.001534,-0.001122,-0.0740,0.7164,2.1894
0.7701,0.016739,-0.020343,0.020343,-0.004602,0.001534,-0.001121,-0.0752,0.7215,2.1951
0.7869,0.016744,-0.027268,0.027268,-0.006136,0.007670,-0.001109,-0.0863,0.7708,2.2489
0.8036,0.016739,-0.035107,0.035107,-0.010738,0.016874,-0.001110,-0.0851,0.7657,2.2433
0.8204,0.016741,-0.043815,0.043815,-0.010738,0.016874,-0.001110,-0.0851,0.7657,2.2433
0.8371,0.016740,-0.053335,0.053335,-0.019942,0.019942,-0.001122,-0.0741,0.7164,2.1895
0.8539,0.016742,-0.063610,0.063610,-0.032214,0.021476,-0.001109,-0.0864,0.7714,2.2495
0.8706,0.016741,-0.074574,0.074574,-0.035282,0.027612,-0.001110,-0.0851,0.7656,2.2432
0.8873,0.016723,-0.086148,0.086148,-0.038350,0.042951,-0.001110,-0.0851,0.7656,2.2432
0.9041,0.016741,-0.098284,0.098284,-0.052155,0.061359,-0.001110,-0.0851,0.7656,2.2432
0.9208,0.016739,-0.110892,0.110892,-0.052155,0.061359,-0.001110,-0.0851,0.7656,2.2432
0.9375,0.016741,-0.123897,0.123897,-0.070563,0.078233,-0.001110,-0.0851,0.7656,2.2432
