t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.170272,0.174874,-0.001860,2.4135,1.4086,-0.1209
0.0168,0.016772,-0.348521,0.348521,-0.170272,0.174874,-0.001860,2.4135,1.4086,-0.1209
0.0335,0.016747,-0.346893,0.346893,-0.173340,0.174874,-0.001870,2.3634,1.4229,-0.1763
0.0503,0.016753,-0.344191,0.344191,-0.185612,0.174874,-0.001859,2.4181,1.4069,-0.1157
0.0670,0.016743,-0.340435,0.340435,-0.193282,0.190214,-0.001860,2.4124,1.4086,-0.1220
0.0838,0.016766,-0.335639,0.335639,-0.328272,0.335942,-0.001870,2.4010,1.3586,-0.0678
0.1008,0.016988,-0.329755,0.329755,-0.435651,0.438719,-0.001872,2.3752,1.4496,-0.0731
0.1175,0.016779,-0.322966,0.322966,-0.381961,0.375825,-0.001872,2.3752,1.4496,-0.0731
0.1343,0.016743,-0.315268,0.315268,-0.381961,0.375825,-0.001848,2.3787,1.5419,-0.0716
0.1510,0.016752,-0.306690,0.306690,-0.283786,0.279185,-0.001834,2.3270,1.4777,-0.1285
0.1678,0.016744,-0.297292,0.297292,-0.297592,0.299126,-0.001836,2.3324,1.4844,-0.1225
0.1847,0.016902,-0.287032,0.287032,-0.348214,0.345146,-0.001825,2.3227,1.5715,-0.0660
0.2014,0.016740,-0.276167,0.276167,-0.285320,0.277651,-0.001790,2.3336,1.4082,-0.1275
0.2182,0.016770,-0.264648,0.264648,-0.266913,0.271515,-0.001790,2.2717,1.4917,-0.1215
0.2349,0.016737,-0.252592,0.252592,-0.266913,0.271515,-0.001790,2.2717,1.4917,-0.1215
0.2517,0.016755,-0.240036,0.240036,-0.291456,0.294524,-0.001804,2.2894,1.4311,-0.1766
0.2684,0.016745,-0.227079,0.227079,-0.285320,0.283786,-0.001801,2.3172,1.5225,-0.1683
0.2853,0.016863,-0.213702,0.213702,-0.248505,0.245437,-0.001789,2.2734,1.4798,-0.1172
0.3020,0.016745,-0.200173,0.200173,-0.216291,0.219359,-0.001790,2.2780,1.4842,-0.1225
0.3188,0.016764,-0.186469,0.186469,-0.214757,0.214757,-0.001804,2.2888,1.4318,-0.1765
0.3356,0.016744,-0.172707,0.172707,-0.214757,0.214757,-0.001804,2.2888,1.4318,-0.1765
0.3523,0.016752,-0.158950,0.158950,-0.211689,0.213223,-0.001788,2.2764,1.4892,-0.1163
0.3690,0.016742,-0.145298,0.145298,-0.188680,0.191748,-0.001790,2.2777,1.4832,-0.1226
0.3858,0.016762,-0.131812,0.131812,-0.167204,0.165670,-0.001790,2.2777,1.4832,-0.1226
0.4026,0.016744,-0.118607,0.118607,-0.148796,0.144194,-0.001804,2.2888,1.4319,-0.1765
0.4193,0.016776,-0.105725,0.105725,-0.148796,0.144194,-0.001804,2.2888,1.4319,-0.1765
0.4361,0.016744,-0.093296,0.093296,-0.131922,0.131922,-0.001788,2.2764,1.4892,-0.1163
0.4528,0.016708,-0.081398,0.081398,-0.127320,0.130388,-0.001790,2.2777,1.4832,-0.1226
0.4695,0.016749,-0.070050,0.070050,-0.118117,0.113515,-0.001790,2.2777,1.4832,-0.1226
0.4863,0.016765,-0.059342,0.059342,-0.090505,0.087437,-0.001790,2.2777,1.4832,-0.1226
0.5030,0.016749,-0.049362,0.049362,-0.065961,0.065961,-0.001790,2.2777,1.4832,-0.1226
0.5198,0.016791,-0.040140,0.040140,-0.065961,0.065961,-0.001790,2.2777,1.4832,-0.1226
0.5366,0.016754,-0.031776,0.031776,-0.056757,0.056757,-0.001804,2.2888,1.4319,-0.1765
0.5534,0.016761,-0.024298,0.024298,-0.059825,0.058291,-0.001788,2.2764,1.4892,-0.1163
0.5701,0.016743,-0.017764,0.017764,-0.046019,0.047553,-0.001804,2.2889,1.4313,-0.1771
0.5869,0.016761,-0.012200,0.012200,-0.013806,0.019942,-0.001788,2.2764,1.4893,-0.1163
0.6038,0.016912,-0.007611,0.007611,-0.007670,0.007670,-0.001790,2.2777,1.4832,-0.1226
0.6206,0.016788,-0.004104,0.004104,-0.007670,0.007670,-0.001790,2.2777,1.4832,-0.1226
0.6373,0.016744,-0.001669,0.001669,-0.027612,0.023010,-0.001790,2.2777,1.4832,-0.1226
0.6541,0.016761,-0.000308,0.000308,-0.019942,0.016874,-0.001790,2.2777,1.4832,-0.1226
0.6708,0.016746,-0.000033,0.000033,0.012272,-0.007670,-0.001804,2.2888,1.4319,-0.1765
0.6876,0.016751,-0.000845,0.000845,0.007670,-0.006136,-0.001802,2.2876,1.4373,-0.1709
0.7043,0.016750,-0.002738,0.002738,-0.015340,0.010738,-0.001788,2.2765,1.4887,-0.1169
0.7211,0.016769,-0.005705,0.005705,-0.015340,0.010738,-0.001788,2.2765,1.4887,-0.1169
0.7378,0.016749,-0.009721,0.009721,-0.010738,0.007670,-0.001790,2.2776,1.4833,-0.1226
0.7546,0.016748,-0.014762,0.014762,0.012272,-0.007670,-0.001790,2.2776,1.4833,-0.1226
0.7713,0.016747,-0.020797,0.020797,0.003068,-0.004602,-0.001790,2.2776,1.4833,-0.1226
0.7881,0.016756,-0.027794,0.027794,-0.026078,0.018408,-0.001804,2.2888,1.4319,-0.1765
0.8048,0.016747,-0.035700,0.035700,-0.024544,0.024544,-0.001788,2.2764,1.4892,-0.1163
