t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
0.0000,0.000002,-0.349066,0.349066,-0.176408,0.173340
0.0168,0.016765,-0.348521,0.348521,-0.176408,0.173340
0.0335,0.016772,-0.346891,0.346891,-0.176408,0.173340
0.0508,0.017250,-0.344091,0.344091,-0.190214,0.188680
0.0681,0.017350,-0.340145,0.340145,-0.306796,0.306796
0.0849,0.016782,-0.335276,0.335276,-0.306796,0.306796
0.1017,0.016760,-0.329410,0.329410,-0.343612,0.337476
0.1184,0.016754,-0.322582,0.322582,-0.323670,0.329806
0.1352,0.016753,-0.314831,0.314831,-0.345146,0.345146
0.1519,0.016754,-0.306206,0.306206,-0.337476,0.335942
0.1687,0.016782,-0.296744,0.296744,-0.337476,0.335942
0.1855,0.016758,-0.286533,0.286533,-0.322136,0.319068
0.2022,0.016752,-0.275629,0.275629,-0.322136,0.320602
0.2190,0.016752,-0.264094,0.264094,-0.299126,0.299126
0.2357,0.016751,-0.252003,0.252003,-0.308330,0.297592
0.2525,0.016754,-0.239426,0.239426,-0.289922,0.288388
0.2693,0.016769,-0.226434,0.226434,-0.289922,0.288388
0.2860,0.016758,-0.213127,0.213127,-0.266913,0.268447
0.3029,0.016923,-0.199444,0.199444,-0.257709,0.256175
0.3197,0.016766,-0.185732,0.185732,-0.234699,0.240835
0.3365,0.016756,-0.171959,0.171959,-0.228563,0.227029
0.3533,0.016851,-0.158124,0.158124,-0.208621,0.207087
0.3701,0.016776,-0.144453,0.144453,-0.208621,0.207087
0.3868,0.016756,-0.130985,0.130985,-0.190214,0.184078
0.4036,0.016753,-0.117792,0.117792,-0.184078,0.181010
0.4204,0.016774,-0.104936,0.104936,-0.168738,0.168738
0.4371,0.016754,-0.092529,0.092529,-0.144194,0.141126
0.4539,0.016775,-0.080619,0.080619,-0.127320,0.131922
0.4708,0.016888,-0.069221,0.069221,-0.127320,0.131922
0.4875,0.016756,-0.058570,0.058570,-0.107379,0.115049
0.5043,0.016752,-0.048645,0.048645,-0.096641,0.096641
0.5211,0.016837,-0.039459,0.039459,-0.085903,0.085903
0.5379,0.016751,-0.031164,0.031164,-0.065961,0.069029
0.5548,0.016908,-0.023697,0.023697,-0.056757,0.055223
0.5716,0.016771,-0.017235,0.017235,-0.056757,0.055223
0.5883,0.016754,-0.011761,0.011761,-0.046019,0.041417
0.6051,0.016753,-0.007301,0.007301,-0.032214,0.027612
0.6218,0.016756,-0.003882,0.003882,-0.027612,0.026078
0.6386,0.016756,-0.001526,0.001526,-0.016874,0.016874
0.6554,0.016811,-0.000246,0.000246,-0.006136,0.001534
0.6722,0.016761,-0.000058,0.000058,-0.006136,0.001534
0.6889,0.016757,-0.000958,0.000958,-0.009204,0.003068
0.7057,0.016759,-0.002940,0.002940,-0.004602,0.004602
0.7226,0.016921,-0.006027,0.006027,0.000000,-0.003068
