t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
0.0000,0.000001,-0.349065,0.349065,-0.179476,0.176408
0.0168,0.016749,-0.340296,0.340296,-0.179476,0.176408
0.0335,0.016752,-0.331524,0.331524,-0.179476,0.176408
0.0502,0.016742,-0.322758,0.322758,-0.181010,0.177942
0.0670,0.016768,-0.313978,0.313978,-0.223961,0.219359
0.0838,0.016748,-0.305209,0.305209,-0.296058,0.289922
0.1005,0.016776,-0.296426,0.296426,-0.296058,0.289922
0.1173,0.016742,-0.287659,0.287659,-0.351282,0.345146
0.1340,0.016756,-0.278886,0.278886,-0.355884,0.349748
0.1508,0.016742,-0.270120,0.270120,-0.339010,0.334408
0.1675,0.016758,-0.261346,0.261346,-0.312932,0.311398
0.1843,0.016744,-0.252578,0.252578,-0.286854,0.289922
0.2010,0.016766,-0.243800,0.243800,-0.286854,0.289922
0.2179,0.016881,-0.234961,0.234961,-0.268447,0.274583
0.2347,0.016752,-0.226190,0.226190,-0.257709,0.262311
0.2514,0.016750,-0.217419,0.217419,-0.253107,0.251573
0.2682,0.016766,-0.208641,0.208641,-0.245437,0.243903
0.2849,0.016744,-0.199874,0.199874,-0.236233,0.236233
0.3017,0.016767,-0.191095,0.191095,-0.236233,0.236233
0.3185,0.016753,-0.182323,0.182323,-0.223961,0.225495
0.3352,0.016724,-0.173566,0.173566,-0.211689,0.217825
0.3519,0.016742,-0.164800,0.164800,-0.200951,0.208621
0.3687,0.016760,-0.156024,0.156024,-0.191748,0.196350
0.3855,0.016838,-0.147208,0.147208,-0.177942,0.182544
0.4023,0.016768,-0.138428,0.138428,-0.177942,0.182544
0.4190,0.016748,-0.129659,0.129659,-0.167204,0.168738
0.4358,0.016751,-0.120888,0.120888,-0.158000,0.159534
0.4525,0.016753,-0.112117,0.112117,-0.148796,0.148796
0.4693,0.016753,-0.103345,0.103345,-0.139592,0.139592
0.4861,0.016790,-0.094553,0.094553,-0.128854,0.127320
0.5029,0.016773,-0.085771,0.085771,-0.128854,0.127320
0.5196,0.016752,-0.077000,0.077000,-0.115049,0.115049
0.5364,0.016748,-0.068231,0.068231,-0.104311,0.105845
0.5531,0.016749,-0.059461,0.059461,-0.093573,0.095107
0.5699,0.016753,-0.050689,0.050689,-0.084369,0.084369
0.5866,0.016757,-0.041915,0.041915,-0.072097,0.072097
0.6034,0.016763,-0.033139,0.033139,-0.072097,0.072097
0.6201,0.016759,-0.024364,0.024364,-0.061359,0.059825
0.6369,0.016771,-0.015582,0.015582,-0.049087,0.050621
0.6537,0.016770,-0.006802,0.006802,-0.038350,0.041417
