t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.174874,0.173340,-0.001949,3.2761,1.3370,-0.4673
0.0201,0.020088,-0.338547,0.338547,-0.174874,0.173340,-0.001949,3.2761,1.3370,-0.4673
0.0402,0.020084,-0.328032,0.328032,-0.176408,0.174874,-0.001949,3.2761,1.3370,-0.4673
0.0603,0.020087,-0.317514,0.317514,-0.283786,0.289922,-0.001949,3.2761,1.3370,-0.4673
0.0803,0.020078,-0.307001,0.307001,-0.329806,0.328272,-0.001935,3.2273,1.3180,-0.5205
0.1004,0.020084,-0.296485,0.296485,-0.312932,0.312932,-0.001912,3.2336,1.4219,-0.5134
0.1205,0.020082,-0.285970,0.285970,-0.323670,0.323670,-0.001926,3.2783,1.2587,-0.4648
0.1406,0.020079,-0.275457,0.275457,-0.322136,0.323670,-0.001911,3.1371,1.4092,-0.5224
0.1607,0.020086,-0.264940,0.264940,-0.297592,0.297592,-0.001912,3.1899,1.3297,-0.4083
0.1807,0.020078,-0.254427,0.254427,-0.299126,0.294524,-0.001912,3.1844,1.3380,-0.4202
0.2008,0.020081,-0.243913,0.243913,-0.277651,0.274583,-0.001912,3.1851,1.3368,-0.4186
0.2209,0.020085,-0.233396,0.233396,-0.265379,0.268447,-0.001912,3.1851,1.3368,-0.4186
0.2410,0.020083,-0.222881,0.222881,-0.263845,0.263845,-0.001912,3.1851,1.3368,-0.4186
0.2611,0.020088,-0.212363,0.212363,-0.243903,0.240835,-0.001938,3.2753,1.3892,-0.4169
0.2812,0.020078,-0.201850,0.201850,-0.243903,0.243903,-0.001919,3.1256,1.3461,-0.4741
0.3012,0.020078,-0.191337,0.191337,-0.231631,0.233165,-0.001911,3.1911,1.3363,-0.4134
0.3214,0.020140,-0.180792,0.180792,-0.216291,0.214757,-0.001912,3.1843,1.3373,-0.4197
0.3415,0.020080,-0.170278,0.170278,-0.205553,0.208621,-0.001912,3.1843,1.3373,-0.4197
0.3615,0.020089,-0.159760,0.159760,-0.190214,0.193282,-0.001912,3.1843,1.3373,-0.4197
0.3816,0.020089,-0.149241,0.149241,-0.187146,0.185612,-0.001935,3.1762,1.3847,-0.5254
0.4017,0.020087,-0.138723,0.138723,-0.179476,0.177942,-0.001909,3.1858,1.3322,-0.4080
0.4218,0.020083,-0.128208,0.128208,-0.167204,0.159534,-0.001922,3.1349,1.3520,-0.4750
0.4419,0.020077,-0.117695,0.117695,-0.158000,0.158000,-0.001910,3.1901,1.3356,-0.4133
0.4620,0.020085,-0.107179,0.107179,-0.142660,0.145728,-0.001912,3.1844,1.3374,-0.4197
0.4821,0.020081,-0.096664,0.096664,-0.134990,0.133456,-0.001912,3.1844,1.3374,-0.4197
0.5021,0.020080,-0.086150,0.086150,-0.125786,0.122718,-0.001912,3.1844,1.3374,-0.4197
0.5222,0.020076,-0.075638,0.075638,-0.113515,0.107379,-0.001922,3.1351,1.3515,-0.4738
0.5423,0.020077,-0.065126,0.065126,-0.107379,0.102777,-0.001911,3.1901,1.3357,-0.4134
0.5624,0.020082,-0.054611,0.054611,-0.092039,0.090505,-0.001912,3.1844,1.3374,-0.4197
0.5824,0.020081,-0.044096,0.044096,-0.082835,0.076699,-0.001912,3.1844,1.3374,-0.4197
0.6025,0.020074,-0.033585,0.033585,-0.072097,0.073631,-0.001912,3.1844,1.3374,-0.4197
0.6226,0.020076,-0.023073,0.023073,-0.052155,0.061359,-0.001912,3.1844,1.3374,-0.4197
0.6427,0.020073,-0.012563,0.012563,-0.046019,0.049087,-0.001912,3.1844,1.3374,-0.4197
0.6628,0.020081,-0.002049,0.002049,-0.038350,0.038350,-0.001912,3.1844,1.3374,-0.4197
0.6828,0.020083,-0.008467,0.008467,-0.021476,0.024544,-0.001912,3.1844,1.3374,-0.4197
