t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.181010,0.176408,-0.002265,2.5456,2.3911,0.5109
0.0201,0.020086,-0.348285,0.348285,-0.179476,0.176408,-0.002276,2.5325,2.3359,0.5699
0.0402,0.020079,-0.345949,0.345949,-0.179476,0.176408,-0.002265,2.5458,2.3917,0.5982
0.0602,0.020079,-0.342079,0.342079,-0.184078,0.184078,-0.002262,2.5720,2.2995,0.6045
0.0803,0.020086,-0.336709,0.336709,-0.237767,0.239301,-0.002262,2.5693,2.3091,0.5160
0.1004,0.020084,-0.329888,0.329888,-0.322136,0.317534,-0.002262,2.5693,2.3091,0.6039
0.1205,0.020075,-0.321680,0.321680,-0.374291,0.369689,-0.002262,2.5693,2.3091,0.5160
0.1406,0.020078,-0.312154,0.312154,-0.377359,0.369689,-0.002252,2.5815,2.3582,0.4626
0.1606,0.020079,-0.301397,0.301397,-0.358952,0.354350,-0.002253,2.6179,2.2889,0.5766
0.1807,0.020088,-0.289499,0.289499,-0.339010,0.335942,-0.002263,2.5645,2.3102,0.5097
0.2008,0.020083,-0.276576,0.276576,-0.320602,0.323670,-0.002238,2.6592,2.2577,0.5183
0.2209,0.020075,-0.262745,0.262745,-0.303728,0.308330,-0.002241,2.6493,2.2632,0.5174
0.2410,0.020085,-0.248117,0.248117,-0.289922,0.296058,-0.002227,2.6007,2.2433,0.4635
0.2611,0.020074,-0.232839,0.232839,-0.280718,0.282252,-0.002215,2.5561,2.2261,0.4152
0.2811,0.020080,-0.217036,0.217036,-0.271515,0.273049,-0.002206,2.5728,2.2780,0.3668
0.3012,0.020085,-0.200847,0.200847,-0.259243,0.259243,-0.002203,2.5095,2.2034,0.3713
0.3213,0.020076,-0.184431,0.184431,-0.243903,0.245437,-0.002204,2.5161,2.2111,0.3708
0.3414,0.020110,-0.167899,0.167899,-0.228563,0.230097,-0.002204,2.5161,2.2111,0.3708
0.3615,0.020081,-0.151449,0.151449,-0.208621,0.214757,-0.002193,2.5274,2.2604,0.3174
0.3816,0.020084,-0.135204,0.135204,-0.191748,0.196350,-0.002181,2.4767,2.2361,0.2690
0.4017,0.020087,-0.119308,0.119308,-0.174874,0.177942,-0.002169,2.4326,2.2195,0.2200
0.4217,0.020082,-0.103910,0.103910,-0.156466,0.159534,-0.002170,2.4372,2.2213,0.2251
0.4419,0.020194,-0.089065,0.089065,-0.139592,0.141126,-0.002180,2.4247,2.1711,0.2781
0.4620,0.020084,-0.075066,0.075066,-0.139592,0.141126,-0.002180,2.4247,2.1711,0.2781
0.4821,0.020090,-0.061954,0.061954,-0.107379,0.107379,-0.002179,2.4260,2.1763,0.2725
0.5022,0.020083,-0.049855,0.049855,-0.101243,0.096641,-0.002179,2.4260,2.1763,0.2725
0.5223,0.020076,-0.038875,0.038875,-0.090505,0.082835,-0.002156,2.3970,2.1927,0.2712
0.5424,0.020088,-0.029103,0.029103,-0.075165,0.067495,-0.002158,2.4000,2.1910,0.2713
0.5624,0.020080,-0.020636,0.020636,-0.058291,0.052155,-0.002181,2.4285,2.1742,0.3611
