t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.159534,0.162602,-0.002747,0.6626,0.2256,-0.3986
0.0167,0.016749,-0.349013,0.349013,-0.165670,0.170272,-0.002750,0.6573,0.2234,-0.3869
0.0335,0.016775,-0.348655,0.348655,-0.177942,0.177942,-0.002762,0.6191,0.2593,-0.3348
0.0503,0.016746,-0.347733,0.347733,-0.228563,0.222427,-0.002747,0.5735,0.2380,-0.3933
0.0670,0.016763,-0.346031,0.346031,-0.228563,0.222427,-0.002747,0.5735,0.2380,-0.3933
0.0838,0.016750,-0.343378,0.343378,-0.308330,0.297592,-0.002749,0.5783,0.2402,-0.3872
0.1005,0.016754,-0.339639,0.339639,-0.368155,0.360485,-0.002725,0.6782,0.2086,-0.2810
0.1173,0.016745,-0.334723,0.334723,-0.385029,0.377359,-0.002677,0.6576,0.1253,-0.3984
0.1340,0.016749,-0.328566,0.328566,-0.374291,0.371223,-0.002681,0.5715,0.1521,-0.3859
0.1509,0.016893,-0.321073,0.321073,-0.355884,0.357418,-0.002667,0.5311,0.1317,-0.4405
0.1677,0.016759,-0.312368,0.312368,-0.355884,0.357418,-0.002667,0.5311,0.1317,-0.4405
0.1844,0.016744,-0.302437,0.302437,-0.340544,0.346680,-0.002656,0.4859,0.1163,-0.4880
0.2012,0.016753,-0.291320,0.291320,-0.328272,0.334408,-0.002631,0.4801,0.0649,-0.5897
0.2180,0.016803,-0.279062,0.279062,-0.320602,0.325204,-0.002622,0.4427,0.0725,-0.5256
0.2348,0.016820,-0.265778,0.265778,-0.320602,0.325204,-0.002622,0.4427,0.0725,-0.5256
0.2518,0.016957,-0.251477,0.251477,-0.320602,0.325204,-0.002622,0.4427,0.0725,-0.5256
0.2685,0.016745,-0.236591,0.236591,-0.302194,0.303728,-0.002598,0.5355,0.0203,-0.5321
0.2852,0.016743,-0.221090,0.221090,-0.292990,0.294524,-0.002589,0.4877,0.0280,-0.4779
0.3020,0.016755,-0.205111,0.205111,-0.289922,0.289922,-0.002577,0.5316,-0.0083,-0.5369
0.3187,0.016745,-0.188834,0.188834,-0.289922,0.289922,-0.002577,0.5316,-0.0083,-0.5369
0.3355,0.016709,-0.172449,0.172449,-0.285320,0.283786,-0.002565,0.4777,-0.0220,-0.5841
0.3522,0.016746,-0.156047,0.156047,-0.268447,0.268447,-0.002591,0.3945,0.0308,-0.5793
0.3690,0.016753,-0.139826,0.139826,-0.240835,0.243903,-0.002588,0.4032,0.0253,-0.5798
0.3858,0.016880,-0.123835,0.123835,-0.179476,0.187146,-0.002564,0.4911,-0.0255,-0.5796
