t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000002,-0.349066,0.349066,-0.174874,0.170272,-0.002738,0.7147,0.2330,-0.2485
0.0167,0.016748,-0.348975,0.348975,-0.174874,0.170272,-0.002739,0.7135,0.2271,-0.2423
0.0335,0.016754,-0.348374,0.348374,-0.174874,0.170272,-0.002714,0.7142,0.1944,-0.2427
0.0502,0.016741,-0.346839,0.346839,-0.179476,0.179476,-0.002717,0.7142,0.1978,-0.2426
0.0670,0.016755,-0.344032,0.344032,-0.239301,0.242369,-0.002715,0.7424,0.1111,-0.2426
0.0839,0.016886,-0.339660,0.339660,-0.317534,0.323670,-0.002717,0.7112,0.2065,-0.2426
0.1006,0.016764,-0.333612,0.333612,-0.317534,0.323670,-0.002717,0.7112,0.2065,-0.2426
0.1174,0.016748,-0.325764,0.325764,-0.374291,0.372757,-0.002703,0.6649,0.1789,-0.2958
0.1341,0.016749,-0.316074,0.316074,-0.383495,0.375825,-0.002691,0.6202,0.1641,-0.3434
0.1509,0.016749,-0.304560,0.304560,-0.366621,0.363553,-0.002680,0.6637,0.1300,-0.3918
0.1676,0.016754,-0.291290,0.291290,-0.345146,0.346680,-0.002694,0.6204,0.1692,-0.3334
0.1846,0.016917,-0.276237,0.276237,-0.322136,0.328272,-0.002654,0.5648,0.0943,-0.4993
0.2013,0.016750,-0.259857,0.259857,-0.322136,0.328272,-0.002654,0.5648,0.0943,-0.4993
0.2181,0.016744,-0.242211,0.242211,-0.306796,0.309864,-0.002645,0.5212,0.0847,-0.5352
0.2348,0.016751,-0.223512,0.223512,-0.286854,0.294524,-0.002596,0.5273,0.0191,-0.5311
0.2516,0.016741,-0.204027,0.204027,-0.269981,0.276117,-0.002614,0.4878,0.0614,-0.4782
0.2684,0.016880,-0.183845,0.183845,-0.269981,0.276117,-0.002614,0.4878,0.0614,-0.4782
0.2852,0.016743,-0.163573,0.163573,-0.269981,0.276117,-0.002614,0.4878,0.0614,-0.4782
0.3019,0.016754,-0.143319,0.143319,-0.230097,0.234699,-0.002600,0.5420,0.0412,-0.4302
0.3187,0.016744,-0.123390,0.123390,-0.217825,0.222427,-0.002577,0.6252,-0.0080,-0.4350
0.3354,0.016755,-0.104038,0.104038,-0.219359,0.219359,-0.002580,0.6165,-0.0029,-0.4345
0.3522,0.016741,-0.085552,0.085552,-0.200951,0.199418,-0.002592,0.5786,0.0322,-0.3812
0.3689,0.016759,-0.068144,0.068144,-0.161068,0.164136,-0.002578,0.6214,-0.0070,-0.4401
0.3857,0.016740,-0.052070,0.052070,-0.161068,0.164136,-0.002578,0.6214,-0.0070,-0.4401
