t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.177942,0.174874,-0.002751,0.6877,0.2581,-0.1947
0.0167,0.016745,-0.338106,0.338106,-0.177942,0.174874,-0.002763,0.6386,0.2960,-0.1414
0.0336,0.016837,-0.327086,0.327086,-0.176408,0.174874,-0.002749,0.5942,0.2742,-0.2001
0.0503,0.016745,-0.316127,0.316127,-0.176408,0.174874,-0.002749,0.5942,0.2742,-0.2001
0.0671,0.016752,-0.305162,0.305162,-0.214757,0.213223,-0.002750,0.6382,0.2102,-0.0870
0.0838,0.016752,-0.294198,0.294198,-0.286854,0.286854,-0.002726,0.6832,0.2319,-0.2055
0.1006,0.016748,-0.283236,0.283236,-0.352816,0.346680,-0.002715,0.6290,0.2119,-0.2463
0.1173,0.016744,-0.272278,0.272278,-0.358952,0.352816,-0.002703,0.5851,0.1963,-0.2953
0.1348,0.017475,-0.260840,0.260840,-0.337476,0.332874,-0.002691,0.5402,0.1803,-0.3434
0.1515,0.016741,-0.249883,0.249883,-0.337476,0.332874,-0.002691,0.5402,0.1803,-0.3434
0.1683,0.016759,-0.238914,0.238914,-0.306796,0.306796,-0.002679,0.4955,0.1644,-0.3916
0.1850,0.016743,-0.227956,0.227956,-0.277651,0.283786,-0.002668,0.5390,0.1304,-0.4399
0.2018,0.016746,-0.216996,0.216996,-0.254641,0.265379,-0.002643,0.5239,0.0809,-0.5414
0.2185,0.016745,-0.206036,0.206036,-0.240835,0.248505,-0.002633,0.4761,0.0686,-0.5841
0.2353,0.016756,-0.195069,0.195069,-0.230097,0.234699,-0.002622,0.5312,0.0540,-0.5262
0.2520,0.016744,-0.184111,0.184111,-0.230097,0.234699,-0.002622,0.5312,0.0540,-0.5262
0.2688,0.016755,-0.173145,0.173145,-0.217825,0.222427,-0.002636,0.4867,0.0911,-0.4789
0.2855,0.016740,-0.162189,0.162189,-0.207087,0.213223,-0.002610,0.5802,0.0359,-0.4837
0.3023,0.016741,-0.151232,0.151232,-0.197884,0.202485,-0.002625,0.5316,0.0772,-0.4298
0.3190,0.016744,-0.140274,0.140274,-0.185612,0.190214,-0.002599,0.6256,0.0216,-0.4353
0.3359,0.016907,-0.129208,0.129208,-0.170272,0.176408,-0.002602,0.6158,0.0274,-0.4347
0.3527,0.016749,-0.118246,0.118246,-0.170272,0.176408,-0.002602,0.6158,0.0274,-0.4347
0.3694,0.016757,-0.107278,0.107278,-0.154932,0.159534,-0.002602,0.6158,0.0274,-0.4347
0.3862,0.016728,-0.096329,0.096329,-0.141126,0.145728,-0.002602,0.6158,0.0274,-0.4347
0.4032,0.017012,-0.085195,0.085195,-0.130388,0.133456,-0.002603,0.6280,0.0466,-0.3278
0.4199,0.016749,-0.074233,0.074233,-0.118117,0.119651,-0.002590,0.6656,0.0090,-0.3924
0.4367,0.016762,-0.063263,0.063263,-0.102777,0.104311,-0.002591,0.6616,0.0130,-0.3857
0.4534,0.016745,-0.052303,0.052303,-0.102777,0.104311,-0.002591,0.6616,0.0130,-0.3857
0.4703,0.016858,-0.041270,0.041270,-0.087437,0.088971,-0.002604,0.6232,0.0481,-0.3330
0.4870,0.016749,-0.030308,0.030308,-0.072097,0.075165,-0.002590,0.6661,0.0089,-0.3919
0.5038,0.016749,-0.019346,0.019346,-0.061359,0.062893,-0.002591,0.6616,0.0130,-0.3857
0.5205,0.016748,-0.008384,0.008384,-0.047553,0.050621,-0.002604,0.6232,0.0481,-0.3329
0.5373,0.016768,0.000000,0.000000,-0.047553,0.050621,-0.002604,0.6232,0.0481,-0.3329
0.5540,0.016742,0.000000,0.000000,-0.032214,0.035282,-0.002590,0.6661,0.0089,-0.3919
0.5708,0.016761,0.000000,0.000000,-0.016874,0.021476,-0.002604,0.6227,0.0486,-0.3323
0.5875,0.016744,0.000000,0.000000,-0.003068,0.009204,-0.002590,0.6661,0.0088,-0.3919
0.6045,0.016950,0.000000,0.000000,0.004602,-0.001534,-0.002591,0.6616,0.0130,-0.3857
