t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.177942,0.173340,-0.002751,0.6784,0.2595,-0.1941
0.0168,0.016764,-0.348521,0.348521,-0.176408,0.173340,-0.002738,0.7174,0.2244,-0.2480
0.0335,0.016761,-0.346892,0.346892,-0.176408,0.173340,-0.002738,0.7174,0.2244,-0.2480
0.0503,0.016748,-0.344191,0.344191,-0.177942,0.174874,-0.002728,0.7634,0.2125,-0.1889
0.0670,0.016768,-0.340428,0.340428,-0.222427,0.219359,-0.002703,0.7479,0.1602,-0.3016
0.0838,0.016748,-0.335636,0.335636,-0.285320,0.283786,-0.002718,0.7107,0.2014,-0.2365
0.1006,0.016784,-0.329828,0.329828,-0.362019,0.354350,-0.002716,0.7145,0.1971,-0.2433
0.1173,0.016754,-0.323062,0.323062,-0.381961,0.374291,-0.002716,0.7145,0.1971,-0.2433
0.1341,0.016779,-0.315358,0.315358,-0.372757,0.363553,-0.002716,0.7145,0.1971,-0.2433
0.1509,0.016753,-0.306788,0.306788,-0.372757,0.363553,-0.002691,0.7034,0.1441,-0.3491
0.1676,0.016759,-0.297391,0.297391,-0.351282,0.346680,-0.002693,0.7045,0.1497,-0.3381
0.1844,0.016752,-0.287232,0.287232,-0.331340,0.331340,-0.002692,0.6161,0.1671,-0.3390
0.2012,0.016783,-0.276351,0.276351,-0.317534,0.322136,-0.002693,0.6253,0.1653,-0.3389
0.2179,0.016755,-0.264852,0.264852,-0.305262,0.309864,-0.002679,0.5749,0.1479,-0.3921
0.2347,0.016779,-0.252774,0.252774,-0.291456,0.299126,-0.002679,0.5749,0.1479,-0.3921
0.2514,0.016752,-0.240227,0.240227,-0.291456,0.299126,-0.002630,0.5703,0.0632,-0.4930
0.2682,0.016765,-0.227261,0.227261,-0.282252,0.288388,-0.002624,0.6208,0.0563,-0.4290
0.2851,0.016896,-0.213861,0.213861,-0.271515,0.277651,-0.002611,0.5662,0.0395,-0.4889
0.3025,0.017443,-0.199766,0.199766,-0.262311,0.265379,-0.002601,0.6220,0.0255,-0.4291
0.3193,0.016749,-0.186071,0.186071,-0.250039,0.253107,-0.002615,0.5773,0.0625,-0.3820
