t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.174532,0.174532,-0.177942,0.174874,-0.002703,0.4155,0.2158,-0.3823
0.0167,0.016746,-0.160773,0.160773,-0.177942,0.174874,-0.002690,0.4584,0.1764,-0.4410
0.0335,0.016763,-0.147086,0.147086,-0.177942,0.174874,-0.002692,0.4652,0.2003,-0.3282
0.0503,0.016757,-0.133575,0.133575,-0.176408,0.174874,-0.002703,0.4144,0.2136,-0.3934
0.0677,0.017456,-0.119773,0.119773,-0.176408,0.174874,-0.002703,0.4144,0.2136,-0.3934
0.0845,0.016746,-0.106879,0.106879,-0.173340,0.170272,-0.002678,0.5086,0.1609,-0.3864
0.1012,0.016747,-0.094406,0.094406,-0.159534,0.162602,-0.002680,0.4988,0.1664,-0.3871
0.1180,0.016745,-0.082433,0.082433,-0.144194,0.150330,-0.002680,0.4988,0.1664,-0.3871
0.1347,0.016747,-0.071031,0.071031,-0.121184,0.128854,-0.002680,0.4988,0.1664,-0.3871
0.1515,0.016741,-0.060278,0.060278,-0.096641,0.105845,-0.002693,0.4609,0.2014,-0.3338
0.1682,0.016764,-0.050223,0.050223,-0.096641,0.105845,-0.002693,0.4609,0.2014,-0.3338
0.1850,0.016749,-0.040951,0.040951,-0.076699,0.082835,-0.002679,0.5038,0.1622,-0.3926
0.2017,0.016746,-0.032511,0.032511,-0.062893,0.065961,-0.002705,0.4103,0.2176,-0.3867
0.2185,0.016748,-0.024955,0.024955,-0.055223,0.055223,-0.002678,0.5091,0.1605,-0.3871
0.2352,0.016751,-0.018329,0.018329,-0.044485,0.041417,-0.002680,0.4988,0.1664,-0.3870
0.2520,0.016746,-0.012678,0.012678,-0.032214,0.030680,-0.002680,0.5002,0.1656,-0.3870
0.2687,0.016766,-0.008028,0.008028,-0.032214,0.030680,-0.002680,0.5002,0.1656,-0.3870
0.2855,0.016739,-0.004423,0.004423,-0.018408,0.023010,-0.002680,0.5002,0.1656,-0.3870
0.3022,0.016749,-0.001874,0.001874,-0.012272,0.015340,-0.002680,0.5002,0.1656,-0.3870
0.3190,0.016750,-0.000400,0.000400,-0.010738,0.007670,-0.002693,0.4608,0.2015,-0.3338
0.3357,0.016760,-0.000011,0.000011,-0.012272,0.003068,-0.002679,0.5038,0.1622,-0.3926
0.3525,0.016747,-0.000709,0.000709,-0.006136,0.001534,-0.002680,0.4993,0.1663,-0.3865
