t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.177942,0.176408,-0.002679,0.4900,0.1478,-0.4831
0.0167,0.016746,-0.348667,0.348667,-0.177942,0.176408,-0.002679,0.4900,0.1478,-0.4831
0.0335,0.016754,-0.346002,0.346002,-0.176408,0.176408,-0.002668,0.5396,0.1321,-0.4303
0.0503,0.016839,-0.339373,0.339373,-0.204019,0.202485,-0.002679,0.5124,0.0634,-0.4891
0.0671,0.016753,-0.328256,0.328256,-0.204019,0.202485,-0.002679,0.5124,0.0634,-0.4891
0.0838,0.016744,-0.313272,0.313272,-0.276117,0.271515,-0.002655,0.5760,0.1054,-0.4831
0.1005,0.016705,-0.296422,0.296422,-0.352816,0.346680,-0.002670,0.5306,0.1366,-0.4303
0.1173,0.016743,-0.287655,0.287655,-0.381961,0.372757,-0.002669,0.5354,0.1333,-0.4358
0.1340,0.016756,-0.278882,0.278882,-0.372757,0.363553,-0.002669,0.5354,0.1333,-0.4358
0.1508,0.016752,-0.270111,0.270111,-0.342078,0.335942,-0.002656,0.5737,0.0981,-0.4886
0.1675,0.016754,-0.261338,0.261338,-0.342078,0.335942,-0.002656,0.5737,0.0981,-0.4886
0.1843,0.016745,-0.252571,0.252571,-0.311398,0.309864,-0.002670,0.5309,0.1373,-0.4298
0.2010,0.016741,-0.243805,0.243805,-0.280718,0.286854,-0.002669,0.5353,0.1332,-0.4359
0.2178,0.016742,-0.235039,0.235039,-0.265379,0.271515,-0.002656,0.5737,0.0981,-0.4886
0.2345,0.016749,-0.226269,0.226269,-0.260777,0.260777,-0.002657,0.5696,0.1018,-0.4831
0.2516,0.017123,-0.217303,0.217303,-0.257709,0.251573,-0.002657,0.5696,0.1018,-0.4831
0.2684,0.016752,-0.208532,0.208532,-0.257709,0.251573,-0.002657,0.5696,0.1018,-0.4831
0.2851,0.016745,-0.199764,0.199764,-0.251573,0.243903,-0.002670,0.5313,0.1370,-0.4303
0.3019,0.016747,-0.190996,0.190996,-0.239301,0.236233,-0.002669,0.5353,0.1333,-0.4358
0.3186,0.016748,-0.182227,0.182227,-0.225495,0.227029,-0.002669,0.5353,0.1333,-0.4358
0.3354,0.016756,-0.173453,0.173453,-0.210155,0.216291,-0.002669,0.5353,0.1333,-0.4358
0.3522,0.016795,-0.164659,0.164659,-0.210155,0.216291,-0.002669,0.5353,0.1333,-0.4358
0.3689,0.016754,-0.155887,0.155887,-0.194816,0.204019,-0.002669,0.5353,0.1333,-0.4358
0.3857,0.016745,-0.147120,0.147120,-0.184078,0.193282,-0.002656,0.5737,0.0981,-0.4886
0.4024,0.016746,-0.138352,0.138352,-0.177942,0.185612,-0.002657,0.5696,0.1018,-0.4831
0.4192,0.016748,-0.129582,0.129582,-0.171806,0.171806,-0.002657,0.5696,0.1018,-0.4831
0.4360,0.016823,-0.120774,0.120774,-0.164136,0.162602,-0.002670,0.5313,0.1370,-0.4303
0.4527,0.016721,-0.112019,0.112019,-0.164136,0.162602,-0.002670,0.5313,0.1370,-0.4303
0.4694,0.016720,-0.103265,0.103265,-0.150330,0.148796,-0.002669,0.5353,0.1333,-0.4358
0.4862,0.016749,-0.094495,0.094495,-0.138058,0.138058,-0.002656,0.5737,0.0981,-0.4886
0.5029,0.016754,-0.085723,0.085723,-0.125786,0.127320,-0.002670,0.5309,0.1373,-0.4298
0.5197,0.016742,-0.076957,0.076957,-0.115049,0.118117,-0.002669,0.5353,0.1332,-0.4359
0.5365,0.016856,-0.068131,0.068131,-0.104311,0.107379,-0.002669,0.5353,0.1332,-0.4359
0.5533,0.016766,-0.059353,0.059353,-0.104311,0.107379,-0.002669,0.5353,0.1332,-0.4359
0.5701,0.016751,-0.050583,0.050583,-0.092039,0.095107,-0.002669,0.5353,0.1332,-0.4359
0.5868,0.016743,-0.042160,0.042160,-0.081301,0.082835,-0.002669,0.5353,0.1332,-0.4359
0.6036,0.016758,-0.035063,0.035063,-0.070563,0.072097,-0.002656,0.5737,0.0981,-0.4886
0.6203,0.016744,-0.030038,0.030038,-0.056757,0.052155,-0.002657,0.5696,0.1018,-0.4831
0.6371,0.016760,-0.027249,0.027249,-0.056757,0.052155,-0.002657,0.5696,0.1018,-0.4831
0.6538,0.016744,-0.026271,0.026271,-0.056757,0.052155,-0.002657,0.5696,0.1018,-0.4831
0.6706,0.016756,-0.000005,0.000005,-0.027612,0.030680,-0.002657,0.5696,0.1018,-0.4831
0.6873,0.016744,-0.000742,0.000742,-0.023010,0.026078,-0.002657,0.5696,0.1018,-0.4831
