t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.176408,0.173340,-0.002749,0.6826,0.2563,-0.2002
0.0168,0.016770,-0.348375,0.348375,-0.176408,0.173340,-0.002749,0.6826,0.2563,-0.2002
0.0335,0.016766,-0.346305,0.346305,-0.176408,0.173340,-0.002763,0.6392,0.2962,-0.1408
0.0503,0.016760,-0.342857,0.342857,-0.177942,0.174874,-0.002736,0.6330,0.2385,-0.2534
0.0671,0.016785,-0.338021,0.338021,-0.230097,0.223961,-0.002727,0.6838,0.2290,-0.1882
0.0838,0.016748,-0.331817,0.331817,-0.309864,0.299126,-0.002752,0.6289,0.2150,-0.0882
0.1006,0.016811,-0.324206,0.324206,-0.368155,0.362019,-0.002752,0.6289,0.2150,-0.0882
0.1174,0.016764,-0.315234,0.315234,-0.368155,0.362019,-0.002699,0.5851,0.1959,-0.3118
0.1342,0.016762,-0.304886,0.304886,-0.380427,0.371223,-0.002717,0.5508,0.2336,-0.2352
0.1509,0.016751,-0.293922,0.293922,-0.365087,0.358952,-0.002676,0.4944,0.1587,-0.4029
0.1677,0.016797,-0.282929,0.282929,-0.343612,0.343612,-0.002681,0.5003,0.1666,-0.3854
0.1845,0.016755,-0.271962,0.271962,-0.317534,0.323670,-0.002667,0.4503,0.1482,-0.4405
0.2017,0.017193,-0.260709,0.260709,-0.299126,0.306796,-0.002669,0.4555,0.1502,-0.4347
0.2184,0.016755,-0.249743,0.249743,-0.299126,0.306796,-0.002669,0.4555,0.1502,-0.4347
0.2352,0.016756,-0.238776,0.238776,-0.282252,0.291456,-0.002619,0.5446,0.0653,-0.4349
0.2519,0.016749,-0.227814,0.227814,-0.271515,0.277651,-0.002600,0.6242,0.0228,-0.4348
0.2687,0.016777,-0.216834,0.216834,-0.262311,0.268447,-0.002602,0.6159,0.0272,-0.4348
0.2854,0.016746,-0.205873,0.205873,-0.253107,0.254641,-0.002590,0.6668,0.0111,-0.3813
0.3024,0.016906,-0.194808,0.194808,-0.239301,0.240835,-0.002591,0.6615,0.0128,-0.3868
0.3191,0.016749,-0.183846,0.183846,-0.239301,0.240835,-0.002591,0.6615,0.0128,-0.3868
0.3359,0.016753,-0.172881,0.172881,-0.225495,0.227029,-0.002580,0.7120,-0.0031,-0.3327
0.3526,0.016746,-0.161921,0.161921,-0.211689,0.216291,-0.002581,0.7068,-0.0014,-0.3383
0.3693,0.016744,-0.150962,0.150962,-0.197884,0.204019,-0.002592,0.6573,0.0140,-0.3913
0.3861,0.016751,-0.139999,0.139999,-0.182544,0.188680,-0.002591,0.6625,0.0124,-0.3858
0.4029,0.016843,-0.128975,0.128975,-0.168738,0.174874,-0.002580,0.7119,-0.0031,-0.3328
0.4198,0.016818,-0.117968,0.117968,-0.168738,0.174874,-0.002580,0.7119,-0.0031,-0.3328
0.4365,0.016757,-0.107000,0.107000,-0.168738,0.174874,-0.002580,0.7119,-0.0031,-0.3328
0.4533,0.016750,-0.096037,0.096037,-0.139592,0.144194,-0.002592,0.6568,0.0142,-0.3919
0.4700,0.016748,-0.085076,0.085076,-0.138058,0.134990,-0.002591,0.6625,0.0124,-0.3857
0.4868,0.016742,-0.074118,0.074118,-0.131922,0.124252,-0.002580,0.7119,-0.0031,-0.3328
0.5035,0.016787,-0.063131,0.063131,-0.115049,0.110447,-0.002581,0.7068,-0.0014,-0.3383
0.5203,0.016744,-0.052173,0.052173,-0.093573,0.092039,-0.002592,0.6573,0.0140,-0.3913
0.5371,0.016769,-0.041232,0.041232,-0.093573,0.092039,-0.002592,0.6573,0.0140,-0.3913
0.5538,0.016743,-0.031267,0.031267,-0.075165,0.076699,-0.002591,0.6625,0.0124,-0.3858
0.5705,0.016750,-0.022676,0.022676,-0.058291,0.061359,-0.002580,0.7119,-0.0031,-0.3328
0.5873,0.016740,-0.015465,0.015465,-0.047553,0.049087,-0.002581,0.7068,-0.0014,-0.3383
0.6040,0.016752,-0.009626,0.009626,-0.035282,0.035282,-0.002581,0.7068,-0.0014,-0.3383
0.6208,0.016750,-0.005166,0.005166,-0.021476,0.024544,-0.002581,0.7068,-0.0014,-0.3383
0.6376,0.016761,-0.002081,0.002081,-0.021476,0.024544,-0.002581,0.7068,-0.0014,-0.3383
0.6543,0.016741,-0.000376,0.000376,-0.010738,0.012272,-0.002592,0.6573,0.0140,-0.3913
0.6710,0.016747,-0.000047,0.000047,-0.007670,0.004602,-0.002579,0.7125,-0.0032,-0.3322
0.6878,0.016742,-0.001094,0.001094,-0.010738,0.004602,-0.002581,0.7067,-0.0014,-0.3384
0.7045,0.016758,-0.003520,0.003520,-0.006136,0.004602,-0.002581,0.7067,-0.0014,-0.3384
0.7213,0.016748,-0.007322,0.007322,0.003068,0.000000,-0.002592,0.6573,0.0140,-0.3913
0.7380,0.016757,-0.012504,0.012504,0.003068,0.000000,-0.002592,0.6573,0.0140,-0.3913
0.7548,0.016744,-0.019058,0.019058,0.003068,0.000000,-0.002579,0.7125,-0.0032,-0.3322
0.7715,0.016752,-0.026993,0.026993,-0.004602,0.003068,-0.002592,0.6567,0.0142,-0.3919
0.7883,0.016748,-0.036303,0.036303,-0.010738,0.007670,-0.002591,0.6625,0.0124,-0.3857
0.8050,0.016751,-0.046930,0.046930,-0.013806,0.013806,-0.002591,0.6625,0.0124,-0.3857
0.8222,0.017138,-0.058147,0.058147,-0.023010,0.021476,-0.002591,0.6625,0.0124,-0.3857
0.8389,0.016766,-0.069121,0.069121,-0.023010,0.021476,-0.002591,0.6625,0.0124,-0.3857
0.8557,0.016757,-0.080088,0.080088,-0.039884,0.035282,-0.002591,0.6625,0.0124,-0.3857
0.8725,0.016755,-0.091054,0.091054,-0.052155,0.049087,-0.002580,0.7119,-0.0031,-0.3328
0.8892,0.016762,-0.102024,0.102024,-0.059825,0.058291,-0.002581,0.7068,-0.0014,-0.3383
0.9060,0.016762,-0.112995,0.112995,-0.062893,0.067495,-0.002581,0.7068,-0.0014,-0.3383
0.9227,0.016748,-0.123956,0.123956,-0.075165,0.081301,-0.002581,0.7068,-0.0014,-0.3383
0.9395,0.016780,-0.134939,0.134939,-0.075165,0.081301,-0.002581,0.7068,-0.0014,-0.3383
0.9563,0.016768,-0.145913,0.145913,-0.095107,0.101243,-0.002592,0.6573,0.0140,-0.3913
0.9730,0.016747,-0.156875,0.156875,-0.116583,0.116583,-0.002579,0.7125,-0.0032,-0.3322
0.9898,0.016742,-0.167832,0.167832,-0.131922,0.124252,-0.002592,0.6567,0.0142,-0.3919
1.0065,0.016751,-0.178796,0.178796,-0.141126,0.131922,-0.002591,0.6625,0.0124,-0.3857
1.0233,0.016796,-0.189789,0.189789,-0.153398,0.147262,-0.002591,0.6625,0.0124,-0.3857
1.0401,0.016758,-0.200756,0.200756,-0.153398,0.147262,-0.002591,0.6625,0.0124,-0.3857
1.0568,0.016749,-0.211719,0.211719,-0.170272,0.165670,-0.002591,0.6625,0.0124,-0.3857
1.0736,0.016744,-0.222678,0.222678,-0.187146,0.184078,-0.002580,0.7119,-0.0031,-0.3328
1.0903,0.016745,-0.233637,0.233637,-0.193282,0.190214,-0.002592,0.6568,0.0142,-0.3919
1.1071,0.016755,-0.244603,0.244603,-0.197884,0.194816,-0.002591,0.6625,0.0124,-0.3857
1.1240,0.016975,-0.255713,0.255713,-0.213223,0.213223,-0.002591,0.6625,0.0124,-0.3857
1.1408,0.016755,-0.266680,0.266680,-0.213223,0.213223,-0.002591,0.6625,0.0124,-0.3857
1.1575,0.016751,-0.277643,0.277643,-0.239301,0.237767,-0.002580,0.7119,-0.0031,-0.3328
1.1743,0.016752,-0.288607,0.288607,-0.251573,0.250039,-0.002592,0.6568,0.0142,-0.3919
1.1910,0.016744,-0.299566,0.299566,-0.256175,0.256175,-0.002591,0.6625,0.0124,-0.3857
1.2078,0.016758,-0.310385,0.310385,-0.262311,0.265379,-0.002591,0.6625,0.0124,-0.3857
1.2247,0.016927,-0.320113,0.320113,-0.282252,0.283786,-0.002580,0.7119,-0.0031,-0.3328
1.2415,0.016744,-0.328352,0.328352,-0.282252,0.283786,-0.002580,0.7119,-0.0031,-0.3328
1.2582,0.016746,-0.335215,0.335215,-0.305262,0.302194,-0.002592,0.6568,0.0142,-0.3919
1.2750,0.016743,-0.340701,0.340701,-0.319068,0.314466,-0.002579,0.7125,-0.0033,-0.3322
1.2917,0.016750,-0.344812,0.344812,-0.322136,0.319068,-0.002592,0.6567,0.0142,-0.3919
1.3084,0.016743,-0.347546,0.347546,-0.326738,0.322136,-0.002579,0.7125,-0.0033,-0.3322
1.3254,0.016947,-0.348911,0.348911,-0.342078,0.337476,-0.002581,0.7067,-0.0014,-0.3384
1.3421,0.016746,-0.348875,0.348875,-0.342078,0.337476,-0.002581,0.7067,-0.0014,-0.3384
1.3589,0.016745,-0.347463,0.347463,-0.352816,0.349748,-0.002592,0.6573,0.0140,-0.3913
1.3756,0.016740,-0.344676,0.344676,-0.352816,0.349748,-0.002591,0.6625,0.0124,-0.3858
