t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349065,0.349065,-0.156466,0.151864,-0.002705,0.6698,0.1817,-0.2902
0.0167,0.016749,-0.340296,0.340296,-0.165670,0.153398,-0.002691,0.6197,0.1638,-0.3440
0.0336,0.016816,-0.331491,0.331491,-0.165670,0.162602,-0.002706,0.6745,0.1833,-0.2852
0.0504,0.016867,-0.322659,0.322659,-0.165670,0.162602,-0.002706,0.6745,0.1833,-0.2852
0.0672,0.016763,-0.313882,0.313882,-0.165670,0.162602,-0.002706,0.6745,0.1833,-0.2852
0.0839,0.016743,-0.305116,0.305116,-0.282252,0.289922,-0.002679,0.6581,0.1280,-0.3979
0.1013,0.017320,-0.296047,0.296047,-0.352816,0.357418,-0.002681,0.6598,0.1337,-0.3862
0.1180,0.016741,-0.287281,0.287281,-0.372757,0.368155,-0.002669,0.6215,0.1355,-0.3337
0.1348,0.016759,-0.278506,0.278506,-0.363553,0.360485,-0.002645,0.6261,0.1020,-0.3389
0.1515,0.016745,-0.269739,0.269739,-0.334408,0.334408,-0.002648,0.6256,0.1055,-0.3384
0.1683,0.016757,-0.260965,0.260965,-0.306796,0.308330,-0.002623,0.7145,0.0538,-0.3383
0.1850,0.016747,-0.252197,0.252197,-0.306796,0.308330,-0.002623,0.7145,0.0538,-0.3383
0.2018,0.016752,-0.243426,0.243426,-0.277651,0.283786,-0.002599,0.6065,0.0239,-0.4449
0.2185,0.016746,-0.234657,0.234657,-0.265379,0.269981,-0.002577,0.6185,-0.0062,-0.4335
0.2353,0.016757,-0.225883,0.225883,-0.260777,0.260777,-0.002580,0.6172,-0.0030,-0.4347
0.2520,0.016742,-0.217117,0.217117,-0.259243,0.253107,-0.002580,0.6172,-0.0030,-0.4347
0.2688,0.016763,-0.208340,0.208340,-0.253107,0.245437,-0.002566,0.5680,-0.0209,-0.4879
0.2855,0.016748,-0.199571,0.199571,-0.253107,0.245437,-0.002566,0.5680,-0.0209,-0.4879
0.3022,0.016727,-0.190812,0.190812,-0.242369,0.237767,-0.002581,0.5343,0.0165,-0.4289
0.3190,0.016742,-0.182046,0.182046,-0.228563,0.227029,-0.002566,0.5767,-0.0229,-0.4885
0.3358,0.016770,-0.173266,0.173266,-0.214757,0.219359,-0.002555,0.5230,-0.0363,-0.5356
0.3525,0.016766,-0.164487,0.164487,-0.199418,0.208621,-0.002556,0.5286,-0.0349,-0.5307
0.3693,0.016767,-0.155708,0.155708,-0.185612,0.194816,-0.002569,0.4892,0.0004,-0.4778
0.3860,0.016744,-0.146941,0.146941,-0.185612,0.194816,-0.002569,0.4892,0.0004,-0.4778
0.4028,0.016750,-0.138170,0.138170,-0.176408,0.184078,-0.002567,0.4933,-0.0033,-0.4833
0.4195,0.016748,-0.129401,0.129401,-0.167204,0.170272,-0.002555,0.5317,-0.0384,-0.5361
0.4363,0.016764,-0.120624,0.120624,-0.159534,0.161068,-0.002569,0.4889,0.0008,-0.4772
0.4530,0.016748,-0.111855,0.111855,-0.150330,0.150330,-0.002555,0.5322,-0.0388,-0.5368
0.4698,0.016763,-0.103077,0.103077,-0.141126,0.139592,-0.002555,0.5322,-0.0388,-0.5368
0.4866,0.016749,-0.094308,0.094308,-0.141126,0.139592,-0.002569,0.4888,0.0008,-0.4772
0.5033,0.016748,-0.085538,0.085538,-0.127320,0.127320,-0.002555,0.5322,-0.0388,-0.5368
0.5200,0.016739,-0.076774,0.076774,-0.115049,0.116583,-0.002556,0.5277,-0.0347,-0.5306
0.5368,0.016748,-0.068005,0.068005,-0.102777,0.104311,-0.002569,0.4893,0.0004,-0.4778
0.5535,0.016750,-0.059234,0.059234,-0.090505,0.093573,-0.002555,0.5322,-0.0387,-0.5367
0.5703,0.016766,-0.050456,0.050456,-0.090505,0.093573,-0.002555,0.5322,-0.0387,-0.5367
0.5871,0.016748,-0.041687,0.041687,-0.078233,0.081301,-0.002556,0.5277,-0.0347,-0.5306
0.6038,0.016755,-0.032913,0.032913,-0.069029,0.070563,-0.002556,0.5277,-0.0347,-0.5306
0.6205,0.016742,-0.024147,0.024147,-0.061359,0.061359,-0.002569,0.5774,-0.0176,-0.4779
0.6373,0.016754,-0.015375,0.015375,-0.050621,0.052155,-0.002555,0.5230,-0.0369,-0.5367
0.6540,0.016746,-0.006607,0.006607,-0.038350,0.041417,-0.002556,0.5286,-0.0349,-0.5306
0.6708,0.016770,-0.002174,0.002174,-0.038350,0.041417,-0.002556,0.5286,-0.0349,-0.5306
0.6876,0.016748,-0.010944,0.010944,-0.024544,0.029146,-0.002556,0.5286,-0.0349,-0.5306
0.7043,0.016760,-0.019719,0.019719,-0.013806,0.019942,-0.002556,0.5286,-0.0349,-0.5306
0.7211,0.016740,-0.028484,0.028484,-0.009204,0.007670,-0.002556,0.5286,-0.0349,-0.5306
0.7378,0.016751,-0.037255,0.037255,-0.009204,0.004602,-0.002556,0.5286,-0.0349,-0.5306
0.7546,0.016745,-0.046023,0.046023,-0.015340,0.012272,-0.002556,0.5286,-0.0349,-0.5306
0.7713,0.016761,-0.054799,0.054799,-0.015340,0.012272,-0.002556,0.5286,-0.0349,-0.5306
0.7881,0.016748,-0.063568,0.063568,-0.026078,0.024544,-0.002556,0.5286,-0.0349,-0.5306
0.8048,0.016746,-0.072337,0.072337,-0.038350,0.036816,-0.002556,0.5286,-0.0349,-0.5306
0.8216,0.016743,-0.081103,0.081103,-0.047553,0.046019,-0.002556,0.5286,-0.0349,-0.5306
0.8383,0.016746,-0.089872,0.089872,-0.052155,0.050621,-0.002569,0.4892,0.0004,-0.4778
0.8551,0.016747,-0.098641,0.098641,-0.061359,0.059825,-0.002555,0.5322,-0.0387,-0.5367
0.8718,0.016763,-0.107417,0.107417,-0.061359,0.059825,-0.002555,0.5322,-0.0387,-0.5367
0.8886,0.016745,-0.116185,0.116185,-0.075165,0.073631,-0.002569,0.4888,0.0008,-0.4772
0.9053,0.016760,-0.124961,0.124961,-0.090505,0.088971,-0.002555,0.5322,-0.0388,-0.5368
0.9221,0.016748,-0.133730,0.133730,-0.096641,0.096641,-0.002556,0.5277,-0.0347,-0.5306
