t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.170272,0.167204,-0.002093,3.1221,1.9284,0.3614
0.0201,0.020102,-0.348974,0.348974,-0.170272,0.173340,-0.002103,3.1106,1.8791,0.4140
0.0402,0.020096,-0.348368,0.348368,-0.184078,0.182544,-0.002102,3.1118,1.8842,0.4086
0.0603,0.020109,-0.346820,0.346820,-0.245437,0.237767,-0.002092,3.1233,1.9336,0.3559
0.0804,0.020091,-0.343997,0.343997,-0.328272,0.322136,-0.002103,3.1105,1.8785,0.4146
0.1005,0.020093,-0.339651,0.339651,-0.380427,0.372757,-0.002102,3.1118,1.8842,0.4085
0.1206,0.020089,-0.333610,0.333610,-0.385029,0.377359,-0.002078,3.0734,1.9144,0.3021
0.1407,0.020103,-0.325770,0.325770,-0.368155,0.365087,-0.002077,2.9778,1.9061,0.2045
0.1608,0.020112,-0.316098,0.316098,-0.351282,0.355884,-0.002077,3.0260,1.8430,0.3228
0.1809,0.020097,-0.304634,0.304634,-0.339010,0.345146,-0.002077,3.0210,1.8496,0.3105
0.2010,0.020107,-0.291446,0.291446,-0.325204,0.329806,-0.002063,2.9718,1.8298,0.2579
0.2211,0.020095,-0.276678,0.276678,-0.317534,0.320602,-0.002051,2.9272,1.8129,0.2095
0.2412,0.020102,-0.260487,0.260487,-0.309864,0.308330,-0.002052,2.9318,1.8147,0.2146
0.2613,0.020110,-0.243075,0.243075,-0.300660,0.299126,-0.002038,2.8817,1.7955,0.1602
0.2814,0.020091,-0.224702,0.224702,-0.286854,0.286854,-0.002039,2.8869,1.7975,0.1659
0.3015,0.020122,-0.205577,0.205577,-0.271515,0.273049,-0.002039,2.8869,1.7975,0.1659
0.3216,0.020095,-0.186028,0.186028,-0.254641,0.254641,-0.002026,2.8367,1.7783,0.1114
0.3417,0.020098,-0.166310,0.166310,-0.236233,0.236233,-0.002013,2.7924,1.7615,0.0631
0.3618,0.020108,-0.146701,0.146701,-0.214757,0.217825,-0.002015,2.7970,1.7632,0.0682
0.3819,0.020095,-0.127508,0.127508,-0.191748,0.197884,-0.002015,2.7970,1.7632,0.0682
0.4020,0.020098,-0.108990,0.108990,-0.170272,0.177942,-0.002015,2.7970,1.7632,0.0682
0.4221,0.020091,-0.091415,0.091415,-0.150330,0.156466,-0.002015,2.7970,1.7632,0.0682
0.4422,0.020096,-0.075009,0.075009,-0.130388,0.131922,-0.002015,2.7970,1.7632,0.0682
0.4623,0.020111,-0.059979,0.059979,-0.111981,0.110447,-0.002015,2.7970,1.7632,0.0682
0.4824,0.020096,-0.046523,0.046523,-0.092039,0.090505,-0.002015,2.7970,1.7632,0.0682
0.5025,0.020090,-0.034768,0.034768,-0.075165,0.072097,-0.002015,2.7970,1.7632,0.0682
0.5226,0.020089,-0.024801,0.024801,-0.059825,0.056757,-0.002015,2.7970,1.7632,0.0682
0.5427,0.020090,-0.016658,0.016658,-0.046019,0.044485,-0.002015,2.7970,1.7632,0.0682
0.5628,0.020101,-0.010314,0.010314,-0.029146,0.030680,-0.002015,2.7970,1.7632,0.0682
