t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.174874,0.171806,-0.002332,2.1899,2.4712,0.8858
0.0201,0.020089,-0.348911,0.348911,-0.174874,0.171806,-0.002332,2.1899,2.4712,0.8858
0.0402,0.020080,-0.347895,0.347895,-0.174874,0.171806,-0.002332,2.1899,2.4712,0.8858
0.0602,0.020078,-0.345334,0.345334,-0.194816,0.191748,-0.002332,2.1899,2.4712,0.8858
0.0803,0.020090,-0.340717,0.340717,-0.260777,0.259243,-0.002319,2.1408,2.4517,0.8324
0.1004,0.020073,-0.333710,0.333710,-0.343612,0.337476,-0.002283,2.0962,2.4009,0.7850
0.1205,0.020083,-0.324112,0.324112,-0.383495,0.375825,-0.002273,2.0514,2.3870,0.7359
0.1406,0.020079,-0.311868,0.311868,-0.381961,0.375825,-0.002250,2.0186,2.4194,0.6334
0.1607,0.020079,-0.297038,0.297038,-0.366621,0.366621,-0.002263,2.0100,2.3658,0.6977
0.1807,0.020092,-0.279776,0.279776,-0.343612,0.349748,-0.002262,2.0109,2.3714,0.6910
0.2008,0.020076,-0.260361,0.260361,-0.325204,0.332874,-0.002262,2.0109,2.3714,0.6910
0.2209,0.020086,-0.239101,0.239101,-0.311398,0.319068,-0.002262,2.0109,2.3714,0.6910
0.2410,0.020088,-0.216394,0.216394,-0.296058,0.299126,-0.002252,2.0229,2.4210,0.6381
0.2611,0.020085,-0.192684,0.192684,-0.282252,0.285320,-0.002263,2.0095,2.3657,0.6972
0.2812,0.020092,-0.168429,0.168429,-0.266913,0.268447,-0.002262,2.0109,2.3714,0.6911
0.3013,0.020081,-0.144133,0.144133,-0.248505,0.248505,-0.002262,2.0109,2.3714,0.6911
0.3213,0.020089,-0.120262,0.120262,-0.225495,0.225495,-0.002262,2.0109,2.3714,0.6911
0.3414,0.020085,-0.097303,0.097303,-0.200951,0.202485,-0.002262,2.0109,2.3714,0.6911
0.3615,0.020083,-0.075700,0.075700,-0.174874,0.177942,-0.002262,2.0109,2.3714,0.6911
0.3816,0.020091,-0.055844,0.055844,-0.147262,0.151864,-0.002262,2.0109,2.3714,0.6911
0.4017,0.020083,-0.038098,0.038098,-0.119651,0.122718,-0.002262,2.0109,2.3714,0.6911
0.4218,0.020090,-0.022721,0.022721,-0.095107,0.096641,-0.002262,2.0109,2.3714,0.6911
0.4419,0.020083,-0.009910,0.009910,-0.052155,0.052155,-0.002262,2.0109,2.3714,0.6911
0.4619,0.020082,0.000256,-0.000256,-0.052155,0.052155,-0.002262,2.0109,2.3714,0.6911
0.4820,0.020084,0.007812,-0.007812,-0.013806,0.016874,-0.002262,2.0109,2.3714,0.6911
0.5021,0.020084,0.012917,-0.012917,0.000000,0.003068,-0.002262,2.0109,2.3714,0.6911
0.5222,0.020073,0.015882,-0.015882,0.007670,-0.007670,-0.002262,2.0109,2.3714,0.6911
0.5423,0.020076,0.017179,-0.017179,0.007670,-0.013806,-0.002262,2.0109,2.3714,0.6911
0.5623,0.020079,0.017452,-0.017452,0.010738,-0.013806,-0.002262,2.0109,2.3714,0.6911
0.5824,0.020079,0.016923,-0.016923,0.016874,-0.016874,-0.002262,2.0109,2.3714,0.6911
0.6025,0.020091,0.013119,-0.013119,0.016874,-0.018408,-0.002262,2.0109,2.3714,0.6911
0.6226,0.020075,0.006810,-0.006810,0.012272,-0.016874,-0.002262,2.0109,2.3714,0.6911
