t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349065,0.349065,-0.176408,0.173340,-0.002282,2.3344,2.3402,0.6936
0.0201,0.020096,-0.335912,0.335912,-0.176408,0.173340,-0.002282,2.3344,2.3402,0.6936
0.0419,0.021784,-0.321654,0.321654,-0.177942,0.174874,-0.002272,2.3461,2.3897,0.6408
0.0621,0.020200,-0.308433,0.308433,-0.216291,0.211689,-0.002283,2.3330,2.3344,0.6998
0.0822,0.020086,-0.295287,0.295287,-0.282252,0.283786,-0.002282,2.3344,2.3402,0.6936
0.1023,0.020086,-0.282141,0.282141,-0.349748,0.345146,-0.002269,2.2846,2.3203,0.6403
0.1224,0.020109,-0.268979,0.268979,-0.355884,0.349748,-0.002260,2.3016,2.3725,0.5924
0.1426,0.020194,-0.255762,0.255762,-0.339010,0.332874,-0.002247,2.2503,2.3478,0.5434
0.1628,0.020271,-0.242495,0.242495,-0.311398,0.308330,-0.002259,2.2438,2.3003,0.6021
0.1830,0.020177,-0.229289,0.229289,-0.282252,0.286854,-0.002234,2.2445,2.2719,0.5969
0.2032,0.020190,-0.216075,0.216075,-0.257709,0.262311,-0.002223,2.1948,2.2557,0.5435
0.2234,0.020220,-0.202841,0.202841,-0.242369,0.245437,-0.002210,2.1505,2.2383,0.4950
0.2435,0.020101,-0.189685,0.189685,-0.228563,0.231631,-0.002188,2.1552,2.2067,0.5010
0.2639,0.020361,-0.176359,0.176359,-0.217825,0.222427,-0.002190,2.1548,2.2100,0.5004
0.2840,0.020085,-0.163213,0.163213,-0.205553,0.211689,-0.002190,2.1548,2.2100,0.5004
0.3040,0.020081,-0.150070,0.150070,-0.194816,0.200951,-0.002177,2.1054,2.1906,0.4464
0.3241,0.020087,-0.136923,0.136923,-0.184078,0.188680,-0.002178,2.1105,2.1926,0.4520
0.3442,0.020083,-0.123778,0.123778,-0.170272,0.173340,-0.002164,2.0606,2.1734,0.3973
0.3644,0.020175,-0.110574,0.110574,-0.154932,0.158000,-0.002179,2.1152,2.1944,0.4571
0.3845,0.020120,-0.097405,0.097405,-0.144194,0.145728,-0.002178,2.1095,2.1922,0.4509
0.4046,0.020100,-0.084250,0.084250,-0.128854,0.131922,-0.002154,2.0728,2.2235,0.3438
0.4247,0.020067,-0.071116,0.071116,-0.115049,0.116583,-0.002167,2.0646,2.1702,0.4086
0.4448,0.020102,-0.057959,0.057959,-0.102777,0.102777,-0.002169,2.1643,2.1803,0.5109
0.4649,0.020092,-0.044809,0.044809,-0.088971,0.088971,-0.002179,2.1044,2.1937,0.4453
0.4850,0.020151,-0.031621,0.031621,-0.073631,0.073631,-0.002178,2.1106,2.1923,0.4521
0.5052,0.020213,-0.018391,0.018391,-0.061359,0.061359,-0.002164,2.0606,2.1734,0.3973
0.5255,0.020301,-0.005104,0.005104,-0.046019,0.049087,-0.002166,2.0659,2.1754,0.4030
0.5456,0.020101,0.000000,0.000000,-0.032214,0.035282,-0.002179,2.1147,2.1942,0.4565
0.5657,0.020056,0.000000,0.000000,-0.018408,0.023010,-0.002164,2.0602,2.1732,0.3969
0.5860,0.020299,0.000000,0.000000,-0.004602,0.009204,-0.002166,2.0659,2.1754,0.4031
0.6062,0.020206,0.000000,0.000000,0.006136,-0.001534,-0.002179,2.1147,2.1942,0.4565
0.6264,0.020160,0.000000,0.000000,0.004602,-0.003068,-0.002178,2.1096,2.1922,0.4509
0.6465,0.020106,0.000000,0.000000,-0.006136,0.001534,-0.002164,2.0607,2.1734,0.3975
0.6667,0.020244,-0.000026,0.000026,-0.003068,0.001534,-0.002166,2.0658,2.1754,0.4030
0.6869,0.020156,-0.013217,0.013217,0.004602,-0.001534,-0.002179,2.1147,2.1942,0.4565
0.7075,0.020684,-0.026755,0.026755,0.003068,-0.001534,-0.002164,2.1492,2.1562,0.3978
0.7276,0.020086,-0.039901,0.039901,-0.006136,0.001534,-0.002166,2.0566,2.1772,0.4030
0.7480,0.020360,-0.053226,0.053226,-0.012272,0.004602,-0.002166,2.0663,2.1750,0.4025
0.7681,0.020084,-0.066371,0.066371,-0.018408,0.013806,-0.002166,2.0663,2.1750,0.4025
0.7882,0.020090,-0.079520,0.079520,-0.032214,0.030680,-0.002166,2.0663,2.1750,0.4025
0.8083,0.020088,-0.092668,0.092668,-0.053689,0.049087,-0.002166,2.0663,2.1750,0.4025
0.8283,0.020086,-0.105814,0.105814,-0.070563,0.067495,-0.002166,2.0663,2.1750,0.4025
0.8485,0.020140,-0.118996,0.118996,-0.082835,0.081301,-0.002166,2.0663,2.1750,0.4025
0.8686,0.020085,-0.132141,0.132141,-0.090505,0.090505,-0.002166,2.0663,2.1750,0.4025
0.8889,0.020370,-0.145473,0.145473,-0.102777,0.101243,-0.002166,2.0663,2.1750,0.4025
0.9090,0.020087,-0.158620,0.158620,-0.116583,0.116583,-0.002166,2.0663,2.1750,0.4025
0.9292,0.020179,-0.171827,0.171827,-0.134990,0.133456,-0.002166,2.0663,2.1750,0.4025
0.9493,0.020097,-0.184980,0.184980,-0.150330,0.147262,-0.002166,2.0663,2.1750,0.4025
0.9694,0.020091,-0.198130,0.198130,-0.164136,0.158000,-0.002152,2.1049,2.1392,0.3493
0.9895,0.020090,-0.211279,0.211279,-0.174874,0.171806,-0.002180,2.1106,2.1979,0.4621
1.0096,0.020095,-0.224431,0.224431,-0.187146,0.185612,-0.002164,2.0606,2.1728,0.3963
1.0297,0.020100,-0.237587,0.237587,-0.191748,0.187146,-0.002179,2.1152,2.1945,0.4572
1.0498,0.020101,-0.250743,0.250743,-0.191748,0.188680,-0.002164,2.0602,2.1732,0.3968
1.0700,0.020201,-0.263964,0.263964,-0.204019,0.202485,-0.002165,2.1548,2.1584,0.4040
1.0901,0.020098,-0.277119,0.277119,-0.227029,0.225495,-0.002179,2.1054,2.1960,0.4564
1.1102,0.020112,-0.290282,0.290282,-0.253107,0.250039,-0.002164,2.0612,2.1730,0.3969
1.1303,0.020099,-0.303436,0.303436,-0.269981,0.268447,-0.002166,2.0658,2.1755,0.4031
1.1504,0.020117,-0.316603,0.316603,-0.276117,0.277651,-0.002179,2.1147,2.1942,0.4565
1.1705,0.020091,-0.329752,0.329752,-0.280718,0.283786,-0.002150,2.0998,2.1372,0.3437
1.1907,0.020194,-0.342969,0.342969,-0.296058,0.296058,-0.002167,2.0618,2.1792,0.4086
1.2109,0.020249,-0.349066,0.349066,-0.319068,0.316000,-0.002166,2.0657,2.1748,0.4019
1.2310,0.020093,-0.349066,0.349066,-0.335942,0.329806,-0.002179,2.1147,2.1943,0.4566
1.2512,0.020166,-0.349066,0.349066,-0.345146,0.343612,-0.002178,2.1096,2.1922,0.4509
1.2713,0.020092,-0.349066,0.349066,-0.354350,0.348214,-0.002164,2.0607,2.1734,0.3975
1.2914,0.020106,-0.349066,0.349066,-0.354350,0.349748,-0.002179,2.1152,2.1944,0.4571
1.3115,0.020107,-0.349066,0.349066,-0.351282,0.349748,-0.002178,2.1095,2.1922,0.4509
1.3316,0.020092,-0.349066,0.349066,-0.352816,0.348214,-0.002178,2.1095,2.1922,0.4509
1.3521,0.020524,-0.336774,0.336774,-0.352816,0.348214,-0.002164,2.0607,2.1734,0.3975
1.3722,0.020111,-0.323611,0.323611,-0.352816,0.348214,-0.002156,2.0779,2.2255,0.3494
1.3924,0.020189,-0.310397,0.310397,-0.351282,0.348214,-0.002180,2.1134,2.1890,0.4621
1.4125,0.020102,-0.297241,0.297241,-0.349748,0.346680,-0.002164,2.0603,2.1738,0.3963
1.4326,0.020096,-0.284088,0.284088,-0.343612,0.340544,-0.002166,2.0659,2.1754,0.4032
1.4528,0.020154,-0.270897,0.270897,-0.334408,0.329806,-0.002179,2.1147,2.1942,0.4565
1.4730,0.020188,-0.257684,0.257684,-0.319068,0.319068,-0.002167,2.1591,2.1779,0.5059
1.4931,0.020152,-0.244495,0.244495,-0.302194,0.305262,-0.002165,2.0556,2.1749,0.3917
1.5134,0.020336,-0.231185,0.231185,-0.285320,0.288388,-0.002166,2.0664,2.1753,0.4036
1.5335,0.020092,-0.218035,0.218035,-0.271515,0.274583,-0.002179,2.1146,2.1942,0.4565
1.5538,0.020270,-0.204768,0.204768,-0.257709,0.260777,-0.002164,2.0602,2.1732,0.3969
1.5739,0.020087,-0.191621,0.191621,-0.243903,0.246971,-0.002166,2.0659,2.1754,0.4031
1.5940,0.020115,-0.178456,0.178456,-0.231631,0.234699,-0.002179,2.1147,2.1942,0.4565
1.6141,0.020096,-0.165303,0.165303,-0.217825,0.223961,-0.002164,2.0602,2.1732,0.3969
1.6342,0.020085,-0.152158,0.152158,-0.202485,0.210155,-0.002156,2.0780,2.2255,0.3495
1.6543,0.020101,-0.139002,0.139002,-0.191748,0.197884,-0.002167,2.0640,2.1700,0.4080
1.6744,0.020103,-0.125845,0.125845,-0.177942,0.184078,-0.002169,2.1269,2.2448,0.4024
1.6945,0.020090,-0.112696,0.112696,-0.151864,0.154932,-0.002179,2.1083,2.1870,0.4566
1.7146,0.020097,-0.099542,0.099542,-0.151864,0.154932,-0.002178,2.1102,2.1930,0.4509
1.7347,0.020096,-0.086389,0.086389,-0.124252,0.124252,-0.002178,2.1102,2.1930,0.4509
1.7548,0.020089,-0.073241,0.073241,-0.111981,0.111981,-0.002178,2.1102,2.1930,0.4509
1.7749,0.020093,-0.060091,0.060091,-0.096641,0.098175,-0.002168,2.1221,2.2424,0.3979
1.7952,0.020371,-0.046758,0.046758,-0.084369,0.084369,-0.002152,2.0990,2.1322,0.3498
1.8153,0.020100,-0.033603,0.033603,-0.069029,0.070563,-0.002181,2.1112,2.1987,0.4621
1.8354,0.020104,-0.020444,0.020444,-0.058291,0.058291,-0.002164,2.0606,2.1728,0.3963
1.8555,0.020100,-0.007289,0.007289,-0.042951,0.044485,-0.002179,2.1152,2.1945,0.4572
1.8756,0.020105,0.000000,0.000000,-0.027612,0.032214,-0.002164,2.0602,2.1732,0.3968
1.8957,0.020095,0.000000,0.000000,-0.013806,0.018408,-0.002156,2.0780,2.2255,0.3495
1.9158,0.020101,0.000000,0.000000,0.000000,0.006136,-0.002180,2.1134,2.1890,0.4621
1.9359,0.020092,0.000000,0.000000,0.006136,-0.003068,-0.002164,2.0603,2.1738,0.3963
1.9560,0.020093,0.000000,0.000000,0.001534,-0.003068,-0.002179,2.1152,2.1944,0.4572
1.9761,0.020102,0.000000,0.000000,-0.006136,0.001534,-0.002164,2.0602,2.1732,0.3968
1.9962,0.020096,0.000000,0.000000,-0.001534,0.001534,-0.002166,2.0659,2.1754,0.4031
2.0163,0.020092,-0.010672,0.010672,0.004602,-0.001534,-0.002166,2.0659,2.1754,0.4031
2.0364,0.020141,-0.023854,0.023854,0.001534,0.000000,-0.002155,2.0774,2.2253,0.3488
2.0565,0.020092,-0.037004,0.037004,-0.004602,0.001534,-0.002167,2.0641,2.1700,0.4081
2.0766,0.020095,-0.050156,0.050156,-0.009204,0.004602,-0.002166,2.0655,2.1758,0.4019
2.0967,0.020099,-0.063311,0.063311,-0.016874,0.016874,-0.002166,2.0655,2.1758,0.4019
2.1170,0.020254,-0.076567,0.076567,-0.032214,0.032214,-0.002166,2.0655,2.1758,0.4019
2.1372,0.020190,-0.089781,0.089781,-0.053689,0.052155,-0.002166,2.0655,2.1758,0.4019
2.1573,0.020086,-0.102928,0.102928,-0.070563,0.069029,-0.002169,2.1642,2.1797,0.5116
2.1773,0.020077,-0.116068,0.116068,-0.081301,0.081301,-0.002179,2.1044,2.1937,0.4452
2.1974,0.020093,-0.129219,0.129219,-0.090505,0.090505,-0.002164,2.0613,2.1733,0.3981
2.2175,0.020106,-0.142379,0.142379,-0.104311,0.104311,-0.002179,2.1151,2.1944,0.4570
2.2376,0.020101,-0.155535,0.155535,-0.121184,0.119651,-0.002164,2.0602,2.1732,0.3968
2.2578,0.020190,-0.168749,0.168749,-0.136524,0.133456,-0.002169,2.1647,2.1800,0.5121
2.2779,0.020112,-0.181913,0.181913,-0.148796,0.144194,-0.002179,2.1044,2.1937,0.4452
2.2981,0.020111,-0.195075,0.195075,-0.161068,0.156466,-0.002178,2.1107,2.1923,0.4521
2.3182,0.020098,-0.208230,0.208230,-0.171806,0.168738,-0.002178,2.1107,2.1923,0.4521
2.3383,0.020101,-0.221386,0.221386,-0.171806,0.168738,-0.002164,2.0606,2.1734,0.3973
