t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.179476,0.177942,-0.002270,2.5312,2.2760,0.6466
0.0201,0.020108,-0.348283,0.348283,-0.179476,0.177942,-0.002270,2.5312,2.2760,0.6466
0.0402,0.020091,-0.345943,0.345943,-0.182544,0.179476,-0.002270,2.5312,2.2760,0.6466
0.0603,0.020098,-0.342067,0.342067,-0.228563,0.222427,-0.002232,2.4819,2.2233,0.5943
0.0804,0.020089,-0.336692,0.336692,-0.308330,0.299126,-0.002209,2.3877,2.1904,0.4919
0.1005,0.020086,-0.329865,0.329865,-0.372757,0.363553,-0.002184,2.2984,2.1557,0.3947
0.1206,0.020086,-0.321648,0.321648,-0.383495,0.374291,-0.002139,2.2703,2.1570,0.2982
0.1407,0.020110,-0.312103,0.312103,-0.369689,0.363553,-0.002144,2.2733,2.1569,0.3082
0.1608,0.020153,-0.301298,0.301298,-0.348214,0.346680,-0.002143,2.2729,2.1569,0.3068
0.1809,0.020086,-0.289392,0.289392,-0.329806,0.331340,-0.002140,2.2117,2.0880,0.3069
0.2010,0.020089,-0.276456,0.276456,-0.314466,0.319068,-0.002140,2.2180,2.0951,0.3069
0.2211,0.020090,-0.262606,0.262606,-0.305262,0.308330,-0.002127,2.1680,2.0755,0.2528
0.2413,0.020173,-0.247906,0.247906,-0.296058,0.299126,-0.002121,2.2842,2.1320,0.3138
0.2614,0.020096,-0.232603,0.232603,-0.285320,0.289922,-0.002132,2.2225,2.1405,0.2526
0.2814,0.020086,-0.216787,0.216787,-0.274583,0.277651,-0.002131,2.2665,2.0752,0.3674
0.3015,0.020106,-0.200577,0.200577,-0.263845,0.263845,-0.002131,2.2619,2.0820,0.3554
0.3216,0.020092,-0.184145,0.184145,-0.245437,0.245437,-0.002131,2.2619,2.0820,0.3554
0.3417,0.020085,-0.167632,0.167632,-0.231631,0.231631,-0.002141,2.2128,2.0957,0.3018
0.3618,0.020090,-0.151178,0.151178,-0.211689,0.216291,-0.002130,2.2675,2.0799,0.3623
0.3819,0.020128,-0.134902,0.134902,-0.193282,0.199418,-0.002142,2.2122,2.0960,0.3011
0.4020,0.020091,-0.119011,0.119011,-0.174874,0.182544,-0.002130,2.2299,2.1443,0.2539
0.4221,0.020089,-0.103619,0.103619,-0.158000,0.162602,-0.002131,2.2657,2.0748,0.3673
0.4424,0.020242,-0.088752,0.088752,-0.141126,0.144194,-0.002141,2.2124,2.0965,0.3006
0.4625,0.020090,-0.074768,0.074768,-0.124252,0.125786,-0.002130,2.2675,2.0798,0.3624
0.4826,0.020099,-0.061671,0.061671,-0.110447,0.108913,-0.002142,2.2122,2.0960,0.3011
0.5028,0.020220,-0.049516,0.049516,-0.093573,0.092039,-0.002130,2.2676,2.0799,0.3624
0.5230,0.020257,-0.038477,0.038477,-0.078233,0.078233,-0.002131,2.2618,2.0816,0.3560
0.5438,0.020753,-0.028454,0.028454,-0.064427,0.062893,-0.002131,2.2618,2.0816,0.3560
0.5639,0.020093,-0.020078,0.020078,-0.052155,0.053689,-0.002131,2.2618,2.0816,0.3560
0.5840,0.020100,-0.013084,0.013084,-0.038350,0.038350,-0.002131,2.2618,2.0816,0.3560
0.6042,0.020180,-0.007518,0.007518,-0.026078,0.029146,-0.002141,2.2128,2.0958,0.3017
0.6242,0.020082,-0.003477,0.003477,-0.018408,0.021476,-0.002130,2.2299,2.1443,0.2538
0.6443,0.020090,-0.000966,0.000966,-0.013806,0.010738,-0.002118,2.2163,2.0559,0.3132
0.6644,0.020088,-0.000010,0.000010,-0.013806,0.010738,-0.002118,2.2163,2.0559,0.3132
0.6845,0.020098,-0.000617,0.000617,-0.012272,0.004602,-0.002133,2.2671,2.0840,0.3611
0.7046,0.020102,-0.002784,0.002784,-0.007670,0.003068,-0.002118,2.2124,2.0622,0.3020
0.7247,0.020050,-0.006479,0.006479,0.000000,0.003068,-0.002143,2.2180,2.0978,0.3074
0.7448,0.020108,-0.011691,0.011691,0.001534,0.000000,-0.002130,2.2670,2.0797,0.3617
0.7649,0.020090,-0.018357,0.018357,-0.003068,0.000000,-0.002142,2.2123,2.0960,0.3011
0.7850,0.020096,-0.026424,0.026424,-0.004602,0.000000,-0.002130,2.2675,2.0799,0.3623
0.8051,0.020099,-0.035820,0.035820,-0.003068,0.001534,-0.002131,2.2618,2.0816,0.3560
0.8251,0.020082,-0.046449,0.046449,-0.003068,0.007670,-0.002131,2.2618,2.0816,0.3560
0.8452,0.020095,-0.058233,0.058233,-0.010738,0.016874,-0.002131,2.2618,2.0816,0.3560
0.8653,0.020088,-0.071055,0.071055,-0.023010,0.018408,-0.002131,2.2618,2.0816,0.3560
0.8854,0.020090,-0.084805,0.084805,-0.036816,0.021476,-0.002131,2.2248,2.1458,0.2482
0.9055,0.020102,-0.099367,0.099367,-0.044485,0.032214,-0.002131,2.2662,2.0747,0.3679
0.9257,0.020176,-0.114660,0.114660,-0.049087,0.046019,-0.002131,2.2619,2.0821,0.3554
0.9458,0.020097,-0.130432,0.130432,-0.072097,0.079767,-0.002141,2.2128,2.0957,0.3018
0.9659,0.020087,-0.146590,0.146590,-0.090505,0.093573,-0.002130,2.2675,2.0799,0.3623
0.9860,0.020093,-0.163003,0.163003,-0.111981,0.104311,-0.002131,2.2618,2.0816,0.3560
1.0083,0.022373,-0.181394,0.181394,-0.125786,0.116583,-0.002141,2.2128,2.0958,0.3017
1.0284,0.020093,-0.197852,0.197852,-0.142660,0.138058,-0.002140,2.2179,2.0943,0.3074
1.0485,0.020092,-0.214099,0.214099,-0.168738,0.164136,-0.002130,2.2670,2.0800,0.3617
1.0688,0.020258,-0.230122,0.230122,-0.191748,0.188680,-0.002131,2.2618,2.0815,0.3560
1.0889,0.020085,-0.245509,0.245509,-0.211689,0.210155,-0.002141,2.2128,2.0958,0.3017
1.1089,0.020077,-0.260255,0.260255,-0.222427,0.222427,-0.002130,2.2675,2.0799,0.3623
1.1290,0.020091,-0.274243,0.274243,-0.231631,0.231631,-0.002142,2.2122,2.0960,0.3011
1.1491,0.020088,-0.287336,0.287336,-0.248505,0.248505,-0.002130,2.2676,2.0799,0.3624
1.1692,0.020098,-0.299426,0.299426,-0.266913,0.265379,-0.002131,2.2618,2.0816,0.3560
1.1893,0.020089,-0.310390,0.310390,-0.279185,0.279185,-0.002131,2.2618,2.0816,0.3560
1.2094,0.020089,-0.320139,0.320139,-0.292990,0.291456,-0.002131,2.2618,2.0816,0.3560
1.2295,0.020096,-0.328586,0.328586,-0.306796,0.302194,-0.002131,2.2618,2.0816,0.3560
1.2496,0.020095,-0.335653,0.335653,-0.319068,0.316000,-0.002141,2.2128,2.0958,0.3017
1.2697,0.020098,-0.341276,0.341276,-0.326738,0.323670,-0.002130,2.2675,2.0799,0.3623
