t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.174532,0.174532,-0.176408,0.173340,-0.001985,3.1616,1.6580,0.1166
0.0202,0.020156,-0.157979,0.157979,-0.176408,0.173340,-0.001985,3.1616,1.6580,0.1166
0.0403,0.020099,-0.141622,0.141622,-0.176408,0.173340,-0.001985,3.1616,1.6580,0.1166
0.0621,0.021885,-0.124152,0.124152,-0.176408,0.173340,-0.001985,3.1616,1.6580,0.1166
0.0822,0.020101,-0.108573,0.108573,-0.171806,0.168738,-0.001985,3.1616,1.6580,0.1166
0.1023,0.020095,-0.093589,0.093589,-0.156466,0.158000,-0.001985,3.1616,1.6580,0.1166
0.1224,0.020087,-0.079337,0.079337,-0.136524,0.141126,-0.001985,3.1616,1.6580,0.1166
0.1425,0.020093,-0.065933,0.065933,-0.113515,0.118117,-0.001985,3.1616,1.6580,0.1166
0.1626,0.020092,-0.053503,0.053503,-0.090505,0.096641,-0.001985,3.1616,1.6580,0.1166
0.1827,0.020089,-0.042158,0.042158,-0.076699,0.078233,-0.001971,3.1125,1.6389,0.0634
0.2028,0.020091,-0.031998,0.031998,-0.061359,0.059825,-0.001973,3.1176,1.6409,0.0689
0.2228,0.020056,-0.023128,0.023128,-0.047553,0.047553,-0.001973,3.1176,1.6409,0.0689
0.2429,0.020090,-0.015599,0.015599,-0.036816,0.036816,-0.001973,3.1176,1.6409,0.0689
0.2637,0.020729,-0.009323,0.009323,-0.027612,0.029146,-0.001973,3.1176,1.6409,0.0689
0.2838,0.020091,-0.004742,0.004742,-0.021476,0.021476,-0.001973,3.1176,1.6409,0.0689
0.3038,0.020095,-0.001682,0.001682,-0.015340,0.012272,-0.001973,3.1176,1.6409,0.0689
0.3239,0.020093,-0.000171,0.000171,-0.009204,0.004602,-0.001973,3.1176,1.6409,0.0689
0.3440,0.020090,-0.000222,0.000222,-0.001534,0.003068,-0.001973,3.1176,1.6409,0.0689
0.3641,0.020091,-0.001834,0.001834,0.000000,0.001534,-0.001983,3.0673,1.6549,0.0136
0.3842,0.020094,-0.004993,0.004993,-0.003068,0.000000,-0.001971,3.1224,1.6392,0.0741
0.4045,0.020314,-0.009731,0.009731,-0.003068,0.000000,-0.001973,3.1166,1.6409,0.0678
0.4253,0.020788,-0.016142,0.016142,0.000000,0.001534,-0.001973,3.1166,1.6409,0.0678
0.4454,0.020086,-0.023779,0.023779,0.000000,0.004602,-0.001973,3.1166,1.6409,0.0678
0.4658,0.020395,-0.032915,0.032915,-0.007670,0.010738,-0.001973,3.1166,1.6409,0.0678
0.4859,0.020091,-0.043192,0.043192,-0.018408,0.016874,-0.001973,3.1166,1.6409,0.0678
0.5060,0.020097,-0.054650,0.054650,-0.029146,0.019942,-0.001973,3.1166,1.6409,0.0678
0.5264,0.020408,-0.067384,0.067384,-0.033748,0.026078,-0.001973,3.1166,1.6409,0.0678
0.5465,0.020095,-0.080891,0.080891,-0.035282,0.038350,-0.001973,3.1166,1.6409,0.0678
0.5669,0.020391,-0.095453,0.095453,-0.044485,0.053689,-0.001973,3.1166,1.6409,0.0678
0.5870,0.020080,-0.110508,0.110508,-0.064427,0.069029,-0.001962,3.1289,1.6905,0.0152
0.6071,0.020106,-0.126156,0.126156,-0.084369,0.082835,-0.001973,3.1159,1.6355,0.0739
0.6272,0.020106,-0.142237,0.142237,-0.102777,0.096641,-0.001972,3.1173,1.6412,0.0678
0.6473,0.020119,-0.158620,0.158620,-0.116583,0.111981,-0.001972,3.1173,1.6412,0.0678
0.6674,0.020152,-0.175172,0.175172,-0.130388,0.127320,-0.001972,3.1173,1.6412,0.0678
0.6875,0.020084,-0.191663,0.191663,-0.144194,0.144194,-0.001972,3.1173,1.6412,0.0678
0.7076,0.020092,-0.208006,0.208006,-0.164136,0.159534,-0.001972,3.1173,1.6412,0.0678
0.7277,0.020083,-0.224043,0.224043,-0.181010,0.176408,-0.001972,3.1173,1.6412,0.0678
0.7478,0.020085,-0.239639,0.239639,-0.199418,0.193282,-0.001972,3.1173,1.6412,0.0678
0.7679,0.020104,-0.254665,0.254665,-0.211689,0.210155,-0.001972,3.1173,1.6412,0.0678
0.7882,0.020285,-0.269098,0.269098,-0.225495,0.227029,-0.001962,3.1288,1.6905,0.0152
0.8083,0.020096,-0.282546,0.282546,-0.242369,0.243903,-0.001973,3.1159,1.6355,0.0739
0.8284,0.020103,-0.295030,0.295030,-0.259243,0.257709,-0.001972,3.1173,1.6412,0.0678
0.8485,0.020090,-0.306426,0.306426,-0.273049,0.269981,-0.001972,3.1173,1.6412,0.0678
0.8686,0.020130,-0.316660,0.316660,-0.283786,0.283786,-0.001972,3.1173,1.6412,0.0678
0.8887,0.020092,-0.325600,0.325600,-0.299126,0.297592,-0.001983,3.0673,1.6549,0.0137
0.9088,0.020091,-0.333187,0.333187,-0.311398,0.308330,-0.001961,3.1340,1.6890,0.0209
0.9290,0.020217,-0.339387,0.339387,-0.322136,0.317534,-0.001974,3.1154,1.6357,0.0734
0.9491,0.020109,-0.344070,0.344070,-0.329806,0.325204,-0.001974,3.1154,1.6357,0.0734
0.9695,0.020367,-0.347263,0.347263,-0.337476,0.334408,-0.001972,3.1173,1.6412,0.0679
0.9896,0.020106,-0.348855,0.348855,-0.343612,0.340544,-0.001972,3.1173,1.6412,0.0679
1.0097,0.020091,-0.348885,0.348885,-0.348214,0.342078,-0.001972,3.1173,1.6412,0.0679
