t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.179476,0.177942,-0.002178,2.8348,2.0529,0.4554
0.0201,0.020097,-0.348380,0.348380,-0.179476,0.177942,-0.002165,2.8742,2.0170,0.4016
0.0402,0.020099,-0.343901,0.343901,-0.182544,0.177942,-0.002156,2.9199,2.0067,0.4620
0.0603,0.020096,-0.333299,0.333299,-0.231631,0.223961,-0.002167,2.8653,2.0218,0.4010
0.0804,0.020095,-0.316606,0.316606,-0.303728,0.294524,-0.002156,2.9208,2.0062,0.4621
0.1005,0.020086,-0.296458,0.296458,-0.368155,0.358952,-0.002129,2.8154,1.9694,0.3481
0.1206,0.020085,-0.285941,0.285941,-0.381961,0.372757,-0.002118,2.7767,1.9543,0.3061
0.1406,0.020089,-0.275423,0.275423,-0.366621,0.357418,-0.002106,2.7311,1.9368,0.2566
0.1607,0.020092,-0.264903,0.264903,-0.334408,0.331340,-0.002097,2.7475,1.9886,0.2084
0.1808,0.020089,-0.254384,0.254384,-0.300660,0.305262,-0.002094,2.6845,1.9143,0.2129
0.2009,0.020092,-0.243864,0.243864,-0.274583,0.282252,-0.002067,2.5919,1.8842,0.1046
0.2210,0.020090,-0.233345,0.233345,-0.260777,0.265379,-0.002070,2.6016,1.8874,0.1159
0.2411,0.020093,-0.222824,0.222824,-0.254641,0.253107,-0.002070,2.6002,1.8869,0.1143
0.2612,0.020101,-0.212299,0.212299,-0.248505,0.246971,-0.002070,2.6002,1.8869,0.1143
0.2813,0.020089,-0.201781,0.201781,-0.240835,0.242369,-0.002070,2.6002,1.8869,0.1143
0.3014,0.020094,-0.191260,0.191260,-0.231631,0.234699,-0.002070,2.6002,1.8869,0.1143
0.3215,0.020105,-0.180733,0.180733,-0.222427,0.223961,-0.002070,2.6002,1.8869,0.1143
0.3416,0.020086,-0.170216,0.170216,-0.210155,0.214757,-0.002070,2.6002,1.8869,0.1143
0.3617,0.020090,-0.159697,0.159697,-0.197884,0.204019,-0.002070,2.6002,1.8869,0.1143
0.3818,0.020099,-0.149173,0.149173,-0.187146,0.193282,-0.002070,2.6002,1.8869,0.1143
0.4018,0.020079,-0.138659,0.138659,-0.176408,0.181010,-0.002070,2.6002,1.8869,0.1143
0.4224,0.020583,-0.127882,0.127882,-0.165670,0.168738,-0.002070,2.6002,1.8869,0.1143
0.4425,0.020092,-0.117362,0.117362,-0.156466,0.156466,-0.002070,2.6002,1.8869,0.1143
0.4626,0.020048,-0.106865,0.106865,-0.145728,0.144194,-0.002070,2.6002,1.8869,0.1143
0.4827,0.020085,-0.096348,0.096348,-0.134990,0.133456,-0.002070,2.6002,1.8869,0.1143
0.5027,0.020094,-0.085827,0.085827,-0.122718,0.122718,-0.002070,2.6002,1.8869,0.1143
0.5228,0.020085,-0.075310,0.075310,-0.111981,0.111981,-0.002070,2.6002,1.8869,0.1143
0.5433,0.020476,-0.064589,0.064589,-0.101243,0.101243,-0.002070,2.6002,1.8869,0.1143
0.5634,0.020077,-0.054077,0.054077,-0.090505,0.090505,-0.002070,2.6002,1.8869,0.1143
0.5835,0.020084,-0.043762,0.043762,-0.078233,0.079767,-0.002070,2.6002,1.8869,0.1143
0.6036,0.020100,-0.035060,0.035060,-0.069029,0.069029,-0.002070,2.6002,1.8869,0.1143
0.6243,0.020712,-0.029180,0.029180,-0.058291,0.058291,-0.002070,2.6002,1.8869,0.1143
0.6444,0.020099,-0.026645,0.026645,-0.046019,0.047553,-0.002070,2.6002,1.8869,0.1143
