t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349065,0.349065,-0.177942,0.173340,-0.001859,3.0170,1.4622,-0.1199
0.0201,0.020080,-0.338551,0.338551,-0.177942,0.173340,-0.001848,3.0301,1.5171,-0.1787
0.0402,0.020085,-0.328035,0.328035,-0.176408,0.173340,-0.001849,3.0287,1.5114,-0.1726
0.0602,0.020078,-0.317522,0.317522,-0.233165,0.230097,-0.001845,2.9676,1.4435,-0.1739
0.0803,0.020084,-0.307006,0.307006,-0.311398,0.306796,-0.001846,2.9740,1.4506,-0.1738
0.1004,0.020115,-0.296474,0.296474,-0.358952,0.352816,-0.001835,2.9852,1.4996,-0.2271
0.1205,0.020078,-0.285961,0.285961,-0.355884,0.349748,-0.001847,2.9343,1.5089,-0.2764
0.1406,0.020092,-0.275441,0.275441,-0.334408,0.331340,-0.001835,2.9893,1.4934,-0.2164
0.1607,0.020126,-0.264903,0.264903,-0.311398,0.311398,-0.001847,2.9339,1.5095,-0.2775
0.1808,0.020104,-0.254376,0.254376,-0.286854,0.292990,-0.001845,2.9775,1.4437,-0.1630
0.2009,0.020078,-0.243863,0.243863,-0.271515,0.276117,-0.001836,2.9848,1.5003,-0.2282
0.2210,0.020084,-0.233347,0.233347,-0.260777,0.263845,-0.001837,2.9841,1.4944,-0.2214
0.2411,0.020104,-0.222821,0.222821,-0.253107,0.254641,-0.001837,2.9841,1.4944,-0.2214
0.2612,0.020081,-0.212306,0.212306,-0.245437,0.246971,-0.001847,2.9344,1.5094,-0.2770
0.2813,0.020095,-0.201784,0.201784,-0.236233,0.239301,-0.001835,2.9893,1.4934,-0.2164
0.3014,0.020090,-0.191265,0.191265,-0.227029,0.228563,-0.001847,2.9717,1.4454,-0.1694
0.3215,0.020081,-0.180751,0.180751,-0.216291,0.219359,-0.001846,2.9735,1.4504,-0.1743
0.3415,0.020092,-0.170231,0.170231,-0.202485,0.208621,-0.001836,2.9852,1.4996,-0.2271
0.3618,0.020297,-0.159603,0.159603,-0.191748,0.196350,-0.001847,2.9721,1.4447,-0.1682
0.3819,0.020089,-0.149085,0.149085,-0.181010,0.184078,-0.001846,2.9356,1.5146,-0.2825
0.4020,0.020084,-0.138569,0.138569,-0.171806,0.171806,-0.001835,2.9892,1.4929,-0.2158
0.4221,0.020075,-0.128058,0.128058,-0.162602,0.161068,-0.001837,2.9836,1.4951,-0.2227
0.4422,0.020086,-0.117541,0.117541,-0.151864,0.150330,-0.001837,2.9836,1.4951,-0.2227
0.4623,0.020086,-0.107024,0.107024,-0.141126,0.139592,-0.001837,2.9836,1.4951,-0.2227
0.4824,0.020096,-0.096501,0.096501,-0.130388,0.127320,-0.001837,2.9836,1.4951,-0.2227
0.5025,0.020138,-0.085957,0.085957,-0.119651,0.118117,-0.001847,2.9345,1.5093,-0.2768
0.5226,0.020086,-0.075440,0.075440,-0.107379,0.107379,-0.001835,2.9893,1.4934,-0.2164
0.5427,0.020086,-0.064923,0.064923,-0.095107,0.096641,-0.001837,2.9836,1.4951,-0.2227
0.5628,0.020088,-0.054405,0.054405,-0.085903,0.084369,-0.001837,2.9836,1.4951,-0.2227
0.5828,0.020079,-0.043892,0.043892,-0.075165,0.075165,-0.001837,2.9836,1.4951,-0.2227
0.6029,0.020087,-0.033374,0.033374,-0.065961,0.062893,-0.001837,2.9836,1.4951,-0.2227
0.6230,0.020082,-0.022860,0.022860,-0.053689,0.052155,-0.001837,2.9836,1.4951,-0.2227
0.6431,0.020089,-0.012341,0.012341,-0.041417,0.042951,-0.001837,2.9836,1.4951,-0.2227
0.6632,0.020084,-0.001825,0.001825,-0.029146,0.032214,-0.001837,2.9836,1.4951,-0.2227
0.6833,0.020076,-0.008687,0.008687,-0.016874,0.021476,-0.001837,2.9836,1.4951,-0.2227
0.7033,0.020090,-0.019206,0.019206,-0.007670,0.010738,-0.001837,2.9836,1.4951,-0.2227
0.7234,0.020080,-0.029720,0.029720,-0.001534,0.001534,-0.001847,2.9723,1.4452,-0.1687
0.7435,0.020088,-0.040238,0.040238,-0.003068,0.004602,-0.001835,2.9853,1.5001,-0.2276
0.7636,0.020091,-0.050758,0.050758,-0.012272,0.016874,-0.001837,2.9840,1.4944,-0.2215
0.7837,0.020077,-0.061270,0.061270,-0.027612,0.032214,-0.001847,2.9722,1.4453,-0.1688
0.8038,0.020094,-0.071792,0.071792,-0.044485,0.044485,-0.001846,2.9735,1.4504,-0.1743
0.8239,0.020079,-0.082305,0.082305,-0.059825,0.055223,-0.001836,2.9852,1.4996,-0.2271
0.8440,0.020095,-0.092826,0.092826,-0.062893,0.061359,-0.001847,2.9721,1.4447,-0.1682
0.8640,0.020078,-0.103339,0.103339,-0.061359,0.070563,-0.001846,2.9735,1.4504,-0.1744
0.8841,0.020078,-0.113852,0.113852,-0.075165,0.082835,-0.001846,2.9735,1.4504,-0.1744
0.9042,0.020078,-0.124365,0.124365,-0.095107,0.096641,-0.001856,2.9236,1.4643,-0.2285
0.9243,0.020076,-0.134877,0.134877,-0.113515,0.105845,-0.001845,2.9785,1.4484,-0.1681
0.9444,0.020089,-0.145396,0.145396,-0.122718,0.115049,-0.001836,2.9847,1.4998,-0.2277
0.9644,0.020076,-0.155908,0.155908,-0.127320,0.124252,-0.001837,2.9841,1.4944,-0.2215
0.9845,0.020078,-0.166420,0.166420,-0.134990,0.136524,-0.001837,2.9841,1.4944,-0.2215
1.0046,0.020049,-0.176918,0.176918,-0.148796,0.145728,-0.001837,2.9841,1.4944,-0.2215
1.0246,0.020082,-0.187433,0.187433,-0.162602,0.156466,-0.001837,2.9841,1.4944,-0.2215
